,message,above
62,Einfach mal `ne ruhige Kugel schieben.,0.6322967614220877
368,Wer hat nochmal am meisten Keksteig im Eis?,0.6178247005864682
178,"Heute wird mal wieder über die Ehe für alle im Bundestag debattiert. Wir sagen: nicht länger reden, einfach machen! Lasst uns jetzt gemeinsam JA sagen und heute die 20.000 knacken.",0.6125156486992306
788,Denkt dran: Mindestens 3 Liter am Tag!,0.6067775194014611
356,Das ist ja ein Ding! Wer hätte das gedacht...?!,0.5993682274054889
123,In diesem Jahr lassen wir zum 39. Mal die Löffel hochleben!,0.5866833613699076
479,"Mal kurz auf die Uhr gucken, wie spät es ist... Oh, schon Späkulatiuszeit!",0.5835759641074594
1238,So langsam werden wir kribbelig... Nur noch eine Woche bis zum Fair Cone Day... Und wir müssen noch unsere Kuhkostüme von der Reinigung holen und den Ben & Jerry's Bus waschen... Also 27.4. Unten nochmal die Orte. Wir hoffen Ihr seid dabei?,0.5801113115086125
588,"Schaut mal, was für einen Unterschied 2° Grad ausmachen. Helft mit auf benjerry.de/klima! #klimaschutz",0.5787982568827178
266,Das erste Mal vergisst du nie.,0.5763362454641668
980,Das müsst ihr jetzt selber auslöffeln! Im Juni schenken wir euch die neuen Ben & Jerry's Cores. Teilen lohnt sich!,0.5688397754858536
1080,"Servus München! Die nächsten 3 (!) Tage gibts bei Euch Eis for free! Wo wir genau halten, seht und bestimmt Ihr hier: www.fairicetour.de",0.5681867145359769
784,"Wir gehen im Sommer wieder auf große Tour! Ratet mal, wo wir hinkommen!",0.5671049728823152
1231,"Hallo liebe Ben&Jerry's Fans! Wie Ihr wisst ist es uns wichtig, dass es um uns herum FAIR zugeht. Was findet Ihr denn eigentlich alles so UNFAIR? Lasst Eurer Kreativität mal freien Lauf :)",0.564765965725431
879,Dafür verbiegt sich jeder Löffel.,0.5639585679663242
