,message,active
247,"Was die Welt und ein Becher Ben & Jerry's gemeinsam haben? Je bunter, desto schöner.",0.5905868735197012
254,"Süß, das Neue! Die fabelhafte Kreation von Eis-Expertin Andrea macht nicht nur die Eis-Welt vielfältiger.",0.5718954811519066
998,Bist du der nächste Ben&Jerry‘s? Gemeinsam mit Ashoka suchen wir europaweit Nachwuchs-Sozialunternehmer mit einer spannenden Businessidee mit nachhaltiger gesellschaftlicher Wirkung. Dem Gewinner winken unter anderem 10.000€ und sein eigenes Firmenlogo auf einer neuen Ben & Jerry’s Sorte! Alle Infos unter www.benjerry.de!,0.5385905310215101
1012,"Morgen verraten wir euch, welche Stadt als Erste in den Genuss unserer neuen Sorten kommt.",0.5349454533135648
257,"Vielfalt schmeckt besser als Einfalt. Wer das genauso sieht, darf sich auf eine neue Sorte Ben & Jerry’s freuen. Was da drin ist, erfahrt ihr hier...",0.5293152509440322
1155,"PEACE, Love & geschmolzene Ice Cream… Letzte Woche waren wir in Berlin auf dem World Peace Festival und haben uns mit spannenden Menschen darüber ausgetauscht was wir tun müssen, um die Welt zu einem friedlicheren Ort zu machen. Unser starkes Engagement in Fairtrade sowie die klimaneutrale Produktion sind nur ein kleiner Beitrag hierzu.  Als kleines Extra hatten wir speziell für das Festival eine eigene Sorte kreiert – Imagine Whirled Peace! (Cookie Dough mit Schokoladen - Pe...acezeichen). Leider hat jemand den Klimaschutz etwas zu ernst genommen und nachts unsere Eistruhe ausgesteckt.  Friede fängt oft schon mit so kleinen Dingen wie einem freundlichen Lächeln oder einem kurzen Dankeschön an. Was macht Ihr im Alltag, um die Welt ein bisschen zu verbessern? See more",0.5276923901359051
170,Feiner Schachzug. In Zukunft gibt es dann nur noch geschmolzenes Gletschereis.,0.5147845391314209
249,Weil die Welt mehr als nur einen Geschmack braucht.,0.5135739203617726
890,Immer schön Eis nach dem anderen!,0.5079246505589166
108,Cooler als jeder Trend: unsere 12 ältesten Sorten.,0.5066370638576526
1231,"Hallo liebe Ben&Jerry's Fans! Wie Ihr wisst ist es uns wichtig, dass es um uns herum FAIR zugeht. Was findet Ihr denn eigentlich alles so UNFAIR? Lasst Eurer Kreativität mal freien Lauf :)",0.5052873254982717
1030,"Zwei Kerle eine Leidenschaft !! Wenn Ihr wissen wollt, wie die Geschichte von Ben & Jerry begann - hier unser Geschenktip für Euch!",0.5030638003595059
255,Wir präsentieren: unsere neue Sorte für eine süßere Welt.  Ab jetzt im Handel #onesweetworld #benandjerrys #gleicheseisfüralle,0.5019562498216992
990,"Auch direkt bei Ben&Jerry´s haben europaweit Nachwuchs-Sozialunternehmer die Chance auf 10.000€ und ein sechsmonatiges Business-Coaching von Ashoka, ein Trip in die Ben & Jerry’s Heimat Vermont als besonderen Clou werden die Firmenlogos der Jung-Unternehmer auf der neuen Ben & Jerry’s Sorte in 2014 abgebildet – ein echtes Privileg und ein einzigartiger Werbeeffekt!",0.5009807343717789
1164,"Hallo Münster! Ihr scheint genau zu wissen, was gut für Kühe ist: schließlich habt Ihr sogar ein ganzes Stadtviertel danach benannt: das Kuhviertel! Grund genug für uns heute vorbeizuschauen und Euch einen Tag lang mit FREE ICE zu beschenken!! Ist zwar schwer vorzustellen, dass allein der Genuss eines Bechers Ben & Jerry's die Welt ein bisschen besser macht - die Geschichte von Ben & Jerry’s aber zeigt: Das ist tatsächlich möglich. Mit Fairtrade zertifizierter Eiskrem, klimaneutraler Produktion und Projekten wie „Caring Dairy“ für unsere Kühe wird die Welt tatsächlich Löffel für Löffel ein kleines bisschen besser. In diesem Sinne: lasst es Euch schmecken! Wo genau wir heute halten erfahrt Ihr hier: http://on.fb.me/FairIceTour",0.4954596285953458
