,message,arts
85,Ist das Kunst oder kann man das weglöffeln?,0.7822313496834885
124,Ist das Kunst oder kann das rein?,0.6938820145123565
708,Öcher aufgepasst! Wir verschenken faires Ben & Jerry´s Eis von 12-18 Uhr am Ludwig Forum für Internationale Kunst und lecker Synthie Pop gibt´s Live von A Forest! Infos zum Event: bit.ly/tasteandtunes_Aachen,0.4902840195174907
1030,"Zwei Kerle eine Leidenschaft !! Wenn Ihr wissen wollt, wie die Geschichte von Ben & Jerry begann - hier unser Geschenktip für Euch!",0.4760004257214942
530,Eis ab. Film läuft! Am 20. Juli im WERK2-Kulturfabrik in Leipzig. Wir bringen leckeres Eis und coole Filme mit! Die Ben & Jerry's Movie Nights - umsonst und draußen. Mehr Infos auf www.benjerry.de,0.4613201141272764
515,"Schaut mal, was man gegen den Klimawandel machen kann...! Junge Filmemacher haben für die Ben & Jerry's Movie Nights ein paar Kurzfilme zum Thema  gedreht. Film ab!",0.427509300622378
783,"Am Sonntag veröffentlichen wir den Tourplan!  Erratet ihr, welche Band uns zu dieser Sorte inspiriert hat?",0.4185180673461082
1216,Und hier (wie versprochen) die Weltpremiere des neuen Kino-Spots von Ben & Jerry's! Bald könnt ihr ihn auch auf vielen deutschen Kino-Leinwänden bewundern und dabei ein Ben & Jerry's genießen...,0.40826743305149465
308,Großes Kino.,0.40557055605767584
561,Traum oder Wirklichkeit? benjerry.de/movienights,0.4001656248311061
553,"Heute startet die  MILLERNTOR GALLERY in Hamburg und es gibt nicht nur einzigartige Kunst, sondern auch faires Eis für einen guten Zweck! Hier schon mal ein paar erste Eindrücke vom Instagram Walk mit Viva con Agua de Sankt Pauli e.V..",0.3988284808483861
333,Schon gesehen? Liebesfilm mit Starbesetzung.,0.3958149727993086
690,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Leipzig und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 07.08. von 14-20 Uhr!,0.3793151995385862
726,Sonst noch wer?? Jugendfreies Eis und Live Musik mit The Barr Brothers gibt es heute von 14-20 Uhr im Jugendhaus Feuerbach in Stuttgart.,0.3760339352591424
692,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Berlin und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 06.08. von 13-19 Uhr! ,0.3746715933009452
