,message,big
50,So klein und schon so lecker.,0.6468858958377135
51,Halb voll oder halb leer? Wir sind eher so half baked und voll fair!,0.6271564402739924
31,Die einzig wahre Foodbowl.,0.5967341428529905
404,Das Einzige was leckerer ist als ein 'Wich: Drei 'Wich.,0.5869520799722572
1147,"Heute ist Tag der Menschenrechte! Genau deshalb liegt uns der faire Handel so sehr am Herzen. Und keiner könnte es besser ausdrücken als unser Gründer Jerry Greenfield selbst:  ""Fairtrade bedeutet sicherzustellen, dass jeder sein Stück vom Kuchen abbekommt. Das gesamte Konzept hinter Fairtrade entspricht exakt unseren Werten und unserem Gerechtigkeitsempfinden. Es will doch niemand etwas kaufen, für dessen Herstellung jemand anderes ausgebeutet wurde."" Was denkt ihr?",0.5837481669362541
788,Denkt dran: Mindestens 3 Liter am Tag!,0.5774516795424334
1186,"Die Spannung steigt! Nur noch wenige Stunden, dann steht fest welcher Flavour 2012 in unsere Kühlregale kommt. Wird The Vermonster die Spitze verteidigen? Oder schafft es Oatmeal Cookie Chunk noch auf den letzten Metern zu überholen? Ihr habt noch alles in der Hand! Auf geht’s… http://on.fb.me/mJzhmI",0.5725355406823415
62,Einfach mal `ne ruhige Kugel schieben.,0.5721222743749798
1164,"Hallo Münster! Ihr scheint genau zu wissen, was gut für Kühe ist: schließlich habt Ihr sogar ein ganzes Stadtviertel danach benannt: das Kuhviertel! Grund genug für uns heute vorbeizuschauen und Euch einen Tag lang mit FREE ICE zu beschenken!! Ist zwar schwer vorzustellen, dass allein der Genuss eines Bechers Ben & Jerry's die Welt ein bisschen besser macht - die Geschichte von Ben & Jerry’s aber zeigt: Das ist tatsächlich möglich. Mit Fairtrade zertifizierter Eiskrem, klimaneutraler Produktion und Projekten wie „Caring Dairy“ für unsere Kühe wird die Welt tatsächlich Löffel für Löffel ein kleines bisschen besser. In diesem Sinne: lasst es Euch schmecken! Wo genau wir heute halten erfahrt Ihr hier: http://on.fb.me/FairIceTour",0.5721038989503915
890,Immer schön Eis nach dem anderen!,0.559067688101323
368,Wer hat nochmal am meisten Keksteig im Eis?,0.5554922256694141
150,"Fast geschafft! Die EHE FÜR ALLE ist zum Greifen nah – jetzt noch einmal alles geben und die Abgeordneten auffordern, JA zu sagen.",0.553476001147372
283,"Wir machen keine halben Sachen, nur ganze Stücke.",0.5377465201704777
281,Das lässt keinen Eisliebhaber kalt.,0.5343798285994718
63,"Für alle, die den Mund gerne mal zu voll nehmen!",0.5340138850771798
