,message,blue_collar
339,Ein Meister seines Fachs!,0.34465371342907475
517,"Entertainer, Organisator, Tröster, Umweltaktivist, Sänger, ... Vielleicht kennt ihr Multitalent Blixt von der Ben & Jerry's Movie Nights Tour 2015 - oder aus den Jahren zuvor. Wenn nicht, dann lernt ihn im Interview kennen! Bester Mann!",0.3002119735392294
1277,Vor der Tankstelle!,0.2987556658760933
107,"Wusstet ihr, dass es im Ben & Jerry's Büro ein Baumhaus und eine Rutsche gibt?",0.29726137126930674
65,☝️ 🍦 🍪 😋 🤔 Emoji-Übersetzer gesucht 🙋,0.2702204241062732
661,Über 1/3 der Menschen in Deutschland sind ehrenamtlich engagiert. Willst du DEIN Engagement zum Beruf machen? Bewirb dich jetzt als Nachwuchs-Sozialunternehmer ➡ www.benjerry.de,0.2518387762045277
456,Ich bin dein Vater!,0.2468991021820808
1126,"Geburtstag! heute vor 34 Jahren haben Ben und Jerry in einer umgebauten Tankstelle in Vermont angefangen, unglaublich leckeres Eis herzustellen...",0.2456748686119023
951,"Kernbotschafter gesucht!  Suchen Roadies, Mitbewohner und Eisverschenker-Aushilfskräfte für die Ben & Jerry's Core Tour und den besten Sommerjob der Welt! Hier könnt ihr euch bewerben: http://bit.ly/MitbewohnerGesucht",0.226359533283825
41,"Es war einmal eine alte, eisige Tankstelle in Burlington, Vermont.",0.2260883531710607
1030,"Zwei Kerle eine Leidenschaft !! Wenn Ihr wissen wollt, wie die Geschichte von Ben & Jerry begann - hier unser Geschenktip für Euch!",0.2248574551087577
210,Traumjob zu vergeben: Eistester/in in Vollzeit gesucht!  Keine Lust auf Kaffee kochen und kopieren? Dann werde doch einfach Praktikant/in bei uns und teste neue Eissorten. benjerrys.co/praktikumsplatzanderquelle,0.22057352192480906
269,Eure 25 verrücktesten Sortenvorschläge.,0.21733177078108765
615,Scherzkeks. #cookiedough,0.21549465906560564
1256,Ein Lieferwagen der Greyston Bakery,0.2125625227290763
