,message,cheap
74,Für fairen Schokoholismus!,0.3793777132562931
491,Kernfusion jetzt ganz fair und lecker.,0.37341257416922896
77,Den Weg nach draußen kannst du dir sparen: im Kühlschrank ist es genau so kalt. ...,0.34668773947713394
462,Wart ihr denn alle schön fair?,0.3382584602487864
1147,"Heute ist Tag der Menschenrechte! Genau deshalb liegt uns der faire Handel so sehr am Herzen. Und keiner könnte es besser ausdrücken als unser Gründer Jerry Greenfield selbst:  ""Fairtrade bedeutet sicherzustellen, dass jeder sein Stück vom Kuchen abbekommt. Das gesamte Konzept hinter Fairtrade entspricht exakt unseren Werten und unserem Gerechtigkeitsempfinden. Es will doch niemand etwas kaufen, für dessen Herstellung jemand anderes ausgebeutet wurde."" Was denkt ihr?",0.31406495361685216
620,So muss ein Winterschlussverkauf aussehen!,0.30502234211661106
35,Bei uns bekommt jeder eine faire Chance.,0.30251524071155195
551,Wir sind noch bis Samstag bei der MILLERNTOR GALLERY und verkaufen faires Eis für sauberes Wasser! Jedes leckere Ben & Jerry's kostet (mind.) 1 Euro für einen guten Zweck. Kommt vorbei und besucht uns am Bus!,0.3012279751074488
574,Wir verschenken faires Eis und zeigen die coolsten Filme.,0.3006960845493672
80,Lust auf einen Scoop Shop in deiner Nachbarschaft?,0.2988882958622908
652,Braucht hier irgendwer noch was faires zum Anziehen? Einfach 3 Deckel einschicken und T-Shirt erhalten! bit.ly/Mit3dabei #fanfotos #freeshirts,0.2968680521816561
341,So fair kann Vanille sein.,0.2957282872175746
50,So klein und schon so lecker.,0.2937096241524892
413,"Sagt uns, in welchen Städten wir am 12.04. faires Eis verschenken sollen!",0.29143045755540503
782,"Scoop, Scoop – Hamburg spitz die Löffel!  Diesen Sommer: Ben & Jerry´s Scoop Shop exklusiv am Strandkai 1 in der Hafencity!",0.2883251328234416
