,message,children
104,Morgen Kinder wird’s was geben….,0.7982977333663027
1276,Wo wohl das Baby heute ist?,0.58882391068353
130,"Baby, du siehst Topped aus!",0.5481254434780861
209,Manchmal schmeckt Erwachsen sein gar nicht süß.,0.5160869779851236
456,Ich bin dein Vater!,0.4490459614186127
792,Eine Portion Liebe für Mama <3,0.41981175215332617
1059,"Eis, Eis, Baby! Heute machen wir in Hannover Freundinnen Tag und verschenken nur rosa-rote Eisbecher. Der Fairness halber gibt’s für die Jungs was in Blau! Sagt uns wo: www.FairIceTour.de oder findet uns auf dem Liveticker.",0.39888950868982775
853,"Die einzigen Männer, die Frauen wirklich verstehen sind Ben & Jerry.",0.3979507001714134
422,Für unsere neue Erfindung musst du Eis essen völlig neu erlernen!,0.3891574134926469
191,Wir glauben an Eisliebe in jeder Beziehung.,0.37501743046195385
215,Drei Gründe diesen Winter zuhause zu bleiben!,0.37397223046001704
247,"Was die Welt und ein Becher Ben & Jerry's gemeinsam haben? Je bunter, desto schöner.",0.3727058464131764
338,Achtung Rostock! Noch einmal schlafen!,0.3714354491249369
300,"Wer das nicht weiß, muss mehr Eis essen.",0.3637667282139066
532,"Jeder Blockbuster braucht einen Helden, der den Abend rettet.",0.3603647078158952
