,message,closed
82,Könnte man teilen. So rein theoretisch.,0.5215204036340529
140,Minimalismus war noch nie unser Ding. Merkt ihr selber! Zum Beispiel wenn ihr unser neues Topped probiert.,0.4980197620059035
356,Das ist ja ein Ding! Wer hätte das gedacht...?!,0.496958954678453
275,Irgendwie süß die beiden!,0.4838005626248356
404,Das Einzige was leckerer ist als ein 'Wich: Drei 'Wich.,0.480748034632403
1147,"Heute ist Tag der Menschenrechte! Genau deshalb liegt uns der faire Handel so sehr am Herzen. Und keiner könnte es besser ausdrücken als unser Gründer Jerry Greenfield selbst:  ""Fairtrade bedeutet sicherzustellen, dass jeder sein Stück vom Kuchen abbekommt. Das gesamte Konzept hinter Fairtrade entspricht exakt unseren Werten und unserem Gerechtigkeitsempfinden. Es will doch niemand etwas kaufen, für dessen Herstellung jemand anderes ausgebeutet wurde."" Was denkt ihr?",0.4706732046196632
1164,"Hallo Münster! Ihr scheint genau zu wissen, was gut für Kühe ist: schließlich habt Ihr sogar ein ganzes Stadtviertel danach benannt: das Kuhviertel! Grund genug für uns heute vorbeizuschauen und Euch einen Tag lang mit FREE ICE zu beschenken!! Ist zwar schwer vorzustellen, dass allein der Genuss eines Bechers Ben & Jerry's die Welt ein bisschen besser macht - die Geschichte von Ben & Jerry’s aber zeigt: Das ist tatsächlich möglich. Mit Fairtrade zertifizierter Eiskrem, klimaneutraler Produktion und Projekten wie „Caring Dairy“ für unsere Kühe wird die Welt tatsächlich Löffel für Löffel ein kleines bisschen besser. In diesem Sinne: lasst es Euch schmecken! Wo genau wir heute halten erfahrt Ihr hier: http://on.fb.me/FairIceTour",0.4699794685948549
368,Wer hat nochmal am meisten Keksteig im Eis?,0.4667812985004198
617,Sogar am Valentinstag hat es manchmal Vorteile Single zu sein...,0.4651148835756073
890,Immer schön Eis nach dem anderen!,0.4536753859966534
588,"Schaut mal, was für einen Unterschied 2° Grad ausmachen. Helft mit auf benjerry.de/klima! #klimaschutz",0.4528794207010615
620,So muss ein Winterschlussverkauf aussehen!,0.4521760590779701
208,Wir bleiben cool in Sachen Klima.,0.4513749713705168
402,'Wich kannst du auch mit dem Löffel essen. Ist dann nur irgendwie komisch.,0.4492053157272541
281,Das lässt keinen Eisliebhaber kalt.,0.4487450980866856
