,message,community
222,Es ist an der Zeit für die Werte unserer Gesellschaft auf- und zusammenzustehen.,0.5923498443600637
191,Wir glauben an Eisliebe in jeder Beziehung.,0.5062722881973352
86,Mit wem möchtest du heute gemeinsam löffeln?,0.4877154305871418
174,"Keine Liebe ist illegal! Gemeinsam haben wir die einmalige Chance, die Ehe für alle in Deutschland möglich zu machen. Dafür brauchen wir jetzt deine Hilfe.",0.4812493053631789
156,Jeder hat ein Recht auf ein Leben in Sicherheit. Darum machen wir uns für Menschen auf der Flucht stark und ihr könnt uns dabei unterstützen: http://www.benjerry.de/aktuelle-initi…/together-for-refugees #WorldRefugeeDay,0.4575286414844614
177,So machst Du Deutschland vom Sofa aus gerechter: In wenigen Schritten für eine faire Gesellschaft.,0.44662186987246
661,Über 1/3 der Menschen in Deutschland sind ehrenamtlich engagiert. Willst du DEIN Engagement zum Beruf machen? Bewirb dich jetzt als Nachwuchs-Sozialunternehmer ➡ www.benjerry.de,0.4442549498419193
179,Gemeinsam löffeln – in guten wie in schlechten Zeiten!,0.44134452882026576
467,"Was man sich eingebrockt hat, muss man auch selbst auslöffeln. Wir hoffen, dass alle Nationen endlich für mehr Klimagerechtigkeit aktiv werden beim COP21!",0.4296756791871463
200,"Am 4. April kommen wir mit einer vollen Busladung Liebe nach Köln, um mit euch den „Free Cone Day“ zu feiern.  Dieser Tag ist ein Fest für Eisliebhaber, an dem sich seit 1979 alle Fans von Ben & Jerry’s über kostenlose Eiscreme in den Scoop Shops freuen. In Deutschland kommen wir jedes Jahr mit unserem Bus in einer Stadt vorbei und löffeln euch ein Lächeln ins Gesicht.  In diesem Jahr wollen wir die Gelegenheit nutzen, nicht nur Free Eiscreme zu feiern, sondern auch ein Zei...chen für Gerechtigkeit setzen. Wir finden, gleichgeschlechtliche Paare sollten endlich die gleichen Rechte wie heterosexuelle haben. Denn kein Staat sollte zwei Liebenden verbieten, sich das JA-Wort zu geben. In mehr als 20 Ländern ist das Verbot gleichgeschlechtlicher Ehe zum Glück abgeschafft. Im Jahr 2016 haben Irland, Grönland, Mexiko, Portugal und die USA die gleichgeschlechtliche Ehe legalisiert.  In Deutschland werden Homosexuelle leider immer noch diskriminiert, weil ihnen das Recht zu heiraten, verwehrt bleibt. Die Initiative „EHE FÜR ALLE“ setzt sich aktiv dafür ein, gleiches Recht für alle zu schaffen. Am Free Cone Day 2017 benennen wir unsere beliebteste Sorte „Cookie Dough“ symbolisch in „Yes, I Dough“ um, weil wir der Ehe für alle unser JA-Wort geben. Kommt vorbei, schnappt euch einen Shortie* und setzt ein buntes Zeichen für die Liebe. Für mehr Infos zum Thema EHE FÜR ALLE und zur Initiative geht’s hier lang: www.ehefueralle.de *wie immer gilt: solange der Vorrat reicht :-) See more",0.42639292338794105
149,Eis ab! Film läuft. Nächste Woche startet unsere YEStival Tour in 4 deutschen Städten. Lasst uns in diesem Jahr gemeinsam ein Zeichen für mehr Gerechtigkeit und Liebe setzen. Sagt JA zur Ehe für alle! benjerry.de/yestival,0.4256706656683337
998,Bist du der nächste Ben&Jerry‘s? Gemeinsam mit Ashoka suchen wir europaweit Nachwuchs-Sozialunternehmer mit einer spannenden Businessidee mit nachhaltiger gesellschaftlicher Wirkung. Dem Gewinner winken unter anderem 10.000€ und sein eigenes Firmenlogo auf einer neuen Ben & Jerry’s Sorte! Alle Infos unter www.benjerry.de!,0.4238112406316161
44,Wir feiern unsere inneren Werte.,0.4191191701426589
155,"Unser Herz schlägt nicht nur für Eiscreme, sondern auch für die Initiative Ehe für alle. benjerry.de/aktuelle-initiativen/ehe-fuer-alle/messenger",0.4184590079666252
992,"Vielen Dank für die gute Stimmung und vor allem für eure Unterstützung für unsere EU-Petition zur besseren Milchkuhhaltung www.happycows.eu/de/sign und die Spenden für die Stiftung Gute-Tat.de - Standort Hamburg! Wir freuen uns auf nächstes Jahr! Peace, Love & Icecream!",0.4163167649784071
