,message,culture
85,Ist das Kunst oder kann man das weglöffeln?,0.6474647835938294
124,Ist das Kunst oder kann das rein?,0.6002813127719526
708,Öcher aufgepasst! Wir verschenken faires Ben & Jerry´s Eis von 12-18 Uhr am Ludwig Forum für Internationale Kunst und lecker Synthie Pop gibt´s Live von A Forest! Infos zum Event: bit.ly/tasteandtunes_Aachen,0.5336609157148179
998,Bist du der nächste Ben&Jerry‘s? Gemeinsam mit Ashoka suchen wir europaweit Nachwuchs-Sozialunternehmer mit einer spannenden Businessidee mit nachhaltiger gesellschaftlicher Wirkung. Dem Gewinner winken unter anderem 10.000€ und sein eigenes Firmenlogo auf einer neuen Ben & Jerry’s Sorte! Alle Infos unter www.benjerry.de!,0.482323875697337
1012,"Morgen verraten wir euch, welche Stadt als Erste in den Genuss unserer neuen Sorten kommt.",0.4767192284535023
1155,"PEACE, Love & geschmolzene Ice Cream… Letzte Woche waren wir in Berlin auf dem World Peace Festival und haben uns mit spannenden Menschen darüber ausgetauscht was wir tun müssen, um die Welt zu einem friedlicheren Ort zu machen. Unser starkes Engagement in Fairtrade sowie die klimaneutrale Produktion sind nur ein kleiner Beitrag hierzu.  Als kleines Extra hatten wir speziell für das Festival eine eigene Sorte kreiert – Imagine Whirled Peace! (Cookie Dough mit Schokoladen - Pe...acezeichen). Leider hat jemand den Klimaschutz etwas zu ernst genommen und nachts unsere Eistruhe ausgesteckt.  Friede fängt oft schon mit so kleinen Dingen wie einem freundlichen Lächeln oder einem kurzen Dankeschön an. Was macht Ihr im Alltag, um die Welt ein bisschen zu verbessern? See more",0.4751130119590855
179,Gemeinsam löffeln – in guten wie in schlechten Zeiten!,0.4649182311441832
1030,"Zwei Kerle eine Leidenschaft !! Wenn Ihr wissen wollt, wie die Geschichte von Ben & Jerry begann - hier unser Geschenktip für Euch!",0.4624419876371035
779,"Wir kommen wieder auf Tour, schenken euch faires Eis und bringen sogar Musik mit! Alle Städte und alle Bands auf www.benjerry.de",0.4613741676344638
382,"Wir verschenken faires Eis und zeigen ""Ziemlich beste Freunde"". Open air & for free! Alle Infos auf www.benjerry.de/movienights Ben & Jerry’s gibt's ab 19 Uhr, das Filmprogramm startet nach Sonnenuntergang, ca. (!) 22 Uhr. Wir unterstützen während unserer Ben & Jerry’s Movie Nights Tour die Amadeu Antonio Stiftung, die soziale Projekte in ganz Deutschland betreut. In Hamburg kannst auch du Teil von One Sweet World werden und bei einem Projekt in deiner Nachbarschaft helfen, d...ass deine Stadt noch schöner wird. Jetzt für das soziale Projekt anmelden auf www.benjerry.de/movienights#osw Location: Landhaus Walter Otto-Wels-Straße 2 22303 Hamburg. Anfahrt: Am besten zu Fuß oder mit dem Rad oder Öffentliche Verkehrsmittel: Ab Hbf U1 bis Kellinghusenstraße, dann U3 bis Borgweg (Stadtpark) Wichtige Infos zum Ablauf: Ben & Jerry’s for free von 19:00 - 22:00 Uhr. Wir geben unser Bestes und sind ziemlich flink unterwegs bei der Ausgabe. Es gibt für jeden Eis, allerdings sind die Sitzplätze fürs Open Air Kino begrenzt. Bringt gerne Decken und Campingstühle mit! Wichtig: wir wollen jeden Ort schöner verlassen, als wir ihn vorgefunden haben: Bitte nehmt euren Müll mit und lasst nichts liegen.  Peace, Love & Ice Cream. Euer Ben & Jerry’s Team See more",0.4498751733192345
250,Unsere Welt hat mehr als nur einen Geschmack.,0.4461241775927132
365,Auslöffeln statt Ausgrenzen!  Heute feiern wir den World Refugee Day und setzen uns gemeinsam für eine süßere Welt ein!,0.4417806143422793
377,"Wir verschenken faires Eis und zeigen ""Ziemlich beste Freunde"". Open air & for free! Alle Infos auf www.benjerry.de/movienights Ben & Jerry’s gibt's ab 19 Uhr, das Filmprogramm startet nach Sonnenuntergang, ca. (!) 22 Uhr. Wir unterstützen während unserer Ben & Jerry’s Movie Nights Tour die Amadeu Antonio Stiftung, die soziale Projekte in ganz Deutschland betreut. In München kannst auch du Teil von One Sweet World werden und bei einem Projekt in deiner Nachbarschaft helfen, d...ass deine Stadt noch schöner wird. Jetzt für das soziale Projekt anmelden auf www.benjerry.de/movienights#osw Location: Beach 38 Friedenstraße 22C 81671 München Anfahrt: Am besten zu Fuß oder mit dem Rad oder Öffentliche Verkehrsmittel: Ab Hbf mit U5 bis Ostbahnhof, alternativ mit S1 und S8 bis Ostbahnhof Wichtige Infos zum Ablauf: Ben & Jerry’s for free von 19:00 - 22:00 Uhr. Wir geben unser Bestes und sind ziemlich flink unterwegs bei der Ausgabe. Es gibt für jeden Eis, allerdings sind die Sitzplätze fürs Open Air Kino begrenzt. Bringt gerne Decken und Campingstühle mit! Wichtig: wir wollen jeden Ort schöner verlassen, als wir ihn vorgefunden haben: Bitte nehmt euren Müll mit und lasst nichts liegen. Peace, Love & Ice Cream. Euer Ben & Jerry’s Team See more",0.44053387297583896
255,Wir präsentieren: unsere neue Sorte für eine süßere Welt.  Ab jetzt im Handel #onesweetworld #benandjerrys #gleicheseisfüralle,0.4401246109330706
149,Eis ab! Film läuft. Nächste Woche startet unsere YEStival Tour in 4 deutschen Städten. Lasst uns in diesem Jahr gemeinsam ein Zeichen für mehr Gerechtigkeit und Liebe setzen. Sagt JA zur Ehe für alle! benjerry.de/yestival,0.4400254669935217
