,message,descriptive
441,Das nennen wir eine ausgewogene Persönlichkeit.,0.6380468109483963
1164,"Hallo Münster! Ihr scheint genau zu wissen, was gut für Kühe ist: schließlich habt Ihr sogar ein ganzes Stadtviertel danach benannt: das Kuhviertel! Grund genug für uns heute vorbeizuschauen und Euch einen Tag lang mit FREE ICE zu beschenken!! Ist zwar schwer vorzustellen, dass allein der Genuss eines Bechers Ben & Jerry's die Welt ein bisschen besser macht - die Geschichte von Ben & Jerry’s aber zeigt: Das ist tatsächlich möglich. Mit Fairtrade zertifizierter Eiskrem, klimaneutraler Produktion und Projekten wie „Caring Dairy“ für unsere Kühe wird die Welt tatsächlich Löffel für Löffel ein kleines bisschen besser. In diesem Sinne: lasst es Euch schmecken! Wo genau wir heute halten erfahrt Ihr hier: http://on.fb.me/FairIceTour",0.6046119031011751
1147,"Heute ist Tag der Menschenrechte! Genau deshalb liegt uns der faire Handel so sehr am Herzen. Und keiner könnte es besser ausdrücken als unser Gründer Jerry Greenfield selbst:  ""Fairtrade bedeutet sicherzustellen, dass jeder sein Stück vom Kuchen abbekommt. Das gesamte Konzept hinter Fairtrade entspricht exakt unseren Werten und unserem Gerechtigkeitsempfinden. Es will doch niemand etwas kaufen, für dessen Herstellung jemand anderes ausgebeutet wurde."" Was denkt ihr?",0.5615397643332417
150,"Fast geschafft! Die EHE FÜR ALLE ist zum Greifen nah – jetzt noch einmal alles geben und die Abgeordneten auffordern, JA zu sagen.",0.5492192758446786
245,Mit der Ben & Jerry’s Eistrologie lernst du Zeichen am Geschmackshimmel zu deuten.,0.5426598024493192
494,Morgen zeigen wir euch unsere neue Lieblingssorte!,0.5423581807398999
257,"Vielfalt schmeckt besser als Einfalt. Wer das genauso sieht, darf sich auf eine neue Sorte Ben & Jerry’s freuen. Was da drin ist, erfahrt ihr hier...",0.5416839777273103
349,"Sorry vorab, dass das hier ein so langer Text ist. Aber wenn uns was wichtig ist, dann gibts hier auch mal nicht nur Bilder vom leckersten Eis der Welt. JA, ab morgen verschenken wir wieder hunderttausendfach Ben & Jerry’s an die besten Fans der Welt.  ABER: wie jedes Jahr bringen wir eine soziale Mission mit und dieses mal ist es mit einer Unterschrift von euch nicht getan. Ihr habt die Möglichkeit, mehr zu tun und nicht nur euer Profilbild zu ändern, wenn mal wieder was sch...limmes auf unserem Planeten passiert ist. Ihr könnt selber mit anfassen, damit wir eine schönere Welt hinterlassen, als wir sie vorgefunden haben. Ihr habt es in euren eigenen Händen, dass alle Menschen wertgeschätzt und geachtet werden. Wir glauben an eine süßere Welt. Aber um diese auch zu erreichen, müssen wir alle unseren Beitrag leisten. Deshalb unterstützen wir auf der Ben & Jerry’s Movie Nights Tour dieses Jahr diejenigen, die sich tagtäglich für eine Gesellschaft einsetzen, die Vielfalt als Chance sieht. Wir arbeiten mit Freiwilligen in den Tourstädten zusammen, die sich jeden Tag bemühen, dass das hier alles besser wird. In 8 Städten auf der Tour gibt es daher jeweils ein soziales Projekt, bei dem ihr und wir als freiwillige Helfer wirklich mit anfassen können. Zusammen mit der Amadeu Antonio Stiftung und der Ben & Jerry’s Crew machen wir uns in den Stunden bevor es ans Eis verschenken geht also erstmal die Hände schmutzig und setzen uns ein für eine One Sweet World. Bewerben könnt ihr euch für die Social Mission Einsätze auf www.benjerry.de/movienights  Wir schicken euch dann eine Mail, je nachdem wieviele Helfer gebraucht werden. Peace, Love & Ice Cream. See more",0.5357469041328519
1014,"Und? Schon eine Vermutung, was euch in 4 Tagen erwartet?",0.5309829189254319
1012,"Morgen verraten wir euch, welche Stadt als Erste in den Genuss unserer neuen Sorten kommt.",0.5271390568068111
366,Ihr durftet wählen und jetzt habt ihr entschieden. Klickt hier um zu sehen welche Filme wir bei den benjerry.de/movienights zeigen!,0.5213566580221228
229,"Wir finden, Eisliebe ist einfach zum Dahinschmelzen.",0.5171986498223904
1253,Im Februar bekommen wir Besuch von unseren Firmengründern Ben Cohen & Jerry Greenfield! Sicherlich habt Ihr Millionen Fragen & sagt uns doch einfach was wir klären sollen!,0.5134866430462762
191,Wir glauben an Eisliebe in jeder Beziehung.,0.5131090469279023
38,"Alles, was du heute brauchst. Gern geschehen :-)",0.5086364177475653
