,message,diligent
1239,"Hallo zusammen, bevor wir jetzt den Abend bei einem Eis ausklingen lassen... Wir sind Euch ja noch was schuldig. Hier also Euer Gewinner in Weltpremiere. Vielen Dank für Eure Hilfe!!!",0.5252578671799565
1231,"Hallo liebe Ben&Jerry's Fans! Wie Ihr wisst ist es uns wichtig, dass es um uns herum FAIR zugeht. Was findet Ihr denn eigentlich alles so UNFAIR? Lasst Eurer Kreativität mal freien Lauf :)",0.5241083311567545
1152,"Passend zu dem herbstlichen Wetter, hat uns eine Nachricht aus Vermont, der Heimat der Ahornblätter und des Ahornsirups, für euch alle erreicht: „Howdy! Ich bin’s - The Vermonster! Wollte mich mal kurz aus der Versenkung zurückmelden und Hallo sagen. Wir sind grade schwer mit meiner Fairtrade Umstellung beschäftig, damit ich es nächstes Jahr pünktlich zu euch nach Deutschland schaffe. Seid ihr auch schon so aufgeregt wie ich?“",0.5230833750719779
1148,"Vielen, vielen Dank für die unfassbar vielen Vorschläge, die ihr uns bei Fair Place! bereits gemacht habt! Ihr seid die besten Fans der Welt!!! Bitte schlagt uns vor allem all die tollen, coolen, anderen Läden in Eurer Stadt vor, die wir nicht kennen können, die aber unglaublich gut zu uns passen würden - wo seid ihr gerne unterwegs? wo würdet ihr gerne ein leckeres Ben & Jerry's essen? Beim Friseur Eures Vertrauens? Bei Eurem Lieblingskiosk? In Eurer Lieblingsbar? Eure Supermärkte rollen wir ohnehin nach und nach von hinten auf, keine Sorge ;-) und falls ihr jetzt noch richtig geile Vorschläge habt oder neu mitmachen wollt: HIER: https://apps.facebook.com/fair-place/",0.5159798848717667
1133,Heute ist Tag der Komplimente! Wir warten… ;),0.5138096395220416
1249,"Da Ihr ja oft die besten Ideen für neue Sorten habt, brauchen wir mal wieder Eure Hilfe!Einfach den Fragebogen unter folgendem link ausfüllen http://www.benjerry.de/spass…/deine-meinung-zaehlt/index.php und als Dankeschön nehmt Ihr automatisch an der Verlosung von einer Eisparty teil!",0.5102834297812339
676,Bus nächstes Jahr... #tasteandtunes #danke,0.5032124562911616
846,SOFORT AUSPACKEN!,0.5025767486438255
452,Das hab ich mir gewünscht!,0.5021416744371089
309,"Hallo München! Bevor wir Dienstag Abend faires Eis verschenken, versuchen wir mit euch gemeinsam eure Stadt ein bisschen schöner zu machen.",0.4957876095779231
315,"Hallo Stuttgart! Bevor wir Samstag Abend faires Eis verschenken, versuchen wir mit euch gemeinsam eure Stadt ein bisschen schöner zu machen.",0.4953055907800921
1233,"Sagt alle mal Hallo zu unserem 3000. Fan!  Wir freuen uns wirklich sehr, dass mittlerweile so viele unsere Vorliebe für wunderbares Eis teilen. Danke an Euch :)",0.4919903684333093
1073,"Hallo Frankfurt! Ganz schön fair: Ihr bekommt gratis Eis, wir müssen arbeiten!",0.491507497656757
349,"Sorry vorab, dass das hier ein so langer Text ist. Aber wenn uns was wichtig ist, dann gibts hier auch mal nicht nur Bilder vom leckersten Eis der Welt. JA, ab morgen verschenken wir wieder hunderttausendfach Ben & Jerry’s an die besten Fans der Welt.  ABER: wie jedes Jahr bringen wir eine soziale Mission mit und dieses mal ist es mit einer Unterschrift von euch nicht getan. Ihr habt die Möglichkeit, mehr zu tun und nicht nur euer Profilbild zu ändern, wenn mal wieder was sch...limmes auf unserem Planeten passiert ist. Ihr könnt selber mit anfassen, damit wir eine schönere Welt hinterlassen, als wir sie vorgefunden haben. Ihr habt es in euren eigenen Händen, dass alle Menschen wertgeschätzt und geachtet werden. Wir glauben an eine süßere Welt. Aber um diese auch zu erreichen, müssen wir alle unseren Beitrag leisten. Deshalb unterstützen wir auf der Ben & Jerry’s Movie Nights Tour dieses Jahr diejenigen, die sich tagtäglich für eine Gesellschaft einsetzen, die Vielfalt als Chance sieht. Wir arbeiten mit Freiwilligen in den Tourstädten zusammen, die sich jeden Tag bemühen, dass das hier alles besser wird. In 8 Städten auf der Tour gibt es daher jeweils ein soziales Projekt, bei dem ihr und wir als freiwillige Helfer wirklich mit anfassen können. Zusammen mit der Amadeu Antonio Stiftung und der Ben & Jerry’s Crew machen wir uns in den Stunden bevor es ans Eis verschenken geht also erstmal die Hände schmutzig und setzen uns ein für eine One Sweet World. Bewerben könnt ihr euch für die Social Mission Einsätze auf www.benjerry.de/movienights  Wir schicken euch dann eine Mail, je nachdem wieviele Helfer gebraucht werden. Peace, Love & Ice Cream. See more",0.49097053153297104
328,"Hallo Dresden! Bevor wir Freitag Abend faires Eis verschenken versuchen wir mit euch gemeinsam, eure Stadt minimal schöner zu machen.",0.4839139843340665
