,message,easy
229,"Wir finden, Eisliebe ist einfach zum Dahinschmelzen.",0.6416894570144493
607,"Du willst die neuen Ben & Jerry’s Cookie Cores nach Hause geliefert bekommen? For Free? Verlinke einfach 3 Freunde im Kommentarfeld, mit denen du gerne bechern willst.",0.5983573946443017
606,"Du willst die neuen Ben & Jerry’s Cookie Cores nach Hause geliefert bekommen? For Free? Verlinke einfach 3 Freunde im Kommentarfeld, mit denen du gerne bechern willst.",0.5983573946443017
593,"Schon die neuen Cookie Cores probiert? Dann hilf auch anderen, unsere neuen Sorten zu finden! Einfach Ort und Sorte im Shop Finder eingeben. Teilen lohnt sich!",0.5645959419912313
404,Das Einzige was leckerer ist als ein 'Wich: Drei 'Wich.,0.5561558529625307
62,Einfach mal `ne ruhige Kugel schieben.,0.5435437868162161
671,"Wer braucht was neues zum Anziehen? Ganz einfach 3 Deckel sammeln, einschicken und Ben & Jerry's T-Shirt bekommen. Den Umschlag gibt's hier zum Ausdrucken: http://bit.ly/Mit3dabei",0.5417986257436898
697,"Hallo Magdeburg, am 8.8. ist DIE Gelegenheit, einfach mal ein paar kostenlose Eis einzustecken. Unser Eisbus und Verstärker von Shannon Saunders steht von 14-20 Uhr im Skatepark im Rotehornpark. Alle Infos auf www.benjerry.de",0.5413386563192583
1148,"Vielen, vielen Dank für die unfassbar vielen Vorschläge, die ihr uns bei Fair Place! bereits gemacht habt! Ihr seid die besten Fans der Welt!!! Bitte schlagt uns vor allem all die tollen, coolen, anderen Läden in Eurer Stadt vor, die wir nicht kennen können, die aber unglaublich gut zu uns passen würden - wo seid ihr gerne unterwegs? wo würdet ihr gerne ein leckeres Ben & Jerry's essen? Beim Friseur Eures Vertrauens? Bei Eurem Lieblingskiosk? In Eurer Lieblingsbar? Eure Supermärkte rollen wir ohnehin nach und nach von hinten auf, keine Sorge ;-) und falls ihr jetzt noch richtig geile Vorschläge habt oder neu mitmachen wollt: HIER: https://apps.facebook.com/fair-place/",0.5411335467246114
742,"Hallo München! Am 20.7 ist DIE Gelegenheit, einfach mal ein paar kostenlose Eis einzustecken. Unser Eisbus und Verstärker der Barr Brothers steht von 11-17 Uhr im Olympiapark! Alle Infos auf www.benjerry.de",0.5280651248683154
147,Bei uns nimmt man sich gerne Arbeit mit nach Hause.,0.5279120545505552
636,"Du willst die Fernbedienung? Dann mach einfach ein Angebot, das man nicht ablehnen kann. ;-)",0.5261025119026533
361,Nummer 4 ist einfach rührend.,0.5205550640892629
659,Wer braucht was zum anziehen? Einfach 3 Deckel einschicken und T-Shirt erhalten! ➡ bit.ly/Mit3dabei,0.5192280481453913
50,So klein und schon so lecker.,0.5146782922436725
