,message,expensive
551,Wir sind noch bis Samstag bei der MILLERNTOR GALLERY und verkaufen faires Eis für sauberes Wasser! Jedes leckere Ben & Jerry's kostet (mind.) 1 Euro für einen guten Zweck. Kommt vorbei und besucht uns am Bus!,0.5071561979990075
1147,"Heute ist Tag der Menschenrechte! Genau deshalb liegt uns der faire Handel so sehr am Herzen. Und keiner könnte es besser ausdrücken als unser Gründer Jerry Greenfield selbst:  ""Fairtrade bedeutet sicherzustellen, dass jeder sein Stück vom Kuchen abbekommt. Das gesamte Konzept hinter Fairtrade entspricht exakt unseren Werten und unserem Gerechtigkeitsempfinden. Es will doch niemand etwas kaufen, für dessen Herstellung jemand anderes ausgebeutet wurde."" Was denkt ihr?",0.501770119906527
51,Halb voll oder halb leer? Wir sind eher so half baked und voll fair!,0.4712124781963757
617,Sogar am Valentinstag hat es manchmal Vorteile Single zu sein...,0.4678420562113914
1164,"Hallo Münster! Ihr scheint genau zu wissen, was gut für Kühe ist: schließlich habt Ihr sogar ein ganzes Stadtviertel danach benannt: das Kuhviertel! Grund genug für uns heute vorbeizuschauen und Euch einen Tag lang mit FREE ICE zu beschenken!! Ist zwar schwer vorzustellen, dass allein der Genuss eines Bechers Ben & Jerry's die Welt ein bisschen besser macht - die Geschichte von Ben & Jerry’s aber zeigt: Das ist tatsächlich möglich. Mit Fairtrade zertifizierter Eiskrem, klimaneutraler Produktion und Projekten wie „Caring Dairy“ für unsere Kühe wird die Welt tatsächlich Löffel für Löffel ein kleines bisschen besser. In diesem Sinne: lasst es Euch schmecken! Wo genau wir heute halten erfahrt Ihr hier: http://on.fb.me/FairIceTour",0.4600863995069708
404,Das Einzige was leckerer ist als ein 'Wich: Drei 'Wich.,0.4567150097983496
620,So muss ein Winterschlussverkauf aussehen!,0.4557069513815025
1002,Wofür würdet ihr euch entscheiden? :),0.4525364204473293
980,Das müsst ihr jetzt selber auslöffeln! Im Juni schenken wir euch die neuen Ben & Jerry's Cores. Teilen lohnt sich!,0.4511791373986153
50,So klein und schon so lecker.,0.4498008880346048
356,Das ist ja ein Ding! Wer hätte das gedacht...?!,0.448685772938228
1253,Im Februar bekommen wir Besuch von unseren Firmengründern Ben Cohen & Jerry Greenfield! Sicherlich habt Ihr Millionen Fragen & sagt uns doch einfach was wir klären sollen!,0.4477408711675734
665,"Niemand braucht Waffen, höchstens Löffel. #worldpeaceday #peaceoneday",0.4475169807305193
368,Wer hat nochmal am meisten Keksteig im Eis?,0.4459487406343158
283,"Wir machen keine halben Sachen, nur ganze Stücke.",0.4406078676558076
