,message,family
104,Morgen Kinder wird’s was geben….,0.6759950385112065
630,Zum Glück sind die Verwandten morgen wieder weg... 😉,0.6419978589522208
456,Ich bin dein Vater!,0.6169110085886416
399,"Wusstet ihr, dass gleichgeschlechtliche Paare in Deutschland immer noch nicht heiraten dürfen?!",0.6020549751464263
144,"Heute haben wir mal Torte statt Eis mitgebracht und feiern das Ergebnis des Deutschen Bundestag zur Ehe für alle. Danke für eure Unterstützung und schönes Wochenende! Peace, Love & Ehe für Alle!",0.5735029559317342
191,Wir glauben an Eisliebe in jeder Beziehung.,0.5637862114317049
174,"Keine Liebe ist illegal! Gemeinsam haben wir die einmalige Chance, die Ehe für alle in Deutschland möglich zu machen. Dafür brauchen wir jetzt deine Hilfe.",0.5500167682042373
147,Bei uns nimmt man sich gerne Arbeit mit nach Hause.,0.5466182502329885
215,Drei Gründe diesen Winter zuhause zu bleiben!,0.5450968133711696
309,"Hallo München! Bevor wir Dienstag Abend faires Eis verschenken, versuchen wir mit euch gemeinsam eure Stadt ein bisschen schöner zu machen.",0.5437184663019891
1184,"Ihr habt gesprochen und entschieden wer den weiten Weg über den großen Teich antreten darf! Mit im Gepäck: Ahornsirup aus Vermont, ein Strudel aus Karamell und eine riesen Ladung Pekanüsse. Jawoll: The Vermonster hat es geschafft und wird 2012 als Teil unserer Fairtrade-Familie in den europäischen Kühlregalen zu finden sein! Wir freuen darauf! http://benjerry.de/",0.5425523897367283
1205,"R.I.P. Phish Food Eine traurige Nachricht, die wir Euch schon lange schulden: Leider haben wir nicht genügend Platz in unserem Kühlschrank und mussten wir uns 2011 von einer heißgeliebten Sorte trennen. Heißgeliebt, aber leider von zu wenigen von Euch. Phish Food bekommt einen besonderen Platz in Euren Herzen und unserem Flavour Graveyard.Und wer weiß,vielleicht können wir es ja eines Tages wieder zum Leben erwecken?",0.5413044140007633
200,"Am 4. April kommen wir mit einer vollen Busladung Liebe nach Köln, um mit euch den „Free Cone Day“ zu feiern.  Dieser Tag ist ein Fest für Eisliebhaber, an dem sich seit 1979 alle Fans von Ben & Jerry’s über kostenlose Eiscreme in den Scoop Shops freuen. In Deutschland kommen wir jedes Jahr mit unserem Bus in einer Stadt vorbei und löffeln euch ein Lächeln ins Gesicht.  In diesem Jahr wollen wir die Gelegenheit nutzen, nicht nur Free Eiscreme zu feiern, sondern auch ein Zei...chen für Gerechtigkeit setzen. Wir finden, gleichgeschlechtliche Paare sollten endlich die gleichen Rechte wie heterosexuelle haben. Denn kein Staat sollte zwei Liebenden verbieten, sich das JA-Wort zu geben. In mehr als 20 Ländern ist das Verbot gleichgeschlechtlicher Ehe zum Glück abgeschafft. Im Jahr 2016 haben Irland, Grönland, Mexiko, Portugal und die USA die gleichgeschlechtliche Ehe legalisiert.  In Deutschland werden Homosexuelle leider immer noch diskriminiert, weil ihnen das Recht zu heiraten, verwehrt bleibt. Die Initiative „EHE FÜR ALLE“ setzt sich aktiv dafür ein, gleiches Recht für alle zu schaffen. Am Free Cone Day 2017 benennen wir unsere beliebteste Sorte „Cookie Dough“ symbolisch in „Yes, I Dough“ um, weil wir der Ehe für alle unser JA-Wort geben. Kommt vorbei, schnappt euch einen Shortie* und setzt ein buntes Zeichen für die Liebe. Für mehr Infos zum Thema EHE FÜR ALLE und zur Initiative geht’s hier lang: www.ehefueralle.de *wie immer gilt: solange der Vorrat reicht :-) See more",0.5384926677348769
315,"Hallo Stuttgart! Bevor wir Samstag Abend faires Eis verschenken, versuchen wir mit euch gemeinsam eure Stadt ein bisschen schöner zu machen.",0.5369458791610094
185,"Verliebt, verlobt, verhei....schön wärs!",0.5352752821407091
