,message,healthy_restrictive
1232,"Heute ist der internationale Tag der Milch und auch gleichzeitig Weltbauerntag.  Unsere gute Milch ist ein entscheidender Grund, warum Ben & Jerry's so lecker schmeckt. Daher achten wir ganz besonders darauf, dass es unseren Kühen und aber auch unseren Milchbauern gut geht! Wenn Ihr wissen wollt, wie wir das machen, dann findet Ihr hier mehr über das ""Cairing Dairy"" Programm:",0.5571024318106391
878,Unsere Empfehlung für eine ausgeglichene Ernährung:,0.5337827215874537
1242,"Muh zusammen! Wir brauchen mal Eure Hilfe... Wie Ihr wisst, arbeiten wir daran, unser gesamtes Eis auf Fairtrade umzustellen. Das heisst: Vanille, Zucker, Nüsse, Bananen und Kakao für unser Eis und die RIESENSTÜCKCHEN kommen jetzt aus fairem Handel. Wie findet Ihr das eigentlich? Mal ganz ehrlich...",0.5295482971387561
1204,"Und auch Euch Peanut Butter-Fans sind wir eine Antwort schuldig: Leider mussten wir uns aufgrund der Verfügbarkeit der Fairtrade-Zutaten bereits vor einiger Zeit auf die 8 Sorten festlegen, die als Endrunden-Teilnehmer in unser Fair Flavour Voting kommen.",0.5198716493251746
404,Das Einzige was leckerer ist als ein 'Wich: Drei 'Wich.,0.5110883371125035
244,"Unser Rezept zum Glücklichsein: Riegel sind da, um sie zu brechen.",0.4911211018794669
1147,"Heute ist Tag der Menschenrechte! Genau deshalb liegt uns der faire Handel so sehr am Herzen. Und keiner könnte es besser ausdrücken als unser Gründer Jerry Greenfield selbst:  ""Fairtrade bedeutet sicherzustellen, dass jeder sein Stück vom Kuchen abbekommt. Das gesamte Konzept hinter Fairtrade entspricht exakt unseren Werten und unserem Gerechtigkeitsempfinden. Es will doch niemand etwas kaufen, für dessen Herstellung jemand anderes ausgebeutet wurde."" Was denkt ihr?",0.4873858213545423
249,Weil die Welt mehr als nur einen Geschmack braucht.,0.485354452565594
504,"Chunky Monkey ohne Nüsse? Schlimm! Nussbäume brauchen den Winter, damit sie Früchte tragen. Aber die Winter werden immer milder. Wie der Klimawandel unsere Sorten gefährdet, erfährst du hier: benjerrys.co/1iq2llR",0.4823864338528442
505,"Wir lieben Schokolade. Aber Erderwärmung bedeutet das Ende unserer Schokostücke! Wie der Klimawandel unsere Sorten gefährdet, erfährst du hier: benjerrys.co/1iq2llR",0.470088479744968
368,Wer hat nochmal am meisten Keksteig im Eis?,0.4691118691791432
32,Und die sind wirklich vegan? *Blick aufs Etikett*,0.4576218129710919
1215,"Aufgepasst Eisliebhaber! Ab sofort ist das neue Ben & Jerry’s Wich erhältlich! Das Wich ist cremiges Vanilleeis mit Schokoladen-Stücken zwischen zwei saftigen Chocolate Chunk Cookies. Und wie es sich für Ben & Jerry’s gehört, ist das Wich natürlich auch Fairtrade! Wir sind gespannt wie es euch schmeckt...?",0.45030743746012464
1195,"Kokosnussfans aufgepasst! Unser heutiger Fair-Flavour-Kandidat Coconut Almond Fudge Chip ist eine Welt für sich. Kokosnuss-Eiscreme mit Schokostückchen klingt schon köstlich. Aber die gerösteten Mandeln machen diese Sorte einfach unwiderstehlich. Wer nicht für diesen Flavour votet, hat wahrscheinlich einen an der Kokosnuss! http://on.fb.me/mJzhmI",0.4499986226207764
250,Unsere Welt hat mehr als nur einen Geschmack.,0.4478997745127748
