,message,individual
257,"Vielfalt schmeckt besser als Einfalt. Wer das genauso sieht, darf sich auf eine neue Sorte Ben & Jerry’s freuen. Was da drin ist, erfahrt ihr hier...",0.6584052005662163
890,Immer schön Eis nach dem anderen!,0.6215046950673804
1207,"Ihr fragt uns immer wieder, warum wir so viele der großartigen US-Sorten nicht hier haben. Berechtigt und natürlich nicht FAIR von uns! Aber wer weiß, vielleicht finden wir ja jetzt eine Möglichkeit... Welche hättet ihr denn am liebsten?",0.6169615480693317
223,2016 hat nicht jedem geschmeckt. Aber es gab auch viel Positives zu vermelden!,0.6089465661166322
1012,"Morgen verraten wir euch, welche Stadt als Erste in den Genuss unserer neuen Sorten kommt.",0.6073567864618739
1164,"Hallo Münster! Ihr scheint genau zu wissen, was gut für Kühe ist: schließlich habt Ihr sogar ein ganzes Stadtviertel danach benannt: das Kuhviertel! Grund genug für uns heute vorbeizuschauen und Euch einen Tag lang mit FREE ICE zu beschenken!! Ist zwar schwer vorzustellen, dass allein der Genuss eines Bechers Ben & Jerry's die Welt ein bisschen besser macht - die Geschichte von Ben & Jerry’s aber zeigt: Das ist tatsächlich möglich. Mit Fairtrade zertifizierter Eiskrem, klimaneutraler Produktion und Projekten wie „Caring Dairy“ für unsere Kühe wird die Welt tatsächlich Löffel für Löffel ein kleines bisschen besser. In diesem Sinne: lasst es Euch schmecken! Wo genau wir heute halten erfahrt Ihr hier: http://on.fb.me/FairIceTour",0.6071816930612729
1147,"Heute ist Tag der Menschenrechte! Genau deshalb liegt uns der faire Handel so sehr am Herzen. Und keiner könnte es besser ausdrücken als unser Gründer Jerry Greenfield selbst:  ""Fairtrade bedeutet sicherzustellen, dass jeder sein Stück vom Kuchen abbekommt. Das gesamte Konzept hinter Fairtrade entspricht exakt unseren Werten und unserem Gerechtigkeitsempfinden. Es will doch niemand etwas kaufen, für dessen Herstellung jemand anderes ausgebeutet wurde."" Was denkt ihr?",0.5921811075341028
1233,"Sagt alle mal Hallo zu unserem 3000. Fan!  Wir freuen uns wirklich sehr, dass mittlerweile so viele unsere Vorliebe für wunderbares Eis teilen. Danke an Euch :)",0.589623726745884
1149,"Heeyhoooo… Pünktlich zur Weihnachtszeit startet wieder der Fairtrade-Adventskalender! Hier erfahrt  ihr nicht nur ganz viel über Fairtrade, sondern könnt auch täglich einen tollen Preis gewinnen! Und das Beste ist:  Ben & Jerry’s hat auch wieder ein Türchen.  Findet heraus welches und ihr habt die Chance auf einen „köstlichen“ Gewinn! Wenn das nicht FAIR ist…. http://www.fairtrade-deutschland.de/",0.5792378751726551
441,Das nennen wir eine ausgewogene Persönlichkeit.,0.5773524991083313
990,"Auch direkt bei Ben&Jerry´s haben europaweit Nachwuchs-Sozialunternehmer die Chance auf 10.000€ und ein sechsmonatiges Business-Coaching von Ashoka, ein Trip in die Ben & Jerry’s Heimat Vermont als besonderen Clou werden die Firmenlogos der Jung-Unternehmer auf der neuen Ben & Jerry’s Sorte in 2014 abgebildet – ein echtes Privileg und ein einzigartiger Werbeeffekt!",0.5748691204285252
1231,"Hallo liebe Ben&Jerry's Fans! Wie Ihr wisst ist es uns wichtig, dass es um uns herum FAIR zugeht. Was findet Ihr denn eigentlich alles so UNFAIR? Lasst Eurer Kreativität mal freien Lauf :)",0.5708445110224368
998,Bist du der nächste Ben&Jerry‘s? Gemeinsam mit Ashoka suchen wir europaweit Nachwuchs-Sozialunternehmer mit einer spannenden Businessidee mit nachhaltiger gesellschaftlicher Wirkung. Dem Gewinner winken unter anderem 10.000€ und sein eigenes Firmenlogo auf einer neuen Ben & Jerry’s Sorte! Alle Infos unter www.benjerry.de!,0.5656943574248255
980,Das müsst ihr jetzt selber auslöffeln! Im Juni schenken wir euch die neuen Ben & Jerry's Cores. Teilen lohnt sich!,0.5646312349169779
1148,"Vielen, vielen Dank für die unfassbar vielen Vorschläge, die ihr uns bei Fair Place! bereits gemacht habt! Ihr seid die besten Fans der Welt!!! Bitte schlagt uns vor allem all die tollen, coolen, anderen Läden in Eurer Stadt vor, die wir nicht kennen können, die aber unglaublich gut zu uns passen würden - wo seid ihr gerne unterwegs? wo würdet ihr gerne ein leckeres Ben & Jerry's essen? Beim Friseur Eures Vertrauens? Bei Eurem Lieblingskiosk? In Eurer Lieblingsbar? Eure Supermärkte rollen wir ohnehin nach und nach von hinten auf, keine Sorge ;-) und falls ihr jetzt noch richtig geile Vorschläge habt oder neu mitmachen wollt: HIER: https://apps.facebook.com/fair-place/",0.5645135340734798
