,message,innovative_rachel
891,Ab 25°C zählen nur noch die inneren Werte!,0.35666270908211184
246,Die inneren Werte zählen.,0.3566627082316701
30,Topped deine Erwartungen. Garantiert.,0.3556472661045329
435,Schokotöne sind ja gerade voll im Trend.,0.3516961705137853
75,Nicht nur beim Eis zählen die inneren Werte.,0.34864175297235656
208,Wir bleiben cool in Sachen Klima.,0.3425208189669862
441,Das nennen wir eine ausgewogene Persönlichkeit.,0.3418383637916963
108,Cooler als jeder Trend: unsere 12 ältesten Sorten.,0.33856991289984434
648,Wir sorgen uns um das Wohlbefinden unserer (wichtigsten) Mitarbeiter - den Kühen! Kuhle Sache dieses Caring Dairy ➡ bit.ly/CaringDairy #happycow #socialmission #benandjerry,0.31559945755962504
249,Weil die Welt mehr als nur einen Geschmack braucht.,0.3095087604154249
170,Feiner Schachzug. In Zukunft gibt es dann nur noch geschmolzenes Gletschereis.,0.3022434988703079
518,Der Beweis: Auch in Hollywood zählen noch die inneren Werte.,0.30216353475513885
1147,"Heute ist Tag der Menschenrechte! Genau deshalb liegt uns der faire Handel so sehr am Herzen. Und keiner könnte es besser ausdrücken als unser Gründer Jerry Greenfield selbst:  ""Fairtrade bedeutet sicherzustellen, dass jeder sein Stück vom Kuchen abbekommt. Das gesamte Konzept hinter Fairtrade entspricht exakt unseren Werten und unserem Gerechtigkeitsempfinden. Es will doch niemand etwas kaufen, für dessen Herstellung jemand anderes ausgebeutet wurde."" Was denkt ihr?",0.29523187709920645
250,Unsere Welt hat mehr als nur einen Geschmack.,0.2942174809114048
189,Harte Schale weicher Kern.,0.2890566133318341
