,message,lifestyle
840,Leben am Limit,0.6772689557270305
191,Wir glauben an Eisliebe in jeder Beziehung.,0.6239453376973823
547,"""Schöne Dinge fragen nicht nach Aufmerksamkeit."" Heute Abend zeigen wir ""Das erstaunliche Leben des Walter Mitty"" vor den Deichtorhallen Hamburg. Ab 19 Uhr gibt's Eis for free. Kommt rum! benjerry.de/movienights",0.6017807295671747
1030,"Zwei Kerle eine Leidenschaft !! Wenn Ihr wissen wollt, wie die Geschichte von Ben & Jerry begann - hier unser Geschenktip für Euch!",0.6015995039246278
249,Weil die Welt mehr als nur einen Geschmack braucht.,0.5863345418025191
1177,"364 Tage im Leben gibt es nichts umsonst. Das Leben ist nicht immer fair - Ben & Jerry's schon. Denn heute sind wir in STUTTGART und verteilen Ben & Jerry's Ice Cream FOR FREE. Wo wir genau halten, erfahrt Ihr hier bei uns. Teil 3 unseres Videotagebuchs gibt's zur Einstimmung hier: http://youtu.be/f1Wncb6UPpo",0.58063464672828
156,Jeder hat ein Recht auf ein Leben in Sicherheit. Darum machen wir uns für Menschen auf der Flucht stark und ihr könnt uns dabei unterstützen: http://www.benjerry.de/aktuelle-initi…/together-for-refugees #WorldRefugeeDay,0.5698713774041634
1164,"Hallo Münster! Ihr scheint genau zu wissen, was gut für Kühe ist: schließlich habt Ihr sogar ein ganzes Stadtviertel danach benannt: das Kuhviertel! Grund genug für uns heute vorbeizuschauen und Euch einen Tag lang mit FREE ICE zu beschenken!! Ist zwar schwer vorzustellen, dass allein der Genuss eines Bechers Ben & Jerry's die Welt ein bisschen besser macht - die Geschichte von Ben & Jerry’s aber zeigt: Das ist tatsächlich möglich. Mit Fairtrade zertifizierter Eiskrem, klimaneutraler Produktion und Projekten wie „Caring Dairy“ für unsere Kühe wird die Welt tatsächlich Löffel für Löffel ein kleines bisschen besser. In diesem Sinne: lasst es Euch schmecken! Wo genau wir heute halten erfahrt Ihr hier: http://on.fb.me/FairIceTour",0.5675668103636347
192,"Wenn ich an dich denke, macht mein Herz so...",0.5633450795037357
149,Eis ab! Film läuft. Nächste Woche startet unsere YEStival Tour in 4 deutschen Städten. Lasst uns in diesem Jahr gemeinsam ein Zeichen für mehr Gerechtigkeit und Liebe setzen. Sagt JA zur Ehe für alle! benjerry.de/yestival,0.5631072089389438
459,"Wenn die Länder der COP21 nicht verhindern, dass die Polkappen schmelzen, wird’s richtig bitter. Und zwar für alle, die auf dieser Erde leben.",0.560131146415776
169,Ein Stückchen Frieden....ein Bissen Freude....,0.5565685701561102
174,"Keine Liebe ist illegal! Gemeinsam haben wir die einmalige Chance, die Ehe für alle in Deutschland möglich zu machen. Dafür brauchen wir jetzt deine Hilfe.",0.5505376589100808
200,"Am 4. April kommen wir mit einer vollen Busladung Liebe nach Köln, um mit euch den „Free Cone Day“ zu feiern.  Dieser Tag ist ein Fest für Eisliebhaber, an dem sich seit 1979 alle Fans von Ben & Jerry’s über kostenlose Eiscreme in den Scoop Shops freuen. In Deutschland kommen wir jedes Jahr mit unserem Bus in einer Stadt vorbei und löffeln euch ein Lächeln ins Gesicht.  In diesem Jahr wollen wir die Gelegenheit nutzen, nicht nur Free Eiscreme zu feiern, sondern auch ein Zei...chen für Gerechtigkeit setzen. Wir finden, gleichgeschlechtliche Paare sollten endlich die gleichen Rechte wie heterosexuelle haben. Denn kein Staat sollte zwei Liebenden verbieten, sich das JA-Wort zu geben. In mehr als 20 Ländern ist das Verbot gleichgeschlechtlicher Ehe zum Glück abgeschafft. Im Jahr 2016 haben Irland, Grönland, Mexiko, Portugal und die USA die gleichgeschlechtliche Ehe legalisiert.  In Deutschland werden Homosexuelle leider immer noch diskriminiert, weil ihnen das Recht zu heiraten, verwehrt bleibt. Die Initiative „EHE FÜR ALLE“ setzt sich aktiv dafür ein, gleiches Recht für alle zu schaffen. Am Free Cone Day 2017 benennen wir unsere beliebteste Sorte „Cookie Dough“ symbolisch in „Yes, I Dough“ um, weil wir der Ehe für alle unser JA-Wort geben. Kommt vorbei, schnappt euch einen Shortie* und setzt ein buntes Zeichen für die Liebe. Für mehr Infos zum Thema EHE FÜR ALLE und zur Initiative geht’s hier lang: www.ehefueralle.de *wie immer gilt: solange der Vorrat reicht :-) See more",0.5476765273676762
1205,"R.I.P. Phish Food Eine traurige Nachricht, die wir Euch schon lange schulden: Leider haben wir nicht genügend Platz in unserem Kühlschrank und mussten wir uns 2011 von einer heißgeliebten Sorte trennen. Heißgeliebt, aber leider von zu wenigen von Euch. Phish Food bekommt einen besonderen Platz in Euren Herzen und unserem Flavour Graveyard.Und wer weiß,vielleicht können wir es ja eines Tages wieder zum Leben erwecken?",0.5422933713065863
