,message,male
456,Ich bin dein Vater!,0.8259506874212207
185,"Verliebt, verlobt, verhei....schön wärs!",0.4976010004886829
853,"Die einzigen Männer, die Frauen wirklich verstehen sind Ben & Jerry.",0.4967752516503064
517,"Entertainer, Organisator, Tröster, Umweltaktivist, Sänger, ... Vielleicht kennt ihr Multitalent Blixt von der Ben & Jerry's Movie Nights Tour 2015 - oder aus den Jahren zuvor. Wenn nicht, dann lernt ihn im Interview kennen! Bester Mann!",0.4954215938549934
900,"Zum 35. Geburtstag lüften wir ein kleines Geheimnis: Ben Cohen wollte die Ice Cream Firma eigentlich ""Josephine's Flying Machine"" nennen. Jerry Greenfield hat sich dann aber glücklicherweise durchgesetzt :-)",0.4788567304992196
1030,"Zwei Kerle eine Leidenschaft !! Wenn Ihr wissen wollt, wie die Geschichte von Ben & Jerry begann - hier unser Geschenktip für Euch!",0.4563847934773879
409,Zum Geburtstag gibt's den ganzen Tag Ben & Jerry's geschenkt!,0.451793487935937
1167,"Hallo Bochum! Hallo Ruhrpott! Heute gibt’s für Euch Fairtrade Eis für lau! Und die schönsten Mädchen der Welt trifft man eh bei uns am Bus. Alle Infos, wo wir heute wann halten gibt’s hier http://on.fb.me/FairIceTour  Ps. Die schönsten Jungs auch ☺",0.4497774011709422
191,Wir glauben an Eisliebe in jeder Beziehung.,0.447304012948952
262,Süße Liebe hat viele Namen <3,0.4360254458196879
309,"Hallo München! Bevor wir Dienstag Abend faires Eis verschenken, versuchen wir mit euch gemeinsam eure Stadt ein bisschen schöner zu machen.",0.4247027406886682
450,Hat hier heute zufällig jemand Geburtstag?,0.4243414296933857
331,Achtung Dresden! Am 15. Juli könnte es lecker werden im Club Tante JU. Wir bringen free Ben & Jerry's und ZIEMLICH BESTE FREUNDE mit!  Mehr Infos auf benjerry.de/movienights,0.4138381881467546
1059,"Eis, Eis, Baby! Heute machen wir in Hannover Freundinnen Tag und verschenken nur rosa-rote Eisbecher. Der Fairness halber gibt’s für die Jungs was in Blau! Sagt uns wo: www.FairIceTour.de oder findet uns auf dem Liveticker.",0.41373655923375
315,"Hallo Stuttgart! Bevor wir Samstag Abend faires Eis verschenken, versuchen wir mit euch gemeinsam eure Stadt ein bisschen schöner zu machen.",0.4115909350917448
