,message,music
746,"Ben & Jerry's Taste & Tunes Tour. Wir verschenken faires Eis und bringen Live Musik mit. Kommt vorbei und bringt eure Freunde mit! Tourdaten, Städte und alle Bands auf www.benjerry.de",0.637488806715094
1229,"Das sind doch mal echte Fans, oder was meint Ihr!? Könnt Ihr auch ein Lied über Ben & Jerry's singen? ;)",0.6089836764202117
690,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Leipzig und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 07.08. von 14-20 Uhr!,0.5914917897029252
741,Eis im Akkord! Die Ben & Jerry's Taste & Tunes Tour kommt am 22. Juli nach Würzburg und schenkt euch das vielleicht leckerste Eis der Welt! Live Musik von The Barr Brothers gibts als Zugabe! Kommt vorbei und bringt alle eure Freunde mit! Wann und wo wir genau stehen auf www.benjerry.de,0.5902556914083311
744,Bringt eure bessere Hälfte zum Tanzen mit und kommt zur Ben & Jerry’s Taste & Tunes Tour am 21. Juli in Stuttgart! Es gibt das vielleicht leckerste Eis der Welt for free und Live Music von The Barr Brothers! Alle Infos auf www.benjerry.de,0.5867701711640181
679,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Hamburg und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 12.08. von 14-20 Uhr!,0.5812333496308996
681,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Kiel und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 11.08. von 14-20 Uhr! ,0.5799250291890929
687,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Magdeburg und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 08.08. von 14-20 Uhr! ,0.5778796355104505
685,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Hannover und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 09.08. von 13-19 Uhr! ,0.5778765242466505
702,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Münster und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 02.08. von 15:30-20h!,0.5754847431927337
692,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Berlin und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 06.08. von 13-19 Uhr! ,0.5746955069984294
695,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Dresden und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 05.08. von 13-19 Uhr! ,0.5739747158659334
683,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Bremen und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 10.08. von 13-19 Uhr!,0.5710139615268496
728,Am 27. Juli machen wir von 12-18 Uhr Sound & Eischeck in Aachen! Wir schenken euch Ben & Jerry’s und dazu gibts Live Musik von A Forest! Kommt vorbei und ladet alle eure Freunde ein! Alle Infos auf www.benjerry.de,0.5688719523899465
739,"Mannheim! Ihr rockt, wir rollen! Am 23. Juli gibts Ben & Jerry’s for free auf dem Marktplatz und dazu Live Musik von The Barr Brothers! Kommt vorbei und bringt alle Freunde mit! Alle Infos auf www.benjerry.de",0.5675365545517591
