,message,music_genres
744,Bringt eure bessere Hälfte zum Tanzen mit und kommt zur Ben & Jerry’s Taste & Tunes Tour am 21. Juli in Stuttgart! Es gibt das vielleicht leckerste Eis der Welt for free und Live Music von The Barr Brothers! Alle Infos auf www.benjerry.de,0.5550454733823202
777,"FREE ICE CREAM & LIVE MUSIC Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis und bringen Live Music mit! Kommt vorbei und bringt eure Freunde mit! Am 20. Juli von 11-17 Uhr in München, auf der MUNICH MASH!  Von 11-17 Uhr gibts FREE ICE CREAM und Live Music von The Barr Brothers im Olympiapark, am Spiridon-Louis-Ring. Alle aktuellen News aus dem Bus, Fotos und Infos zu The Barr Brothers findet ihr immer live auf www.benjerry.de.",0.5279295892521888
776,"FREE ICE CREAM & LIVE MUSIC Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis und bringen Live Music mit! Kommt vorbei und bringt eure Freunde mit! Am 21. Juli von 14-20 Uhr in Stuttgart! Von 14-20 Uhr gibts FREE ICE CREAM und Live Music von The Barr Brothers im Jugendtreff Camp Feuerbach, in der Wiener Straße. Alle aktuellen News aus dem Bus, Fotos und Infos zu The Barr Brothers findet ihr immer live auf www.benjerry.de",0.5080941504523704
775,"FREE ICE CREAM & LIVE MUSIC Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis und bringen Live Music mit! Kommt vorbei und bringt eure Freunde mit! Am 22. Juli von 13-19 Uhr in Würzburg! Von 13-19 Uhr gibts FREE ICE CREAM und Live Music von The Barr Brothers im Skatepark, in der Mainaustraße. Alle aktuellen News aus dem Bus, Fotos und Infos zu The Barr Brothers findet ihr immer live auf www.benjerry.de",0.5025186015048225
696,"Heute Love, Peace & Music in Dortmund! Wir verschenken Eis und  Treetop Flyers grooven Live! Von 14 - 20h in der Skatehalle, Leopoldstraße. Mehr Infos: bit.ly/tasteandtunesinDortmund",0.4760944945898834
718,"Peace, Love, Music & Ice Cream - wir sind auf Tour! Wir verschenken Eis in noch 18 Städten und bringen Live Musik mit: bit.ly/TasteandTunesTour Heute versorgen wir Mannheim...",0.4748200750074025
677,"Heute hauen wir auf die Pauke! Großes #tasetandtunes TOUR-FINALE am Knust Hamburg! Von 14 - 20 Uhr mit Livemusik von hurricane dean, 2 Busse & 10.000 Eis for free!!!",0.4709425787280725
739,"Mannheim! Ihr rockt, wir rollen! Am 23. Juli gibts Ben & Jerry’s for free auf dem Marktplatz und dazu Live Musik von The Barr Brothers! Kommt vorbei und bringt alle Freunde mit! Alle Infos auf www.benjerry.de",0.4676868422747488
726,Sonst noch wer?? Jugendfreies Eis und Live Musik mit The Barr Brothers gibt es heute von 14-20 Uhr im Jugendhaus Feuerbach in Stuttgart.,0.4629609782980412
774,"FREE ICE CREAM & LIVE MUSIC Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis und bringen Live Music mit! Kommt vorbei und bringt eure Freunde mit! Am 23. Juli von 14-20 Uhr in Mannheim! Von 14-20 Uhr gibts FREE ICE CREAM und Live Music von The Barr Brothers auf dem Marktplatz in Mannheim, direkt bei dem Brunnen. Alle aktuellen News aus dem Bus, Fotos und Infos zu The Barr Brothers findet ihr immer live auf www.benjerry.de",0.4596791380290349
747,On the road again - heute startet unsere Ben & Jerry's Taste & Tunes Tour 2014 - Free Ice Cream & Live Music von Pool! Erster Tourstopp heute von 13-19 Uhr in Freiburg @ Schmitz Katze! Alle Dates & Infos zur Tour findet ihr auf www.benjerry.de,0.4581066530846765
762,"FREE ICE CREAM & LIVE MUSIC Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis und bringen Live Music mit! Kommt vorbei und bringt eure Freunde mit! Am 06. August von 13-19 Uhr in Berlin!  Von 13-19 Uhr gibts FREE ICE CREAM und Live Music von der Gewinner-Band des JOIZ Home Run-Finales an der Arena Berlin, in der Eichenstraße. Alle aktuellen News aus dem Bus, Fotos und alle Infos findet ihr immer live auf www.benjerry.de",0.4551685164775914
730,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Mannheim und bringen Live Music mit. Kommt vorbei und ladet alle eure Freunde ein! Am 23.7. von 14-20 Uhr!,0.45029769658253066
1053,"Für alle Ben & Jerry's Fans gibts ein exklusives Pre-Listening des Graffiti6 Albums ""Colours"" http://open.spotify.com/…/p…/playlist/7oWVwx5qvfPLivG3mqbknO Checkt's mal aus, denn wir sind große Fans!! Peace, Love & Ice Cream",0.44910592452021053
526,"Der perfekte Sommerabend: unter den Sternen ""(500) Days of Summer"" gucken & dazu Ben & Jerry's löffeln! FOR FREE! Heute Abend ab 19 Uhr im WERK2-Kulturfabrik in Leipzig! benjerry.de/movienights",0.447916965452326
