,message,musical_instrument
918,"Heute in Köln: Ben & Jerry & Timm & Frank & Melanie & Anne & Pia & Roman & Tilda & Emilia & Peter & Thilo & Murat & Lena & Katharina & Frank & Gerrit & Julius & Maren & Kerstin & Rudi & Sönke & Lutz & Eric & Etienne & Bebo & Benjamin & Blixt & Markus & Ingo & Taha & Kiki & Maike & Ralph & Eric & Sabine & Hanna & Carl & Jost & .... und ihr alle, die ihr heute mit Eis beschenkt werdet! Verlinkt euch auf dem Foto! Heute Ben & Jerry’s for free in Köln! Alle Infos auf http://www.benjerry.de/sorten/cores Kommt vorbei und bringt alle eure Freunde mit!",0.3461502295056681
1229,"Das sind doch mal echte Fans, oder was meint Ihr!? Könnt Ihr auch ein Lied über Ben & Jerry's singen? ;)",0.3342169319503505
677,"Heute hauen wir auf die Pauke! Großes #tasetandtunes TOUR-FINALE am Knust Hamburg! Von 14 - 20 Uhr mit Livemusik von hurricane dean, 2 Busse & 10.000 Eis for free!!!",0.3289367131627654
728,Am 27. Juli machen wir von 12-18 Uhr Sound & Eischeck in Aachen! Wir schenken euch Ben & Jerry’s und dazu gibts Live Musik von A Forest! Kommt vorbei und ladet alle eure Freunde ein! Alle Infos auf www.benjerry.de,0.26971548438879883
741,Eis im Akkord! Die Ben & Jerry's Taste & Tunes Tour kommt am 22. Juli nach Würzburg und schenkt euch das vielleicht leckerste Eis der Welt! Live Musik von The Barr Brothers gibts als Zugabe! Kommt vorbei und bringt alle eure Freunde mit! Wann und wo wir genau stehen auf www.benjerry.de,0.26362965215527634
1273,Don Rose gibt ein Konzert in der Tankstelle...,0.2485182593193709
856,Na gut... Heute nur einen Löffel Ben & Jerry‘s.,0.24188032651916436
517,"Entertainer, Organisator, Tröster, Umweltaktivist, Sänger, ... Vielleicht kennt ihr Multitalent Blixt von der Ben & Jerry's Movie Nights Tour 2015 - oder aus den Jahren zuvor. Wenn nicht, dann lernt ihn im Interview kennen! Bester Mann!",0.2373249645935441
698,Hallo Bochum! Heute gibts was auf die Ohren! Wir verschenken Eis und Treetop Flyers spielen Live. Wir sehen uns ab 14 Uhr am StrandDeck!,0.2359991650270748
238,Oh Dough Fröhliche!,0.2282962920091672
719,Unser Tipp gegen Lampenfieber! Freut euch auf free Ben & Jerry´s und Live Musik von The Barr Brothers am Marktplatz Mannheim von 14-20h. Mehr Infos: bit.ly/tasteandtunes_Mannheim,0.2273375572561251
690,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Leipzig und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 07.08. von 14-20 Uhr!,0.2252885430355775
682,Heute verschenken wir Eis in Leipzig! Von 14-20h an der Skatehalle Heizhaus Leipzig! hEIS: Shannon Saunders spielt Live!,0.22314973068870197
702,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Münster und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 02.08. von 15:30-20h!,0.22016505531722166
783,"Am Sonntag veröffentlichen wir den Tourplan!  Erratet ihr, welche Band uns zu dieser Sorte inspiriert hat?",0.21745296554779867
