,message,performance
517,"Entertainer, Organisator, Tröster, Umweltaktivist, Sänger, ... Vielleicht kennt ihr Multitalent Blixt von der Ben & Jerry's Movie Nights Tour 2015 - oder aus den Jahren zuvor. Wenn nicht, dann lernt ihn im Interview kennen! Bester Mann!",0.4750720121178145
746,"Ben & Jerry's Taste & Tunes Tour. Wir verschenken faires Eis und bringen Live Musik mit. Kommt vorbei und bringt eure Freunde mit! Tourdaten, Städte und alle Bands auf www.benjerry.de",0.4672414260912047
685,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Hannover und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 09.08. von 13-19 Uhr! ,0.4658684875740101
771,"FREE ICE CREAM & LIVE MUSIC Genieße leckeres Ben & Jerry's Eis for FREE und einen spektakulären Blick auf die Berliner East Side Gallery. Denn am 25. Juli stürmen wir die Dachterrasse des Berliner Senders JOIZ und verschenken Eis während des ""Home Run"" Finales.  Die ersten 200 am Bus bekommen Einlass zur Sendung, inklusive Live Music und Kür der Gewinner. Alle anderen bekommen eine Busladung Eis geschenkt! Zieh dir was Nettes an - schließlich bist du beim Fernsehen! ... Hier die Gewinner: 1. The Sunday Promise 2. Credibil 3. Kids of Adelaide Und wer am 25.Juli keine Zeit hat, kommt einfach am 6. August zu unserem ""richtigen"" Tour-Stop in Berlin, an der Arena Berlin. Alle Infos gibts auf www.benjerry.de See more",0.4657603211137977
744,Bringt eure bessere Hälfte zum Tanzen mit und kommt zur Ben & Jerry’s Taste & Tunes Tour am 21. Juli in Stuttgart! Es gibt das vielleicht leckerste Eis der Welt for free und Live Music von The Barr Brothers! Alle Infos auf www.benjerry.de,0.4553163906427756
690,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Leipzig und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 07.08. von 14-20 Uhr!,0.4519833933290879
538,"Heute Abend zeigen wir's euch! ""Birdman"" im Odonien in Köln. Ab 19 Uhr gibt's Open Air Kino und Ben & Jerry's FOR FREE! benjerry.de/movienights",0.4519073303223466
712,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Köln und bringen Live Music mit. Kommt vorbei und ladet alle eure Freunde ein! Am 29.7. von 14-20 Uhr!,0.4504388609723912
692,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Berlin und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 06.08. von 13-19 Uhr! ,0.4483915772343788
679,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Hamburg und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 12.08. von 14-20 Uhr!,0.4472423839813311
687,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Magdeburg und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 08.08. von 14-20 Uhr! ,0.444686632307285
709,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Düsseldorf und bringen Live Music mit. Kommt vorbei und ladet alle eure Freunde ein! Am 30.7. von 14-20 Uhr!,0.444302466365112
762,"FREE ICE CREAM & LIVE MUSIC Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis und bringen Live Music mit! Kommt vorbei und bringt eure Freunde mit! Am 06. August von 13-19 Uhr in Berlin!  Von 13-19 Uhr gibts FREE ICE CREAM und Live Music von der Gewinner-Band des JOIZ Home Run-Finales an der Arena Berlin, in der Eichenstraße. Alle aktuellen News aus dem Bus, Fotos und alle Infos findet ihr immer live auf www.benjerry.de",0.4432941585221343
745,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis und bringen Live Music mit! Kommt vorbei und ladet alle eure Freunde ein! Am 20. Juli von 11-17 Uhr in München!,0.44098151519183615
779,"Wir kommen wieder auf Tour, schenken euch faires Eis und bringen sogar Musik mit! Alle Städte und alle Bands auf www.benjerry.de",0.4405995211944079
