,message,pleasant
169,Ein Stückchen Frieden....ein Bissen Freude....,0.7792497132565431
400,Uns schmeckt jede Liebe!,0.7370795939468431
176,Liebe schmeckt jedem anders.,0.7370795910372016
798,Schnappt euch euren Lieblingsbaum und verschenkt Liebe! Es ist Tag der Erde!,0.7363228606712856
285,Die schönste Liebe. Sommerliebe.,0.7249924589591551
309,"Hallo München! Bevor wir Dienstag Abend faires Eis verschenken, versuchen wir mit euch gemeinsam eure Stadt ein bisschen schöner zu machen.",0.7225978306659161
547,"""Schöne Dinge fragen nicht nach Aufmerksamkeit."" Heute Abend zeigen wir ""Das erstaunliche Leben des Walter Mitty"" vor den Deichtorhallen Hamburg. Ab 19 Uhr gibt's Eis for free. Kommt rum! benjerry.de/movienights",0.7207118410708331
315,"Hallo Stuttgart! Bevor wir Samstag Abend faires Eis verschenken, versuchen wir mit euch gemeinsam eure Stadt ein bisschen schöner zu machen.",0.7189162515604551
247,"Was die Welt und ein Becher Ben & Jerry's gemeinsam haben? Je bunter, desto schöner.",0.7092210049176747
367,Wie löffelst du am liebsten?,0.7089641541789097
144,"Heute haben wir mal Torte statt Eis mitgebracht und feiern das Ergebnis des Deutschen Bundestag zur Ehe für alle. Danke für eure Unterstützung und schönes Wochenende! Peace, Love & Ehe für Alle!",0.7086408377269949
142,Topped Stimmung beim YEStival garantiert! Komm am 4. Juli in Köln vorbei. Löffel mit uns dein neues Lieblings-Eis und sag JA zur EHE FÜR ALLE! benjerrys.de/yestival,0.7049796222063834
890,Immer schön Eis nach dem anderen!,0.7041171037758486
1205,"R.I.P. Phish Food Eine traurige Nachricht, die wir Euch schon lange schulden: Leider haben wir nicht genügend Platz in unserem Kühlschrank und mussten wir uns 2011 von einer heißgeliebten Sorte trennen. Heißgeliebt, aber leider von zu wenigen von Euch. Phish Food bekommt einen besonderen Platz in Euren Herzen und unserem Flavour Graveyard.Und wer weiß,vielleicht können wir es ja eines Tages wieder zum Leben erwecken?",0.7020109056308251
6,Ein Tag voller ✌🏼❤️🍦Heute haben wir die ersten beiden Gewinnerinnen mit unserem riesen Geschenk-Paket glücklich gemacht! Macht mit auf: benjerry.de/feiert-geburtstag,0.6999036079266956
