,message,positive
617,Sogar am Valentinstag hat es manchmal Vorteile Single zu sein...,0.6288778081466787
223,2016 hat nicht jedem geschmeckt. Aber es gab auch viel Positives zu vermelden!,0.539817589372819
35,Bei uns bekommt jeder eine faire Chance.,0.5227467782373189
1147,"Heute ist Tag der Menschenrechte! Genau deshalb liegt uns der faire Handel so sehr am Herzen. Und keiner könnte es besser ausdrücken als unser Gründer Jerry Greenfield selbst:  ""Fairtrade bedeutet sicherzustellen, dass jeder sein Stück vom Kuchen abbekommt. Das gesamte Konzept hinter Fairtrade entspricht exakt unseren Werten und unserem Gerechtigkeitsempfinden. Es will doch niemand etwas kaufen, für dessen Herstellung jemand anderes ausgebeutet wurde."" Was denkt ihr?",0.5186610465201325
1207,"Ihr fragt uns immer wieder, warum wir so viele der großartigen US-Sorten nicht hier haben. Berechtigt und natürlich nicht FAIR von uns! Aber wer weiß, vielleicht finden wir ja jetzt eine Möglichkeit... Welche hättet ihr denn am liebsten?",0.4634811999688889
588,"Schaut mal, was für einen Unterschied 2° Grad ausmachen. Helft mit auf benjerry.de/klima! #klimaschutz",0.4597583441914551
648,Wir sorgen uns um das Wohlbefinden unserer (wichtigsten) Mitarbeiter - den Kühen! Kuhle Sache dieses Caring Dairy ➡ bit.ly/CaringDairy #happycow #socialmission #benandjerry,0.4579012881688698
670,"BIST DU DER NÄCHSTE BEN & JERRY´S? Du bist Jungunternehmer, setzt dich mit deinem Start-Up-Unternehmen für einen positiven Wandel in der Gesellschaft ein und bist zugleich wirtschaftlich erfolgreich? Bewirb dich jetzt und gewinne10.000 € + Logo auf der nächsten Ben & Jerry´s Sorte und und und... ➡ www.benjerry.de",0.4469822387500181
1002,Wofür würdet ihr euch entscheiden? :),0.43505368278317497
1164,"Hallo Münster! Ihr scheint genau zu wissen, was gut für Kühe ist: schließlich habt Ihr sogar ein ganzes Stadtviertel danach benannt: das Kuhviertel! Grund genug für uns heute vorbeizuschauen und Euch einen Tag lang mit FREE ICE zu beschenken!! Ist zwar schwer vorzustellen, dass allein der Genuss eines Bechers Ben & Jerry's die Welt ein bisschen besser macht - die Geschichte von Ben & Jerry’s aber zeigt: Das ist tatsächlich möglich. Mit Fairtrade zertifizierter Eiskrem, klimaneutraler Produktion und Projekten wie „Caring Dairy“ für unsere Kühe wird die Welt tatsächlich Löffel für Löffel ein kleines bisschen besser. In diesem Sinne: lasst es Euch schmecken! Wo genau wir heute halten erfahrt Ihr hier: http://on.fb.me/FairIceTour",0.4280576919491277
1232,"Heute ist der internationale Tag der Milch und auch gleichzeitig Weltbauerntag.  Unsere gute Milch ist ein entscheidender Grund, warum Ben & Jerry's so lecker schmeckt. Daher achten wir ganz besonders darauf, dass es unseren Kühen und aber auch unseren Milchbauern gut geht! Wenn Ihr wissen wollt, wie wir das machen, dann findet Ihr hier mehr über das ""Cairing Dairy"" Programm:",0.422374381774208
1052,Wir sind Viele! 300.000 Wow! Nutzt diese Power für das Wohl der Kühe: www.happycows.eu/de Das passende Produkt gibt’s ab sofort!,0.4181127674164548
1202,"Hier noch einmal kurz an Euch alle eine kurze Erklärung zu unserem Fair Flavour Voting, da es hier wohl noch einige Unklarheiten gab...",0.41640272485050106
174,"Keine Liebe ist illegal! Gemeinsam haben wir die einmalige Chance, die Ehe für alle in Deutschland möglich zu machen. Dafür brauchen wir jetzt deine Hilfe.",0.4152636295241377
184,Innerhalb kürzester Zeit haben wir bereits über 3.000 Stimmen für Ehe für alle gesammelt. Da geht noch mehr! Hast du schon JA gesagt?,0.41355265895698784
