,message,power
127,In der Truhe liegt die Kraft!,0.7034940976860026
459,"Wenn die Länder der COP21 nicht verhindern, dass die Polkappen schmelzen, wird’s richtig bitter. Und zwar für alle, die auf dieser Erde leben.",0.473074908364268
44,Wir feiern unsere inneren Werte.,0.43217208384856975
297,Weil die Welt Eis braucht. An den Polen.,0.4293803165112093
591,IHR bringt euer Engagement für den Klimaschutz und WIR bringen die Eiscreme! Demonstriert mit uns am 12. Mai für den Ausstieg aus der Kohleverstromung!,0.41937604546150936
149,Eis ab! Film läuft. Nächste Woche startet unsere YEStival Tour in 4 deutschen Städten. Lasst uns in diesem Jahr gemeinsam ein Zeichen für mehr Gerechtigkeit und Liebe setzen. Sagt JA zur Ehe für alle! benjerry.de/yestival,0.4192997182569755
75,Nicht nur beim Eis zählen die inneren Werte.,0.4187851752543576
1028,"Heute noch einmal richtig den Löffel reinhauen, bevor morgen die Welt untergeht :)",0.4157498926050708
484,Bloß nicht die Berliner Schnauze halten!  Kämpft mit uns für den Klimaschutz!,0.4132001042614779
279,"Genial, dass die Politik den Klimawandel auf Eis legen will. Aber jetzt müssen auch Taten folgen, damit diese Sorten nicht aus dem Kühlschrank verschwinden.",0.41263766985849576
38,"Alles, was du heute brauchst. Gern geschehen :-)",0.4096606104265356
465,Weltklasse Eiscreme gibt’s nur auf dieser Welt! Deshalb muss COP21 die Erderwärmung stoppen!,0.40796025199472097
891,Ab 25°C zählen nur noch die inneren Werte!,0.4051533108629744
246,Die inneren Werte zählen.,0.4051533105313264
200,"Am 4. April kommen wir mit einer vollen Busladung Liebe nach Köln, um mit euch den „Free Cone Day“ zu feiern.  Dieser Tag ist ein Fest für Eisliebhaber, an dem sich seit 1979 alle Fans von Ben & Jerry’s über kostenlose Eiscreme in den Scoop Shops freuen. In Deutschland kommen wir jedes Jahr mit unserem Bus in einer Stadt vorbei und löffeln euch ein Lächeln ins Gesicht.  In diesem Jahr wollen wir die Gelegenheit nutzen, nicht nur Free Eiscreme zu feiern, sondern auch ein Zei...chen für Gerechtigkeit setzen. Wir finden, gleichgeschlechtliche Paare sollten endlich die gleichen Rechte wie heterosexuelle haben. Denn kein Staat sollte zwei Liebenden verbieten, sich das JA-Wort zu geben. In mehr als 20 Ländern ist das Verbot gleichgeschlechtlicher Ehe zum Glück abgeschafft. Im Jahr 2016 haben Irland, Grönland, Mexiko, Portugal und die USA die gleichgeschlechtliche Ehe legalisiert.  In Deutschland werden Homosexuelle leider immer noch diskriminiert, weil ihnen das Recht zu heiraten, verwehrt bleibt. Die Initiative „EHE FÜR ALLE“ setzt sich aktiv dafür ein, gleiches Recht für alle zu schaffen. Am Free Cone Day 2017 benennen wir unsere beliebteste Sorte „Cookie Dough“ symbolisch in „Yes, I Dough“ um, weil wir der Ehe für alle unser JA-Wort geben. Kommt vorbei, schnappt euch einen Shortie* und setzt ein buntes Zeichen für die Liebe. Für mehr Infos zum Thema EHE FÜR ALLE und zur Initiative geht’s hier lang: www.ehefueralle.de *wie immer gilt: solange der Vorrat reicht :-) See more",0.4048361251493683
