,message,protective
394,Ben & Jerry’s? Aber sicher!,0.7377840314123376
150,"Fast geschafft! Die EHE FÜR ALLE ist zum Greifen nah – jetzt noch einmal alles geben und die Abgeordneten auffordern, JA zu sagen.",0.57733812932596
63,"Für alle, die den Mund gerne mal zu voll nehmen!",0.5735193493481463
327,Morgen Abend geht's los! Und natürlich gibt's wie immer FAIRES EIS FÜR SAUBERES WASSER.,0.5621039618436356
368,Wer hat nochmal am meisten Keksteig im Eis?,0.5580513420888227
126,Egal was passiert: mit Ben & Jerry’s bist du immer Topped vorbereitet.,0.5568932048738472
38,"Alles, was du heute brauchst. Gern geschehen :-)",0.5564277033376994
1164,"Hallo Münster! Ihr scheint genau zu wissen, was gut für Kühe ist: schließlich habt Ihr sogar ein ganzes Stadtviertel danach benannt: das Kuhviertel! Grund genug für uns heute vorbeizuschauen und Euch einen Tag lang mit FREE ICE zu beschenken!! Ist zwar schwer vorzustellen, dass allein der Genuss eines Bechers Ben & Jerry's die Welt ein bisschen besser macht - die Geschichte von Ben & Jerry’s aber zeigt: Das ist tatsächlich möglich. Mit Fairtrade zertifizierter Eiskrem, klimaneutraler Produktion und Projekten wie „Caring Dairy“ für unsere Kühe wird die Welt tatsächlich Löffel für Löffel ein kleines bisschen besser. In diesem Sinne: lasst es Euch schmecken! Wo genau wir heute halten erfahrt Ihr hier: http://on.fb.me/FairIceTour",0.5531316893282829
1242,"Muh zusammen! Wir brauchen mal Eure Hilfe... Wie Ihr wisst, arbeiten wir daran, unser gesamtes Eis auf Fairtrade umzustellen. Das heisst: Vanille, Zucker, Nüsse, Bananen und Kakao für unser Eis und die RIESENSTÜCKCHEN kommen jetzt aus fairem Handel. Wie findet Ihr das eigentlich? Mal ganz ehrlich...",0.5463738358782694
1253,Im Februar bekommen wir Besuch von unseren Firmengründern Ben Cohen & Jerry Greenfield! Sicherlich habt Ihr Millionen Fragen & sagt uns doch einfach was wir klären sollen!,0.5446161196491447
665,"Niemand braucht Waffen, höchstens Löffel. #worldpeaceday #peaceoneday",0.5415445977297384
123,In diesem Jahr lassen wir zum 39. Mal die Löffel hochleben!,0.5409008467706645
871,Achtung Nebenwirkung: kann zu plötzlichem Niederknien führen!,0.5399253143958671
446,Im Heißhunger-Notfall: Einfach Scheibe einschlagen!,0.5396586662914882
1061,"+++ Achtung +++ Achtung!! Wer sich heute in Leipzig kein faires Ben & Jerry's Eis schenken lässt, wird selber gefressen! www.fairicetour.de",0.5382969636819681
