,message,responsible
1147,"Heute ist Tag der Menschenrechte! Genau deshalb liegt uns der faire Handel so sehr am Herzen. Und keiner könnte es besser ausdrücken als unser Gründer Jerry Greenfield selbst:  ""Fairtrade bedeutet sicherzustellen, dass jeder sein Stück vom Kuchen abbekommt. Das gesamte Konzept hinter Fairtrade entspricht exakt unseren Werten und unserem Gerechtigkeitsempfinden. Es will doch niemand etwas kaufen, für dessen Herstellung jemand anderes ausgebeutet wurde."" Was denkt ihr?",0.6323096239140991
1164,"Hallo Münster! Ihr scheint genau zu wissen, was gut für Kühe ist: schließlich habt Ihr sogar ein ganzes Stadtviertel danach benannt: das Kuhviertel! Grund genug für uns heute vorbeizuschauen und Euch einen Tag lang mit FREE ICE zu beschenken!! Ist zwar schwer vorzustellen, dass allein der Genuss eines Bechers Ben & Jerry's die Welt ein bisschen besser macht - die Geschichte von Ben & Jerry’s aber zeigt: Das ist tatsächlich möglich. Mit Fairtrade zertifizierter Eiskrem, klimaneutraler Produktion und Projekten wie „Caring Dairy“ für unsere Kühe wird die Welt tatsächlich Löffel für Löffel ein kleines bisschen besser. In diesem Sinne: lasst es Euch schmecken! Wo genau wir heute halten erfahrt Ihr hier: http://on.fb.me/FairIceTour",0.5332448065257229
463,"COP21 ist eine der wichtigsten Entscheidungen unserer Zeit! Wenn der Klimawandel nicht gestoppt wird, betrifft das jeden von uns.",0.5305921998076306
394,Ben & Jerry’s? Aber sicher!,0.5134140890365056
150,"Fast geschafft! Die EHE FÜR ALLE ist zum Greifen nah – jetzt noch einmal alles geben und die Abgeordneten auffordern, JA zu sagen.",0.5094908526489466
177,So machst Du Deutschland vom Sofa aus gerechter: In wenigen Schritten für eine faire Gesellschaft.,0.5043312447009051
998,Bist du der nächste Ben&Jerry‘s? Gemeinsam mit Ashoka suchen wir europaweit Nachwuchs-Sozialunternehmer mit einer spannenden Businessidee mit nachhaltiger gesellschaftlicher Wirkung. Dem Gewinner winken unter anderem 10.000€ und sein eigenes Firmenlogo auf einer neuen Ben & Jerry’s Sorte! Alle Infos unter www.benjerry.de!,0.5033958949480549
670,"BIST DU DER NÄCHSTE BEN & JERRY´S? Du bist Jungunternehmer, setzt dich mit deinem Start-Up-Unternehmen für einen positiven Wandel in der Gesellschaft ein und bist zugleich wirtschaftlich erfolgreich? Bewirb dich jetzt und gewinne10.000 € + Logo auf der nächsten Ben & Jerry´s Sorte und und und... ➡ www.benjerry.de",0.4921795874518583
505,"Wir lieben Schokolade. Aber Erderwärmung bedeutet das Ende unserer Schokostücke! Wie der Klimawandel unsere Sorten gefährdet, erfährst du hier: benjerrys.co/1iq2llR",0.4888465738577054
1232,"Heute ist der internationale Tag der Milch und auch gleichzeitig Weltbauerntag.  Unsere gute Milch ist ein entscheidender Grund, warum Ben & Jerry's so lecker schmeckt. Daher achten wir ganz besonders darauf, dass es unseren Kühen und aber auch unseren Milchbauern gut geht! Wenn Ihr wissen wollt, wie wir das machen, dann findet Ihr hier mehr über das ""Cairing Dairy"" Programm:",0.4864535404272966
151,Wir verwenden ausschließlich Topped Zutaten. Und davon sehr viele. Jetzt neu!,0.4833022414660769
638,Wir lassen unseren Abfall für uns arbeiten! Erfahre mehr dazu ➡ www.benjerry.de/blog/wie-wir-energie-machen,0.4805596639134881
1002,Wofür würdet ihr euch entscheiden? :),0.4784683192182079
648,Wir sorgen uns um das Wohlbefinden unserer (wichtigsten) Mitarbeiter - den Kühen! Kuhle Sache dieses Caring Dairy ➡ bit.ly/CaringDairy #happycow #socialmission #benandjerry,0.4769330425988638
441,Das nennen wir eine ausgewogene Persönlichkeit.,0.4725760449175893
