,message,science
124,Ist das Kunst oder kann das rein?,0.34862773143629977
85,Ist das Kunst oder kann man das weglöffeln?,0.3382803860722022
1069,Revoluzzer bleibt Revoluzzer. Unser Gründer Jerry im Interview. http://www.welt.de/…/Ben-amp-Jerry-s-macht-Politik-mit-neue…,0.32488652521897154
491,Kernfusion jetzt ganz fair und lecker.,0.3207303112046925
422,Für unsere neue Erfindung musst du Eis essen völlig neu erlernen!,0.3195194083813523
60,Der Klimawandel ist so gar nicht zum Dahinschmelzen.,0.3151633293059183
253,"Iss die Welt, wie sie dir gefällt.",0.3133025320746295
474,"Rettet die Erde! Sie ist der einzige Planet mit Ben & Jerry's! Kommt zum Berlin: Global Climate March, damit die Nationen bei der UN-Klimakonferenz was unternehmen.  Zum Event: benjerrys.co/marchberlin",0.2981735146466327
518,Der Beweis: Auch in Hollywood zählen noch die inneren Werte.,0.2939153439178173
279,"Genial, dass die Politik den Klimawandel auf Eis legen will. Aber jetzt müssen auch Taten folgen, damit diese Sorten nicht aus dem Kühlschrank verschwinden.",0.28806572783278683
204,Bist du ein Becher-Wisser in Sachen Klimawandel?,0.2798987706766352
896,Unser Beitrag gegen die heutige Erderwärmung!,0.2788450565621212
428,Globale Eiserwärmung stoppen! Jetzt! benjerry.de/klima,0.2782715338708394
638,Wir lassen unseren Abfall für uns arbeiten! Erfahre mehr dazu ➡ www.benjerry.de/blog/wie-wir-energie-machen,0.2780271151796951
271,Die Welt ist eine Kugel.,0.2771056205750688
