,message,see
685,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Hannover und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 09.08. von 13-19 Uhr! ,0.6189669059571431
748,Könnt ihr uns schon hören? Die Ben & Jerry's Taste & Tunes Tour kommt am 8. Juli nach Freiburg! Es gibt faires Eis geschenkt und Live Musik von Pool! Kommt vorbei und bringt eure Freunde mit! Wann und wo wir genau stehen auf www.benjerry.de,0.6156588485620882
1216,Und hier (wie versprochen) die Weltpremiere des neuen Kino-Spots von Ben & Jerry's! Bald könnt ihr ihn auch auf vielen deutschen Kino-Leinwänden bewundern und dabei ein Ben & Jerry's genießen...,0.6094805688167367
690,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Leipzig und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 07.08. von 14-20 Uhr!,0.6058757907383319
692,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Berlin und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 06.08. von 13-19 Uhr! ,0.6041953935088966
954,"Dabei sein ist alles! Lasst die Spiele beginnen!  Am Donnerstag startet die Ben & Jerry's Core Tour!!! Wo es Eis geschenkt gibt, seht ihr immer live auf www.benjerry.de",0.6033806766428703
679,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Hamburg und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 12.08. von 14-20 Uhr!,0.6011016468311218
695,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Dresden und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 05.08. von 13-19 Uhr! ,0.6008089468584858
555,Wir zeigen übrigens auch Jungsfilme! In vier Tagen startet die Tour! benjerry.de/movienights,0.6007085552535439
702,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Münster und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 02.08. von 15:30-20h!,0.5910023201713391
687,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Magdeburg und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 08.08. von 14-20 Uhr! ,0.5893277373927588
957,"Ben&Jerry´s Core Tour – wir verschenken Eis! Kommt vorbei und bringt eure Freunde mit! Am 28. Juni von 14-20 Uhr in Hannover! Wir stehen am Platz der Weltausstellung in Hannover. Wo der Bus auf den Meter genau steht, alle aktuellen News aus dem Bus und leckere Fotos seht ihr dann immer live auf www.benjerry.de",0.5874108992687472
960,"Ben&Jerry´s Core Tour – wir verschenken Eis! Kommt vorbei und bringt eure Freunde mit! Am 26. Juni von 14-20 Uhr in Berlin! Wir stehen vor der Technischen Universität, Straße des 17. Juni 135. Wo der Bus auf den Meter genau steht, alle aktuellen News aus dem Bus und leckere Fotos seht ihr dann immer live auf www.benjerry.de",0.5859137206643761
681,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Kiel und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 11.08. von 14-20 Uhr! ,0.5854963513015012
683,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Bremen und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 10.08. von 13-19 Uhr!,0.584949892280661
