,message,show
351,Ben & Jerry's Movie Nights – wir verschenken Eis in Berlin und bringen ein Open Air Kino mit! Kommt vorbei am 13. Juli ab 19 Uhr!,0.5233779133984205
325,Ben & Jerry's Movie Nights – wir verschenken Eis in Köln und bringen ein Open Air Kino mit! Kommt vorbei am 20. Juli ab 19 Uhr!,0.5157641187965112
348,Ben & Jerry's Movie Nights – wir verschenken Eis in Leipzig und bringen ein Open Air Kino mit! Kommt vorbei am 14. Juli ab 19 Uhr!,0.5115606598042173
343,Ben & Jerry's Movie Nights – wir verschenken Eis in Dresden und bringen ein Open Air Kino mit! Kommt vorbei am 15. Juli ab 19 Uhr!,0.5103807958899296
318,Ben & Jerry's Movie Nights – wir verschenken Eis in Stuttgart und bringen ein Open Air Kino mit! Kommt vorbei am 23. Juli ab 19 Uhr!,0.5098087585426483
313,Ben & Jerry's Movie Nights – wir verschenken Eis in München und bringen ein Open Air Kino mit! Kommt vorbei am 26. Juli ab 19 Uhr!,0.5090868995876174
762,"FREE ICE CREAM & LIVE MUSIC Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis und bringen Live Music mit! Kommt vorbei und bringt eure Freunde mit! Am 06. August von 13-19 Uhr in Berlin!  Von 13-19 Uhr gibts FREE ICE CREAM und Live Music von der Gewinner-Band des JOIZ Home Run-Finales an der Arena Berlin, in der Eichenstraße. Alle aktuellen News aus dem Bus, Fotos und alle Infos findet ihr immer live auf www.benjerry.de",0.5084228384242538
354,Ben & Jerry's Movie Nights – wir verschenken Eis in Hamburg und bringen ein Open Air Kino mit! Kommt vorbei am 11. Juli ab 19 Uhr!,0.5080077883021604
692,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Berlin und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 06.08. von 13-19 Uhr! ,0.5050074983953942
538,"Heute Abend zeigen wir's euch! ""Birdman"" im Odonien in Köln. Ab 19 Uhr gibt's Open Air Kino und Ben & Jerry's FOR FREE! benjerry.de/movienights",0.5020729942870923
690,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Leipzig und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 07.08. von 14-20 Uhr!,0.4984209343484623
322,Ben & Jerry's Movie Nights – wir verschenken Eis in Mainz und bringen ein Open Air Kino mit! Kommt vorbei am 21. Juli ab 19 Uhr!,0.4961734786167871
771,"FREE ICE CREAM & LIVE MUSIC Genieße leckeres Ben & Jerry's Eis for FREE und einen spektakulären Blick auf die Berliner East Side Gallery. Denn am 25. Juli stürmen wir die Dachterrasse des Berliner Senders JOIZ und verschenken Eis während des ""Home Run"" Finales.  Die ersten 200 am Bus bekommen Einlass zur Sendung, inklusive Live Music und Kür der Gewinner. Alle anderen bekommen eine Busladung Eis geschenkt! Zieh dir was Nettes an - schließlich bist du beim Fernsehen! ... Hier die Gewinner: 1. The Sunday Promise 2. Credibil 3. Kids of Adelaide Und wer am 25.Juli keine Zeit hat, kommt einfach am 6. August zu unserem ""richtigen"" Tour-Stop in Berlin, an der Arena Berlin. Alle Infos gibts auf www.benjerry.de See more",0.4942409053832492
352,Ben & Jerry's Movie Nights – wir verschenken Eis in Rostock und bringen ein Open Air Kino mit! Kommt vorbei am 12. Juli ab 19 Uhr!,0.4932292024262562
679,Ben & Jerry's Taste & Tunes Tour – wir verschenken Eis in Hamburg und bringen Live Musik mit! Kommt vorbei und ladet alle eure Freunde ein! Am 12.08. von 14-20 Uhr!,0.4925418152097305
