,message,social justice + dairy free vegan
177,So machst Du Deutschland vom Sofa aus gerechter: In wenigen Schritten für eine faire Gesellschaft.,0.5358051094724461
1147,"Heute ist Tag der Menschenrechte! Genau deshalb liegt uns der faire Handel so sehr am Herzen. Und keiner könnte es besser ausdrücken als unser Gründer Jerry Greenfield selbst:  ""Fairtrade bedeutet sicherzustellen, dass jeder sein Stück vom Kuchen abbekommt. Das gesamte Konzept hinter Fairtrade entspricht exakt unseren Werten und unserem Gerechtigkeitsempfinden. Es will doch niemand etwas kaufen, für dessen Herstellung jemand anderes ausgebeutet wurde."" Was denkt ihr?",0.5114992661487354
505,"Wir lieben Schokolade. Aber Erderwärmung bedeutet das Ende unserer Schokostücke! Wie der Klimawandel unsere Sorten gefährdet, erfährst du hier: benjerrys.co/1iq2llR",0.4847947817210462
591,IHR bringt euer Engagement für den Klimaschutz und WIR bringen die Eiscreme! Demonstriert mit uns am 12. Mai für den Ausstieg aus der Kohleverstromung!,0.47691716955715796
222,Es ist an der Zeit für die Werte unserer Gesellschaft auf- und zusammenzustehen.,0.4696308512832837
1232,"Heute ist der internationale Tag der Milch und auch gleichzeitig Weltbauerntag.  Unsere gute Milch ist ein entscheidender Grund, warum Ben & Jerry's so lecker schmeckt. Daher achten wir ganz besonders darauf, dass es unseren Kühen und aber auch unseren Milchbauern gut geht! Wenn Ihr wissen wollt, wie wir das machen, dann findet Ihr hier mehr über das ""Cairing Dairy"" Programm:",0.4622921837894678
1164,"Hallo Münster! Ihr scheint genau zu wissen, was gut für Kühe ist: schließlich habt Ihr sogar ein ganzes Stadtviertel danach benannt: das Kuhviertel! Grund genug für uns heute vorbeizuschauen und Euch einen Tag lang mit FREE ICE zu beschenken!! Ist zwar schwer vorzustellen, dass allein der Genuss eines Bechers Ben & Jerry's die Welt ein bisschen besser macht - die Geschichte von Ben & Jerry’s aber zeigt: Das ist tatsächlich möglich. Mit Fairtrade zertifizierter Eiskrem, klimaneutraler Produktion und Projekten wie „Caring Dairy“ für unsere Kühe wird die Welt tatsächlich Löffel für Löffel ein kleines bisschen besser. In diesem Sinne: lasst es Euch schmecken! Wo genau wir heute halten erfahrt Ihr hier: http://on.fb.me/FairIceTour",0.4607886280859028
484,Bloß nicht die Berliner Schnauze halten!  Kämpft mit uns für den Klimaschutz!,0.4570168089875373
279,"Genial, dass die Politik den Klimawandel auf Eis legen will. Aber jetzt müssen auch Taten folgen, damit diese Sorten nicht aus dem Kühlschrank verschwinden.",0.4552920965707909
180,Gerechtigkeit ist keine Frage des Geschmacks.,0.4552541950091724
463,"COP21 ist eine der wichtigsten Entscheidungen unserer Zeit! Wenn der Klimawandel nicht gestoppt wird, betrifft das jeden von uns.",0.4551431330915024
200,"Am 4. April kommen wir mit einer vollen Busladung Liebe nach Köln, um mit euch den „Free Cone Day“ zu feiern.  Dieser Tag ist ein Fest für Eisliebhaber, an dem sich seit 1979 alle Fans von Ben & Jerry’s über kostenlose Eiscreme in den Scoop Shops freuen. In Deutschland kommen wir jedes Jahr mit unserem Bus in einer Stadt vorbei und löffeln euch ein Lächeln ins Gesicht.  In diesem Jahr wollen wir die Gelegenheit nutzen, nicht nur Free Eiscreme zu feiern, sondern auch ein Zei...chen für Gerechtigkeit setzen. Wir finden, gleichgeschlechtliche Paare sollten endlich die gleichen Rechte wie heterosexuelle haben. Denn kein Staat sollte zwei Liebenden verbieten, sich das JA-Wort zu geben. In mehr als 20 Ländern ist das Verbot gleichgeschlechtlicher Ehe zum Glück abgeschafft. Im Jahr 2016 haben Irland, Grönland, Mexiko, Portugal und die USA die gleichgeschlechtliche Ehe legalisiert.  In Deutschland werden Homosexuelle leider immer noch diskriminiert, weil ihnen das Recht zu heiraten, verwehrt bleibt. Die Initiative „EHE FÜR ALLE“ setzt sich aktiv dafür ein, gleiches Recht für alle zu schaffen. Am Free Cone Day 2017 benennen wir unsere beliebteste Sorte „Cookie Dough“ symbolisch in „Yes, I Dough“ um, weil wir der Ehe für alle unser JA-Wort geben. Kommt vorbei, schnappt euch einen Shortie* und setzt ein buntes Zeichen für die Liebe. Für mehr Infos zum Thema EHE FÜR ALLE und zur Initiative geht’s hier lang: www.ehefueralle.de *wie immer gilt: solange der Vorrat reicht :-) See more",0.4405801489744292
1242,"Muh zusammen! Wir brauchen mal Eure Hilfe... Wie Ihr wisst, arbeiten wir daran, unser gesamtes Eis auf Fairtrade umzustellen. Das heisst: Vanille, Zucker, Nüsse, Bananen und Kakao für unser Eis und die RIESENSTÜCKCHEN kommen jetzt aus fairem Handel. Wie findet Ihr das eigentlich? Mal ganz ehrlich...",0.4384055774166815
191,Wir glauben an Eisliebe in jeder Beziehung.,0.4362249364274501
816,Vorsatz für diese Woche: Tut Gutes und esst mehr Fairtrade Eis. Fairtrade Deutschland,0.4306578385013333
