,message,social justice + migration
156,Jeder hat ein Recht auf ein Leben in Sicherheit. Darum machen wir uns für Menschen auf der Flucht stark und ihr könnt uns dabei unterstützen: http://www.benjerry.de/aktuelle-initi…/together-for-refugees #WorldRefugeeDay,0.5515358828511914
122,Wir heben unsere Löffel für besonders schutzbedürftige Geflüchtete.,0.4838427576769884
174,"Keine Liebe ist illegal! Gemeinsam haben wir die einmalige Chance, die Ehe für alle in Deutschland möglich zu machen. Dafür brauchen wir jetzt deine Hilfe.",0.4618640511947733
992,"Vielen Dank für die gute Stimmung und vor allem für eure Unterstützung für unsere EU-Petition zur besseren Milchkuhhaltung www.happycows.eu/de/sign und die Spenden für die Stiftung Gute-Tat.de - Standort Hamburg! Wir freuen uns auf nächstes Jahr! Peace, Love & Icecream!",0.4600565880004796
589,"Unsere Freunde von AVAAZ Deutschland - Die Welt in Aktion setzen sich fürs Klima ein und wir unterstützen sie... Und zwar so, wie wir's am Besten können: Wir verschenken Ben & Jerry's auf der Demo! Fair, oder!? Kommt vorbei! Wer nicht dabei sein kann, kann auch helfen! Unterzeichnet die Klimaschutz-Petition auf bit.ly/klima-petition!",0.4489123560189317
590,"Unsere Freunde von AVAAZ Deutschland - Die Welt in Aktion setzen sich fürs Klima ein und wir unterstützen sie... Und zwar so, wie wir's am Besten können: Wir verschenken Ben & Jerry's auf der Demo! Fair, oder!? Kommt vorbei! Wer nicht dabei sein kann, kann auch helfen! Unterzeichnet die Klimaschutz-Petition auf bit.ly/klima-petition!",0.4489123560189317
222,Es ist an der Zeit für die Werte unserer Gesellschaft auf- und zusammenzustehen.,0.4460343373463255
780,Der Bundestag hat die weitgehende steuerliche Gleichstellung der Ehe und der homosexuellen Lebenspartnerschaften beschlossen! We like!!! Ben & Jerry's unterstützt die gleichgeschlechtliche Liebe! http://www.benjerry.de/…/aktuelle…/gleichgeschlechtliche-ehe,0.4373280088042081
661,Über 1/3 der Menschen in Deutschland sind ehrenamtlich engagiert. Willst du DEIN Engagement zum Beruf machen? Bewirb dich jetzt als Nachwuchs-Sozialunternehmer ➡ www.benjerry.de,0.4286566291945357
601,"Wir verschenken am 14. April 2015 Eis in der Stadt, mit den meisten Zugriffen auf unsere Klimaschutz-Petition auf www.benjerry.de/unsere-mission/werde-klimaschutzer! Los geht‘s!",0.42249668783221794
200,"Am 4. April kommen wir mit einer vollen Busladung Liebe nach Köln, um mit euch den „Free Cone Day“ zu feiern.  Dieser Tag ist ein Fest für Eisliebhaber, an dem sich seit 1979 alle Fans von Ben & Jerry’s über kostenlose Eiscreme in den Scoop Shops freuen. In Deutschland kommen wir jedes Jahr mit unserem Bus in einer Stadt vorbei und löffeln euch ein Lächeln ins Gesicht.  In diesem Jahr wollen wir die Gelegenheit nutzen, nicht nur Free Eiscreme zu feiern, sondern auch ein Zei...chen für Gerechtigkeit setzen. Wir finden, gleichgeschlechtliche Paare sollten endlich die gleichen Rechte wie heterosexuelle haben. Denn kein Staat sollte zwei Liebenden verbieten, sich das JA-Wort zu geben. In mehr als 20 Ländern ist das Verbot gleichgeschlechtlicher Ehe zum Glück abgeschafft. Im Jahr 2016 haben Irland, Grönland, Mexiko, Portugal und die USA die gleichgeschlechtliche Ehe legalisiert.  In Deutschland werden Homosexuelle leider immer noch diskriminiert, weil ihnen das Recht zu heiraten, verwehrt bleibt. Die Initiative „EHE FÜR ALLE“ setzt sich aktiv dafür ein, gleiches Recht für alle zu schaffen. Am Free Cone Day 2017 benennen wir unsere beliebteste Sorte „Cookie Dough“ symbolisch in „Yes, I Dough“ um, weil wir der Ehe für alle unser JA-Wort geben. Kommt vorbei, schnappt euch einen Shortie* und setzt ein buntes Zeichen für die Liebe. Für mehr Infos zum Thema EHE FÜR ALLE und zur Initiative geht’s hier lang: www.ehefueralle.de *wie immer gilt: solange der Vorrat reicht :-) See more",0.4163404221429448
155,"Unser Herz schlägt nicht nur für Eiscreme, sondern auch für die Initiative Ehe für alle. benjerry.de/aktuelle-initiativen/ehe-fuer-alle/messenger",0.4161807842305768
1019,Glückliche Kühe auf dem Weg zur Großdemo “Wir haben es satt” in Berlin gesichtet! Unterschreibt bei unserer Kampagne http://www.happycows.eu/de für eine tiergerechte Haltung von Milchkühen in der ganzen EU.,0.4102352755470104
158,Löffelt was ihr wollt. Heiratet wen ihr wollt.  benjerry.de/aktuelle-initiativen/ehe-fuer-alle/messenger,0.4056280890846747
1038,Wir haben schon 13.350 Unterschriften in Europa gesammelt!Danke! Unterstützt uns weiter für mehr glückliche Kühe in Europa! www.benjerry.de,0.4056159224892674
