,message,sporty
878,Unsere Empfehlung für eine ausgeglichene Ernährung:,0.4788901964284738
422,Für unsere neue Erfindung musst du Eis essen völlig neu erlernen!,0.4787443797187512
1155,"PEACE, Love & geschmolzene Ice Cream… Letzte Woche waren wir in Berlin auf dem World Peace Festival und haben uns mit spannenden Menschen darüber ausgetauscht was wir tun müssen, um die Welt zu einem friedlicheren Ort zu machen. Unser starkes Engagement in Fairtrade sowie die klimaneutrale Produktion sind nur ein kleiner Beitrag hierzu.  Als kleines Extra hatten wir speziell für das Festival eine eigene Sorte kreiert – Imagine Whirled Peace! (Cookie Dough mit Schokoladen - Pe...acezeichen). Leider hat jemand den Klimaschutz etwas zu ernst genommen und nachts unsere Eistruhe ausgesteckt.  Friede fängt oft schon mit so kleinen Dingen wie einem freundlichen Lächeln oder einem kurzen Dankeschön an. Was macht Ihr im Alltag, um die Welt ein bisschen zu verbessern? See more",0.4712956436775198
1231,"Hallo liebe Ben&Jerry's Fans! Wie Ihr wisst ist es uns wichtig, dass es um uns herum FAIR zugeht. Was findet Ihr denn eigentlich alles so UNFAIR? Lasst Eurer Kreativität mal freien Lauf :)",0.46841360841811003
441,Das nennen wir eine ausgewogene Persönlichkeit.,0.4659180476150282
84,So macht teilen Spaß.,0.4623590648771794
147,Bei uns nimmt man sich gerne Arbeit mit nach Hause.,0.4528587707387479
648,Wir sorgen uns um das Wohlbefinden unserer (wichtigsten) Mitarbeiter - den Kühen! Kuhle Sache dieses Caring Dairy ➡ bit.ly/CaringDairy #happycow #socialmission #benandjerry,0.4521694620520415
1234,Wir von Ben & Jerry’s wünschen Euch einen schönen Feiertag und schon mal ein tolles Wochenende! Ihr könnt Eure Bollerwagen für die Tour am Vatertag ja zur Abwechslung mal mit leckerer Eiscreme füllen ;),0.4503713959095164
1012,"Morgen verraten wir euch, welche Stadt als Erste in den Genuss unserer neuen Sorten kommt.",0.4476192636653775
998,Bist du der nächste Ben&Jerry‘s? Gemeinsam mit Ashoka suchen wir europaweit Nachwuchs-Sozialunternehmer mit einer spannenden Businessidee mit nachhaltiger gesellschaftlicher Wirkung. Dem Gewinner winken unter anderem 10.000€ und sein eigenes Firmenlogo auf einer neuen Ben & Jerry’s Sorte! Alle Infos unter www.benjerry.de!,0.4474163598512136
247,"Was die Welt und ein Becher Ben & Jerry's gemeinsam haben? Je bunter, desto schöner.",0.4456527293152997
106,Perfekt für die kalte Jahreszeit!,0.4453569914777887
1248,Wir wünschen Euch allen ein kuhles Wochenende mit gaaannnzzz viel leckerem Eis <3,0.44258092137367816
1138,Tadaaaaaa. Mit stolzgeschwellter Brust und bereits gezücktem Löffel präsentieren wir unsere 3 Neuen…,0.4424160288073664
