,message,teaching
245,Mit der Ben & Jerry’s Eistrologie lernst du Zeichen am Geschmackshimmel zu deuten.,0.6076320151225785
422,Für unsere neue Erfindung musst du Eis essen völlig neu erlernen!,0.5503806018297445
1245,"Wenn Du nicht nur der weltgrößte Fan von Ben & Jerry's bist, sondern Dich auch im fortgeschrittenen BWL Studium mit Schwerpunkt Marketing befindest UND Lust hast unser Team im Rahmen eines Praktikums zu unterstützen dann bewirb Dich unter www.unilever-karriere.de !!",0.5035750901285209
517,"Entertainer, Organisator, Tröster, Umweltaktivist, Sänger, ... Vielleicht kennt ihr Multitalent Blixt von der Ben & Jerry's Movie Nights Tour 2015 - oder aus den Jahren zuvor. Wenn nicht, dann lernt ihn im Interview kennen! Bester Mann!",0.4920795405756748
1221,"Hilfe! Das Ben & Jerry’s Team braucht deine Unterstützung! Gesucht wird ein ausgewiesener Ben & Jerry’s Fan (Empfehlungsschreiben zwingend notwendig) der darüber hinaus BWL mit Schwerpunkt Marketing studiert. Wenn diese Beschreibung auf dich zutrifft, dann bewirb dich bitte hier: https://recruitment.unileverservices.com/…/careerportal/Job…",0.4807878247832414
1030,"Zwei Kerle eine Leidenschaft !! Wenn Ihr wissen wollt, wie die Geschichte von Ben & Jerry begann - hier unser Geschenktip für Euch!",0.4750824813814599
1241,"Hallo zusammen, wir sind auf der Suche nach einem Spruch für ein Plakat, das an einer Uni hängen soll... Welchen findet Ihr am besten? a.) Ben&Jerry's. Lieblingsfach: Eisfach. b.) B&Js. So schmeckt selbst ein BWL Studium. c.) B&Js. Zu viel Stoff für deinen Prof. d.) B&Js. Akademischer Grad: unter Null. oder e.) B&J's. Probieren geht über Studieren.",0.4671628286153695
661,Über 1/3 der Menschen in Deutschland sind ehrenamtlich engagiert. Willst du DEIN Engagement zum Beruf machen? Bewirb dich jetzt als Nachwuchs-Sozialunternehmer ➡ www.benjerry.de,0.4523355365605992
339,Ein Meister seines Fachs!,0.4489819329203815
147,Bei uns nimmt man sich gerne Arbeit mit nach Hause.,0.4302356583828613
385,"Wir wissen, was du diesen Sommer tun wirst...",0.42488277020104254
910,"Morgen heißt’s früh raus, liebe Studenten! Punkt 14 Uhr verschenken wir Eis vor der TU in Dresden! Bis morgen!",0.4238120756627273
149,Eis ab! Film läuft. Nächste Woche startet unsere YEStival Tour in 4 deutschen Städten. Lasst uns in diesem Jahr gemeinsam ein Zeichen für mehr Gerechtigkeit und Liebe setzen. Sagt JA zur Ehe für alle! benjerry.de/yestival,0.4233189919189579
894,Kennt ihr schon den 30 Meter hohen Ben&Jerry's Eisluftballon? Damit haben wir in den letzten Jahren schon an dutzenden Ballonfahrtfestivals teilgenommen!,0.4156315801313897
82,Könnte man teilen. So rein theoretisch.,0.4088717713818128
