,message,trendy
108,Cooler als jeder Trend: unsere 12 ältesten Sorten.,0.5856449338389738
385,"Wir wissen, was du diesen Sommer tun wirst...",0.5082169723884608
1231,"Hallo liebe Ben&Jerry's Fans! Wie Ihr wisst ist es uns wichtig, dass es um uns herum FAIR zugeht. Was findet Ihr denn eigentlich alles so UNFAIR? Lasst Eurer Kreativität mal freien Lauf :)",0.5054799847226621
1148,"Vielen, vielen Dank für die unfassbar vielen Vorschläge, die ihr uns bei Fair Place! bereits gemacht habt! Ihr seid die besten Fans der Welt!!! Bitte schlagt uns vor allem all die tollen, coolen, anderen Läden in Eurer Stadt vor, die wir nicht kennen können, die aber unglaublich gut zu uns passen würden - wo seid ihr gerne unterwegs? wo würdet ihr gerne ein leckeres Ben & Jerry's essen? Beim Friseur Eures Vertrauens? Bei Eurem Lieblingskiosk? In Eurer Lieblingsbar? Eure Supermärkte rollen wir ohnehin nach und nach von hinten auf, keine Sorge ;-) und falls ihr jetzt noch richtig geile Vorschläge habt oder neu mitmachen wollt: HIER: https://apps.facebook.com/fair-place/",0.5004235701271056
620,So muss ein Winterschlussverkauf aussehen!,0.5000239525337029
1230,"Hey liebe Leute!  Wir haben noch einmal eine kleine Frage an Euch:  Was für Infos wünscht Ihr Euch eigentlich von unserer Facebook-Seite?  Was würdet Ihr hier gerne von uns hören?  Wir würden Euch natürlich am liebsten von Themen erzählen, die Euch auch besonders interessieren.... Euch allen ein sonniges und vor allem erholsames Wochenende! See more",0.4913532980420114
435,Schokotöne sind ja gerade voll im Trend.,0.4857787135258236
208,Wir bleiben cool in Sachen Klima.,0.4850733647003205
853,"Die einzigen Männer, die Frauen wirklich verstehen sind Ben & Jerry.",0.4789080736959686
1207,"Ihr fragt uns immer wieder, warum wir so viele der großartigen US-Sorten nicht hier haben. Berechtigt und natürlich nicht FAIR von uns! Aber wer weiß, vielleicht finden wir ja jetzt eine Möglichkeit... Welche hättet ihr denn am liebsten?",0.4765181874758111
389,"Wer ja sagt, muss auch zusagen! Kommt nächste Woche alle und zeigt mit uns und Ehe für alle Farbe!",0.4753597434867162
229,"Wir finden, Eisliebe ist einfach zum Dahinschmelzen.",0.4697912965124635
142,Topped Stimmung beim YEStival garantiert! Komm am 4. Juli in Köln vorbei. Löffel mit uns dein neues Lieblings-Eis und sag JA zur EHE FÜR ALLE! benjerrys.de/yestival,0.4665889390950469
1208,"Hier das Video vom Free Cone Day 2011 aus Köln! Es hat mal wieder riesig Spaß gemacht und wir freuen uns schon aufs nächste Jahr! Und wer weiß, vielleicht sieht man sich auch schon früher...",0.4627295076416328
523,"Ich weiß, was du diesen Sommer getan hast! Danke für eine großartige Tour! Bis nächstes Jahr!!",0.4600098443428559
