,message,trustworthy
441,Das nennen wir eine ausgewogene Persönlichkeit.,0.5706390508907211
191,Wir glauben an Eisliebe in jeder Beziehung.,0.5468325476660277
246,Die inneren Werte zählen.,0.5303204203679822
891,Ab 25°C zählen nur noch die inneren Werte!,0.5303204201804478
75,Nicht nur beim Eis zählen die inneren Werte.,0.5273020987383751
518,Der Beweis: Auch in Hollywood zählen noch die inneren Werte.,0.5089080340017971
1147,"Heute ist Tag der Menschenrechte! Genau deshalb liegt uns der faire Handel so sehr am Herzen. Und keiner könnte es besser ausdrücken als unser Gründer Jerry Greenfield selbst:  ""Fairtrade bedeutet sicherzustellen, dass jeder sein Stück vom Kuchen abbekommt. Das gesamte Konzept hinter Fairtrade entspricht exakt unseren Werten und unserem Gerechtigkeitsempfinden. Es will doch niemand etwas kaufen, für dessen Herstellung jemand anderes ausgebeutet wurde."" Was denkt ihr?",0.5028151953027167
406,"Wenn man wirklich was ändern will, muss man für seine Überzeugung einstehen!",0.4917709976189338
68,Wir sagen 50.000 mal Danke für eure Unterstützung & erheben unsere Löffel für euer Engagement!,0.4665430165526803
38,"Alles, was du heute brauchst. Gern geschehen :-)",0.4578296880213314
222,Es ist an der Zeit für die Werte unserer Gesellschaft auf- und zusammenzustehen.,0.4570326314788418
44,Wir feiern unsere inneren Werte.,0.4532254747137126
648,Wir sorgen uns um das Wohlbefinden unserer (wichtigsten) Mitarbeiter - den Kühen! Kuhle Sache dieses Caring Dairy ➡ bit.ly/CaringDairy #happycow #socialmission #benandjerry,0.4478726902279981
349,"Sorry vorab, dass das hier ein so langer Text ist. Aber wenn uns was wichtig ist, dann gibts hier auch mal nicht nur Bilder vom leckersten Eis der Welt. JA, ab morgen verschenken wir wieder hunderttausendfach Ben & Jerry’s an die besten Fans der Welt.  ABER: wie jedes Jahr bringen wir eine soziale Mission mit und dieses mal ist es mit einer Unterschrift von euch nicht getan. Ihr habt die Möglichkeit, mehr zu tun und nicht nur euer Profilbild zu ändern, wenn mal wieder was sch...limmes auf unserem Planeten passiert ist. Ihr könnt selber mit anfassen, damit wir eine schönere Welt hinterlassen, als wir sie vorgefunden haben. Ihr habt es in euren eigenen Händen, dass alle Menschen wertgeschätzt und geachtet werden. Wir glauben an eine süßere Welt. Aber um diese auch zu erreichen, müssen wir alle unseren Beitrag leisten. Deshalb unterstützen wir auf der Ben & Jerry’s Movie Nights Tour dieses Jahr diejenigen, die sich tagtäglich für eine Gesellschaft einsetzen, die Vielfalt als Chance sieht. Wir arbeiten mit Freiwilligen in den Tourstädten zusammen, die sich jeden Tag bemühen, dass das hier alles besser wird. In 8 Städten auf der Tour gibt es daher jeweils ein soziales Projekt, bei dem ihr und wir als freiwillige Helfer wirklich mit anfassen können. Zusammen mit der Amadeu Antonio Stiftung und der Ben & Jerry’s Crew machen wir uns in den Stunden bevor es ans Eis verschenken geht also erstmal die Hände schmutzig und setzen uns ein für eine One Sweet World. Bewerben könnt ihr euch für die Social Mission Einsätze auf www.benjerry.de/movienights  Wir schicken euch dann eine Mail, je nachdem wieviele Helfer gebraucht werden. Peace, Love & Ice Cream. See more",0.44336350394567103
463,"COP21 ist eine der wichtigsten Entscheidungen unserer Zeit! Wenn der Klimawandel nicht gestoppt wird, betrifft das jeden von uns.",0.4378284420035975
