,message,uniform
1147,"Heute ist Tag der Menschenrechte! Genau deshalb liegt uns der faire Handel so sehr am Herzen. Und keiner könnte es besser ausdrücken als unser Gründer Jerry Greenfield selbst:  ""Fairtrade bedeutet sicherzustellen, dass jeder sein Stück vom Kuchen abbekommt. Das gesamte Konzept hinter Fairtrade entspricht exakt unseren Werten und unserem Gerechtigkeitsempfinden. Es will doch niemand etwas kaufen, für dessen Herstellung jemand anderes ausgebeutet wurde."" Was denkt ihr?",0.5053472392654318
1062,Bilderrätsel: Wo verschenken wir heute Eis? Lösung: Findet ihr im Bild oder unter www.fairicetour.de,0.4547941138758543
1240,"Danke für Eure Hilfe bei der Abstimmung... Ausgewertet, sieht das Ranking so aus: 1. Platz A; 2: E, 3:D, 4:B, 5: Volker, 6: C... Da machen wir doch was draus... Ergebnis demnächst hier...",0.4404782022604672
82,Könnte man teilen. So rein theoretisch.,0.43791640993699216
844,Wichtigster Vorsatz für 2014:,0.4316578801295429
310,Ihr sucht noch nach einem geeigneten Grund für eine Weltreise? Wir haben gleich sechs für euch.,0.4286546712584763
588,"Schaut mal, was für einen Unterschied 2° Grad ausmachen. Helft mit auf benjerry.de/klima! #klimaschutz",0.4281507506058316
1002,Wofür würdet ihr euch entscheiden? :),0.4183411819224375
1236,"Nur noch 5 Tage bis zum Fair Cone Day... Anbei mal ein Foto vom letzten Jahr an der Hamburger Uni... Wer sich erkennt, bekommt am 27. kostenlos ein Eis. Alle anderen natürlich auch...",0.4150265650213837
1235,"Und hier die ersten Bilder vom FCD 2010 an der Uni Hamburg. Hat ein wenig länger gedauert, weil unsere Kuh die Kamera verkramt hatte, entschuldigt. Es hat wirklich großen Spass gemacht mit Euch, ein Riesendankeschön für Euer zahlreiches erscheinen. Wenn ihr auch Bilder gemacht habt, ladet sie doch einfach hoch. Wir freuen uns!",0.4129211119247633
441,Das nennen wir eine ausgewogene Persönlichkeit.,0.4118236578511288
815,Es stimmt! Seine große Liebe findet man heutzutage wirklich im Internet.,0.4101253052752344
150,"Fast geschafft! Die EHE FÜR ALLE ist zum Greifen nah – jetzt noch einmal alles geben und die Abgeordneten auffordern, JA zu sagen.",0.4086403525507177
160,Achtung wir haben 'WICHtige Infos für euch!,0.3987332255506189
463,"COP21 ist eine der wichtigsten Entscheidungen unserer Zeit! Wenn der Klimawandel nicht gestoppt wird, betrifft das jeden von uns.",0.3957221804329752
