,message,valuable
193,Geteilte Freude ist doppelte Freude.,0.6690696693318882
6,Ein Tag voller ✌🏼❤️🍦Heute haben wir die ersten beiden Gewinnerinnen mit unserem riesen Geschenk-Paket glücklich gemacht! Macht mit auf: benjerry.de/feiert-geburtstag,0.562209358891969
1149,"Heeyhoooo… Pünktlich zur Weihnachtszeit startet wieder der Fairtrade-Adventskalender! Hier erfahrt  ihr nicht nur ganz viel über Fairtrade, sondern könnt auch täglich einen tollen Preis gewinnen! Und das Beste ist:  Ben & Jerry’s hat auch wieder ein Türchen.  Findet heraus welches und ihr habt die Chance auf einen „köstlichen“ Gewinn! Wenn das nicht FAIR ist…. http://www.fairtrade-deutschland.de/",0.5571390030759172
298,Weil jeder ein ruhiges Plätzchen verdient hat.,0.5539751105366432
1012,"Morgen verraten wir euch, welche Stadt als Erste in den Genuss unserer neuen Sorten kommt.",0.548178253705889
169,Ein Stückchen Frieden....ein Bissen Freude....,0.5451376581856605
257,"Vielfalt schmeckt besser als Einfalt. Wer das genauso sieht, darf sich auf eine neue Sorte Ben & Jerry’s freuen. Was da drin ist, erfahrt ihr hier...",0.5379025439369516
1268,Die Menge staunt....,0.5263860346342363
400,Uns schmeckt jede Liebe!,0.5250033975703788
176,Liebe schmeckt jedem anders.,0.5250033943621881
890,Immer schön Eis nach dem anderen!,0.5148695007620915
1164,"Hallo Münster! Ihr scheint genau zu wissen, was gut für Kühe ist: schließlich habt Ihr sogar ein ganzes Stadtviertel danach benannt: das Kuhviertel! Grund genug für uns heute vorbeizuschauen und Euch einen Tag lang mit FREE ICE zu beschenken!! Ist zwar schwer vorzustellen, dass allein der Genuss eines Bechers Ben & Jerry's die Welt ein bisschen besser macht - die Geschichte von Ben & Jerry’s aber zeigt: Das ist tatsächlich möglich. Mit Fairtrade zertifizierter Eiskrem, klimaneutraler Produktion und Projekten wie „Caring Dairy“ für unsere Kühe wird die Welt tatsächlich Löffel für Löffel ein kleines bisschen besser. In diesem Sinne: lasst es Euch schmecken! Wo genau wir heute halten erfahrt Ihr hier: http://on.fb.me/FairIceTour",0.5134988290683947
1052,Wir sind Viele! 300.000 Wow! Nutzt diese Power für das Wohl der Kühe: www.happycows.eu/de Das passende Produkt gibt’s ab sofort!,0.5121428199371522
523,"Ich weiß, was du diesen Sommer getan hast! Danke für eine großartige Tour! Bis nächstes Jahr!!",0.5117467062399202
249,Weil die Welt mehr als nur einen Geschmack braucht.,0.5064104966540716
