,message,white_collar
918,"Heute in Köln: Ben & Jerry & Timm & Frank & Melanie & Anne & Pia & Roman & Tilda & Emilia & Peter & Thilo & Murat & Lena & Katharina & Frank & Gerrit & Julius & Maren & Kerstin & Rudi & Sönke & Lutz & Eric & Etienne & Bebo & Benjamin & Blixt & Markus & Ingo & Taha & Kiki & Maike & Ralph & Eric & Sabine & Hanna & Carl & Jost & .... und ihr alle, die ihr heute mit Eis beschenkt werdet! Verlinkt euch auf dem Foto! Heute Ben & Jerry’s for free in Köln! Alle Infos auf http://www.benjerry.de/sorten/cores Kommt vorbei und bringt alle eure Freunde mit!",0.40173813205458425
536,"Heute Abend ""Birdman"" und free ice cream im Herr Walter in Dortmund! Um 19 Uhr geht's los! Wir freuen uns wie Oscar! benjerry.de/movienights",0.3831996452628652
456,Ich bin dein Vater!,0.3678059518097913
517,"Entertainer, Organisator, Tröster, Umweltaktivist, Sänger, ... Vielleicht kennt ihr Multitalent Blixt von der Ben & Jerry's Movie Nights Tour 2015 - oder aus den Jahren zuvor. Wenn nicht, dann lernt ihn im Interview kennen! Bester Mann!",0.3473359980599611
1069,Revoluzzer bleibt Revoluzzer. Unser Gründer Jerry im Interview. http://www.welt.de/…/Ben-amp-Jerry-s-macht-Politik-mit-neue…,0.3382022803835043
412,"Ihr habt entschieden: Am 12.04. verschenken wir das neue Wich‘ in Hamburg, Berlin und München!",0.3249088474288793
1221,"Hilfe! Das Ben & Jerry’s Team braucht deine Unterstützung! Gesucht wird ein ausgewiesener Ben & Jerry’s Fan (Empfehlungsschreiben zwingend notwendig) der darüber hinaus BWL mit Schwerpunkt Marketing studiert. Wenn diese Beschreibung auf dich zutrifft, dann bewirb dich bitte hier: https://recruitment.unileverservices.com/…/careerportal/Job…",0.3201570311970989
1241,"Hallo zusammen, wir sind auf der Suche nach einem Spruch für ein Plakat, das an einer Uni hängen soll... Welchen findet Ihr am besten? a.) Ben&Jerry's. Lieblingsfach: Eisfach. b.) B&Js. So schmeckt selbst ein BWL Studium. c.) B&Js. Zu viel Stoff für deinen Prof. d.) B&Js. Akademischer Grad: unter Null. oder e.) B&J's. Probieren geht über Studieren.",0.30207433132546724
1253,Im Februar bekommen wir Besuch von unseren Firmengründern Ben Cohen & Jerry Greenfield! Sicherlich habt Ihr Millionen Fragen & sagt uns doch einfach was wir klären sollen!,0.29783818737841394
411,"Morgen verschenken wir das neue Wich‘ in Hamburg, Berlin und München!",0.2896475743954621
134,Ben & Jerry's YEStival - Berlin 11. Juli,0.2878418774576786
967,"Ben&Jerry´s Core Tour – wir verschenken Eis! Kommt vorbei und bringt eure Freunde mit! Am 19. Juni von 14-20 Uhr in Düsseldorf! Wir stehen genau vor der Heinrich-Heine-Universität in Düsseldorf. Universitätsstraße 1. Wo der Bus auf den Meter genau steht, alle aktuellen News aus dem Bus und leckere Fotos seht ihr dann immer live auf www.benjerry.de",0.2850293078296499
971,"Ben&Jerry´s Core Tour – wir verschenken Eis! Kommt vorbei und bringt eure Freunde mit! Am 14. Juni von 14-20 Uhr in Bonn! Wir stehen ab 14 Uhr vor der Friedrich-Wilhelms-Universität in Bonn.  Wo der Bus auf den Meter genau steht, alle aktuellen News aus dem Bus und leckere Fotos seht ihr dann immer live auf www.benjerry.de",0.2738966085461308
922,WIR SIND SOOO STOLZ … ...auf unseren Gewinner des “Bist du der nächste Ben & Jerry's?“ Wettbewerbs. Yannick Sonnenberg konnte die europäische Jury in London mit seiner sozialen Geschäftsidee https://elefunds.de/ überzeugen. Ben & Jerry's Gründer Jerry Greenfield gratulierte persönlich! Mehr Infos gibts hier: www.joinourcore.com/de,0.2734636225605138
1226,"Ben & Jerry's hat für die Umstellung auf Fairtrade-Zutaten den 3. Platz des internationalen Nachhaltigkeitspreises Ecocare gewonnen, der erstmals von der Zeitschrift ""Lebensmittel Praxis"" verliehen wurde! Mehr dazu findet ihr hier: http://www.transfair.org/…/ben-jerrys-3platz-bei-ecocare.ht…",0.2709327859909106
