,message,winner
821,Vier gewinnt!,0.7528593464836033
920,NICHT WENIGER STOLZ SIND WIR.. …auf unseren zweiten Gewinner Stefan Schabernack - auch er hat es mit seiner Idee www.rockyourlife.de bis ins Finale nach London geschafft! Wir gratulieren!!!,0.6807690015079453
1189,Die 25 glücklichen Gewinner der Ben & Jerry’s Eispartys stehen fest. Herzlichen Glückwunsch an:,0.6587608268937653
1144,"Woow, Runde eins ist abgeschlossen mit einer Rekordbeteiligung! Die Gewinner sind: 1. Chocolate Fudge Brownie 2. Half Baked 3. Chunky Monkey! Diese drei werden morgen gegen die Gewinner aus Runde zwei antreten. Also ab in die zweite Runde!",0.61498264760522
1149,"Heeyhoooo… Pünktlich zur Weihnachtszeit startet wieder der Fairtrade-Adventskalender! Hier erfahrt  ihr nicht nur ganz viel über Fairtrade, sondern könnt auch täglich einen tollen Preis gewinnen! Und das Beste ist:  Ben & Jerry’s hat auch wieder ein Türchen.  Findet heraus welches und ihr habt die Chance auf einen „köstlichen“ Gewinn! Wenn das nicht FAIR ist…. http://www.fairtrade-deutschland.de/",0.6073858316300339
922,WIR SIND SOOO STOLZ … ...auf unseren Gewinner des “Bist du der nächste Ben & Jerry's?“ Wettbewerbs. Yannick Sonnenberg konnte die europäische Jury in London mit seiner sozialen Geschäftsidee https://elefunds.de/ überzeugen. Ben & Jerry's Gründer Jerry Greenfield gratulierte persönlich! Mehr Infos gibts hier: www.joinourcore.com/de,0.5880046223351403
598,Und die Gewinner sind... Kiel & Koblenz!!! Ihr bekommt jeweils eine Busladung faire Eiscreme geschenkt.,0.5512879704892553
644,"Hurra, wir haben einen deutschen Gewinner! Der nächste Ben & Jerry's heißt FoodLoop - Save It All! #joinourcore  FoodLoop konnte mit seiner App, die Lebensmittelverschwendung stoppen soll, die Jury überzeugen. Herzlichen Glückwunsch! ➡ bit.ly/FoodLoopDe --... Foto: Paul Hampartousmian See more",0.539688836321172
986,Hast du ein nachhaltiges Sozialunternehmen gegründet? Freitag ist Bewerbungsschluss für unseren europaweiten Gründerwettbewerb! Nutze die Chance und gewinne mit deiner Geschäftsidee beim Finale in London - unter anderem mit Jury-Mitglied Samy Deluxe!  Alle Infos unter: http://www.joinourcore.com/de,0.5382859036299517
795,"Ihr dürft uns gratulieren, wir sind heute 36 geworden!",0.5054456046988735
637,Fairster Adventskalender Deutschlands! Fairtrade Deutschland präsentiert jeden Tag im Advent tolle Geschichten rund um Fairtrade-Produkte. Heute hinter dem 8. Türchen: Ben & Jerry's! ➡ Gewinnt mit etwas Glück eine Ben & Jerry's Winter-Eisparty mit insgesamt 12 Pints (á 500 ml)!,0.5033942400124308
6,Ein Tag voller ✌🏼❤️🍦Heute haben wir die ersten beiden Gewinnerinnen mit unserem riesen Geschenk-Paket glücklich gemacht! Macht mit auf: benjerry.de/feiert-geburtstag,0.5010716939897224
1040,Das ist fair! Herzlichen Glückwunsch!!,0.4967735387818688
1222,"Pünktlich zur  Weihnachtszeit möchten wir euch den Fairtrade Adventskalender ans Herz legen.  Hier erfahrt ihr nicht nur jeden Tag etwas über Fairtrade sondern könnt auch  tolle Preise gewinnen. Ihr solltet euch den  23. Dezember schon mal in eurem Kalender markieren, denn kurz vor Weihnachten öffnet sich das Ben & Jerry’s Türchen im Fairtrade Kalenderund somit die Chance auf einen „köstlichen“ Gewinn!“",0.4879878936666692
886,"Danke für eure coolen Fotos!! Die 5 Gewinner der Shirts sind von Instagram @broadwaydiva @xo_nici_xo und von Facebook Nico Hoffmann, Michael Le und Stephan Maschelski. Die Mega-Eislieferung hat Stefanie Emmert mit ihrem Facebook Post gewonnen!! Schickt eure Namen, Größen und Adressen bitte zu cookie.dough@benjerry.de Herzlichen Glückwunsch!!!",0.4748138085537084
