message,created_time,above,active,alive,arts,vegetables,beautiful,big,blue_collar,career,cheap,children,closed,community,cool,culture,descriptive,design,innovative,responsible,appetizing,ecological,emotionally_stable,evaluating,expensive,extroverted,family,fascination,female,friendship,functionality,healthy_positive,healthy_restrictive,winner,flavor,kind,lifestyle,loyalty,funny,male,mental activity,modern,music,music_genres,musical_instrument,sustainable,natural,new,diligent,performance,pleasant,bargain,polite,positive,power,practical,protective,likeable,safety,science,see,show,sensual,sport,sporty,appealing,teaching,technical,open,traditional,individual,heritage,trendy,trust,trustworthy,uniform,easy,valuable,warm,white_collar,young,social justice + migration,social justice + dairy free vegan,values,url
"Facebook hat mich grade daran erinnert, dass wir heute vor 6 Jahren endlich unser Abi hatten. Wow. Das Gefühl werde ich nie vergessen! Als hätte man uns Flügel gegeben. Die Welt gehört dir. Wahnsinnig toll! Was ne Energie! #schababi @larissaleforain",2018-07-10 15:04:07,0.5034931877970086,0.4557119673457731,0.4836827894640357,0.30248758377589596,0.3250378322722442,0.6508352775929451,0.44192647676061575,0.09834305258191303,0.1602511463028926,0.16715987670461815,0.2998077055706532,0.3903907385182444,0.2707620352638825,0.5136364555175154,0.27778799050429165,0.4438278448484743,0.3121866186385112,0.08407613152499185,0.3250580004492644,0.3984650862685257,0.36040858373678336,0.5580183986465812,0.25326675308723057,0.3692190384811164,0.2920975645555386,0.4237379002759037,0.5134546591711084,0.4799745432602143,0.5241751983556406,0.09386545410476932,0.2380297373383042,0.2777148386908156,0.2802000798230917,0.500738381419838,0.5308153906677521,0.5007400768139961,0.2743771986811056,0.4913495034176178,0.3975115734090459,0.41767929473156135,0.3170255566371547,0.3263979643944894,0.012471805480946832,0.17378775637090885,0.27319898767290324,0.5638922952507048,0.3791479269309692,0.33924084348384786,0.2555202539709672,0.7105581038442321,-0.006927379089747577,0.4832569462695756,0.30017230455547955,0.38964341900886895,0.3148552851044467,0.4391725724213853,0.6152532401010404,0.1503952090752743,0.2257217784531189,0.44534304251046697,0.1971532553836191,0.5575611556281382,0.041494630980606274,0.40543946574472656,0.5470759618656381,0.3539098615877192,0.12492842791270894,0.4572328320824132,0.3566459128516469,0.534404829204556,0.38817179488351705,0.41643592678058816,0.4142641956039053,0.31732345715318977,0.2591200221484471,0.37708430552082384,0.4943296637903329,0.4779745830786726,0.0764384398180691,0.4424499030971432,0.20235161875013247,0.3292922467452468,0.4533657156142467,https://www.facebook.com/search/str/Facebook%20hat%20mich%20grade%20daran%20erinnert%20dass%20wir%20h%20ben%20jerry/keywords_search
Visited my grandmother today and she gave me another great thing to wear 🖤 #lovingvintage,2018-07-10 00:18:30,-0.2379080157767083,-0.21046196100752115,-0.3092519117692278,-0.17825212688962652,-0.15402197664239275,-0.24045198046958724,-0.18286192501428375,-0.07233587165508583,-0.22016831808666945,-0.06981459461042991,-0.10529980077936,-0.12468506702734328,-0.18396380985410246,-0.14730658758953727,-0.2148335891804057,-0.2489398846826494,-0.029469276870548868,0.07525440102417598,-0.2083681469049266,-0.2101094803301785,-0.1618044758057776,-0.2496926884297942,-0.2342401472563096,-0.14213481191047272,-0.22270530483633028,-0.27392729053578857,-0.22794747079726874,-0.22066265839610785,-0.2690753294019676,0.033316744897818336,-0.002705379632110932,-0.14826076846912134,-0.18893499187735252,-0.23652221761026754,-0.3312333113718028,-0.2349722124095473,-0.12787158068225632,-0.16167222491196115,-0.22308089036066456,-0.14594895707102512,-0.30670813608509045,0.0691281044308336,0.269765552764057,-0.09416642888415756,-0.1425356936881869,-0.2572994206484841,-0.2945569227573942,-0.24384155001522906,0.08903707648459668,-0.349441904989739,-0.09975173179567456,-0.2627343390220393,-0.12335796793937795,-0.1713805943418433,-0.27437420439963284,-0.2687583692009783,-0.27181830172873056,-0.19294659213856785,-0.10130027185308374,-0.1074522514751777,0.07347876547964723,-0.2220451328840856,-0.012968514996195163,-0.19579312627302067,-0.2473259854427578,-0.2140311720178206,-0.0860680104193334,-0.2433448489645461,-0.2604125189640838,-0.28656598321031035,-0.223240410288067,-0.1387062131790848,-0.2294503226718207,-0.1930253775317763,-0.3112325587743408,-0.16282325165074507,-0.2616240777311335,-0.2577615804845817,-0.08117654415312142,-0.10123546318300612,-0.17941340939462905,-0.14822256618426868,-0.19855663694684567,https://www.facebook.com/search/str/Visited%20my%20grandmother%20today%20and%20she%20gave%20me%20anoth%20ben%20jerry/keywords_search
How mondays feel like to me — focus!,2018-07-09 15:05:39,-0.175896762776603,-0.12429182430604742,-0.21494807325553966,-0.11931678806065672,-0.1316609603409695,-0.2242436603773852,-0.19015176588748295,-0.10911103524655053,-0.17294782147914528,-0.084072703416467,-0.06615249126662792,-0.0827842851723891,-0.1429415570948332,-0.11537665734481516,-0.13627330858316974,-0.18333994664829711,0.057671145070019435,0.15381884375862964,-0.1495963267533363,-0.1881999844918281,-0.1388275283360431,-0.1796594946534716,-0.20433420543231395,-0.0995744407354128,-0.15806986107192353,-0.26046675715432466,-0.17204697530863725,-0.2137805885595356,-0.18619714680317287,0.1454234817303957,0.054368769208297946,-0.1035928766386119,-0.14736297938030626,-0.2010247241227204,-0.2458891241118101,-0.1274082055885675,-0.06906826835435838,-0.11266909727887707,-0.2079220929002045,-0.018338376503703718,-0.1784050262366502,0.10539355139326044,0.2508408943486178,-0.09978520113981801,-0.1087493801563296,-0.18182816885088773,-0.203299974915486,-0.1576919318788609,0.07020451597166588,-0.27097314902159536,-0.1203031136683598,-0.20298879714976528,-0.06009798842336505,-0.11774029550214225,-0.22269145838170334,-0.23374454572207404,-0.2342061092598764,-0.1758521493126598,-0.04255904007875315,-0.07842501256304284,0.05519765691882124,-0.11326508096645475,-0.055601660228815436,-0.10697901538605356,-0.1713931010388634,-0.15638575204917649,-0.022860796262074854,-0.1656888531806689,-0.18695816694120693,-0.20571729468830646,-0.15692023689524984,-0.046984403191002604,-0.09923507220557,-0.07472762399952539,-0.20162356694747094,-0.1356341205758424,-0.17569047720712214,-0.1420965183324591,-0.1005364946509244,-0.0257729631106747,-0.10369042290360947,-0.08469624542918451,-0.06123936219684069,https://www.facebook.com/search/str/How%20mondays%20feel%20like%20to%20me%20%20focus%20ben%20jerry/keywords_search
"Sehr erfolgreich geflohmarkt heut! Bitte rechts swipen fürs heutige Highlight. Ja, unfassbar cool. Noch besser: nur 10€ 😱🙏🏽 @ Hamburg, Germany",2018-07-08 23:41:31,0.3965637855240822,0.4234384348736739,0.3876067825398465,0.15285569819230194,0.2466864131082851,0.5245781000775956,0.32446357107067497,0.1275128461728128,0.1596483540717312,0.07805907634965532,0.20858783461198435,0.3266061972848237,0.12548494122795387,0.4600752289387474,0.24666502365978402,0.27569386738892965,0.2731287073025995,0.1740135992318124,0.2562668049405369,0.3585075354300305,0.2352571250349345,0.3251739905580534,0.1803625559819413,0.2625243867366495,0.2604890452230236,0.3105058943773757,0.3424806116654719,0.3391384648961499,0.3766665229338249,0.1439739321735923,0.14371389969365955,0.21289532502940373,0.3738642128246956,0.427634213727704,0.3719116175310354,0.26783179413331765,0.2330024509934639,0.3767615388398052,0.3001142147018453,0.2382879597767707,0.3342661091397828,0.24293057635160986,0.032753814105603435,0.08260609529567679,0.27050693772958856,0.4384559536194103,0.4017976942277301,0.4125494154750543,0.24698368089047584,0.5161280976164355,-0.022356360578352538,0.35607604881760624,0.15777939582311798,0.20746109269397792,0.25878242448629313,0.2966090374585416,0.4774556342397201,0.05140567084197432,0.10040039388844238,0.4168211049934064,0.2007350072346684,0.37400782436101737,0.10602895803737164,0.3622376404057415,0.5111853970592155,0.2804415129021382,0.12410197317278625,0.3970795507145864,0.3715879254760876,0.4819362234855047,0.3161129485519853,0.4191891173011688,0.24805414684794505,0.2026226987667044,0.2433347904369302,0.35316281674517,0.4038897929766136,0.4494159297463147,0.13148493206560544,0.4350606706599845,0.13361927190831524,0.18483709279425994,0.3222836555847897,https://www.facebook.com/search/str/Sehr%20erfolgreich%20geflohmarkt%20heut%20Bitte%20rechts%20sw%20ben%20jerry/keywords_search
So we cute or we cool?,2018-07-08 21:47:28,-0.10200324197116747,-0.08948496473429315,-0.2720199567315632,-0.20073844674323746,-0.08191963669384042,-0.07443678903871523,-0.12675561633140553,-0.05907271568677775,-0.25000350693377565,0.0103368970934631,-0.007755488937880233,-0.06582523983944857,-0.16555224238925853,0.02602322092107713,-0.2388229098548485,-0.23862612993172955,0.045328920327547366,0.07546700585577149,-0.21298787308974865,-0.11580818486878293,-0.110682478281048,-0.15349667029056907,-0.2315480571117315,-0.06294054389145692,-0.13620175372683746,-0.2057326050930464,-0.19993924257341128,-0.13980563583991246,-0.14521920798432636,0.05988027711373371,0.031292280142664504,-0.10473974581822293,-0.16338463458945976,-0.12920734644638815,-0.2096836721169491,-0.20859885824416646,-0.1228296116672126,0.006965142263239797,-0.16545891681838756,-0.1411178472212761,-0.2837835326973204,0.09541776095367112,0.2596394702706626,-0.06423669496061167,-0.1063620716453949,-0.14965466472128208,-0.2146641994973558,-0.19242436292185672,0.037697281253385034,-0.24175779765008465,-0.02586727825095141,-0.14009128300259874,-0.08549562463388283,-0.15282230054082338,-0.2390687641191033,-0.2458677545062252,-0.16989272744513573,-0.14193993306082808,-0.11905803692071705,-0.13560574614986434,0.009854208127433506,-0.1415970571215953,0.02936518758582365,-0.1518475283909294,-0.1521320054258829,-0.2316474017965692,-0.11122262613526074,-0.15885725695735475,-0.2093585291163834,-0.23138919052708,-0.1701939333106771,-0.05424644055315658,-0.18067221684554452,-0.13649103034654586,-0.2442109930152141,-0.07867168448019013,-0.17020478994509272,-0.10429173705257984,-0.1800261910699254,0.03278684266827498,-0.1942212428314302,-0.09426113378037296,-0.1145607807728191,https://www.facebook.com/search/str/So%20we%20cute%20or%20we%20cool%20ben%20jerry/keywords_search
Immer das Gleiche tragen. Ist nachhaltig.,2018-07-05 23:49:27,0.2343907240533375,0.34340524525457994,0.4057800384671373,0.019447907449174583,0.21831067826995426,0.3050927160971247,0.33486525485541463,-0.05265071195276698,0.3501001763309132,0.22323113505135547,0.2423714541339878,0.3128517995530429,0.32432183434576833,0.29782926209338073,0.33605388409993864,0.32159085903109325,0.4032678580695575,0.28608651382573136,0.6517222823452699,0.2233047511355712,0.4853317787176246,0.1485410262400046,0.27078642310066897,0.3701793949151349,0.2286373671152404,0.21915899617152285,0.253274764948465,0.21082845418468465,0.03625393497216733,0.30225863810330306,0.34336888872645743,0.3432385539483734,0.10934100894514172,0.14651119274743465,0.2979547998737035,0.437559336194742,0.27791638215066433,0.0132078206033227,0.08413737201011122,0.3989841249887957,0.3593062295149081,0.02745538455304329,-0.07901729424881432,-0.05845675326087599,0.6730171320520139,0.4455697160745252,0.3040000356373901,0.12124021076653325,0.12577976622107415,0.30634016803598163,-0.044048423929026165,0.22998788533072334,0.3914187293115909,0.2807239572467743,0.3316314249569724,0.3207095189990694,0.3958156432260581,0.20458458853351108,0.12470042042537614,0.19797607875009124,-0.09026642689398323,0.29571094535231923,-0.016781506478530845,0.3875207766168913,0.4051705120482574,0.21283116034737065,0.3403169143476927,0.3099373531440127,0.3886702737159228,0.37385898455279015,0.3651304135176235,0.3673090797667756,0.4015392225739735,0.3449315589834703,0.2252861055147059,0.2822649677239846,0.3203609908595315,0.2944042769145228,0.07255271941144588,0.3908350318233285,0.2303792138818201,0.5626913710215354,0.4295912499770912,https://www.facebook.com/search/str/Immer%20das%20Gleiche%20tragen%20Ist%20nachhaltig%20ben%20jerry/keywords_search
Natural Hair forever 👊🏽 (Anzeige zur Kulturverständigung),2018-07-05 16:42:27,-0.013494108996668185,0.07533116427173649,-0.03281606200085505,-0.019617408843956644,0.009880829329560536,0.05949297177179335,-0.017317967286782244,-0.03931736634528541,-0.19561690956180144,0.004338303452634076,-0.004719938876635329,0.021645402624633645,-0.1323552112132454,0.03278493625161377,-0.054298059890462616,0.0017824432828418579,0.06645082881027976,0.07768780701786787,-0.0764150245550711,0.015464711834528447,0.04950797445554758,-0.02104630735285393,-0.01841795279333637,-0.0237757782249672,-0.05015913846385416,-0.09019980759412427,0.01642923361758413,0.027111990531112073,-0.07539957105812084,0.10520427161527142,0.1459939340241845,0.07545311801324156,0.014804636851251737,0.0507623021903532,-0.054953533426252636,0.0050386416178520655,-0.054674295465557035,0.0058983477866592,-0.034340075309614554,0.008427858191301492,-0.0547035885274695,0.10960682067098933,0.23416510193435286,0.042987185855334495,0.034122365616269835,0.07270478103995709,0.05211536375008041,-0.12402536504421695,0.11910223141997894,-0.004338574065453939,0.06426836236372473,-0.041713088701480265,-0.09196302342976068,0.030109807970967486,-0.09318314397080668,-0.12364813031837968,-0.0035382827682912885,-0.03609416094404105,0.029660408597470007,0.0431011419155848,0.10096276968213504,0.07674324989244727,0.02640269997486053,0.11222758969806353,0.06795627116036526,-0.11150611899271043,-0.007449704955205799,0.009438182027149605,0.001577493390572962,-0.003338178808507234,-0.03663175357635204,0.07406645194714341,-0.07305658231464393,-0.07317992472924716,-0.07693897821841654,-0.05517052214520481,0.10762646587924177,-0.03730748221678287,-0.12107058043719678,0.1125841062035437,-0.2087481977497435,0.0037858313752259357,-0.035952247419169525,https://www.facebook.com/search/str/Natural%20Hair%20forever%20%20Anzeige%20zur%20Kulturverstn%20ben%20jerry/keywords_search
Es ist Fashion Week und ich mache schon wieder kein einziges Foto. Aber manchm machens andere 😄🤷🏽‍♀️,2018-07-05 14:22:46,0.2296291419010157,0.2919980072009525,0.24771159127729486,0.27542625036061685,0.16648257533629146,0.38829362545915136,0.3444694412333716,0.07578194363405065,0.09169333388203336,0.18306208488267686,0.18134972078234587,0.2988220728246049,0.1513316795636786,0.3162689581452582,0.2962140328311066,0.3124690508368165,0.3132806607658595,0.14204677679557315,0.2568374695795319,0.17015715221987254,0.22211824632667612,0.2621518553600027,0.12648924521266006,0.30054120196522466,0.0980635626165316,0.2253187596381567,0.3149480940333485,0.3138161067182823,0.20977533918115032,0.14450468172153846,0.15258493279731644,0.1871160059425248,0.18931127416029145,0.23413673488354064,0.1885180373598176,0.2990324736240628,0.13782890233409495,0.2627552289807883,0.20080722382804603,0.20993829113824086,0.2410661916860853,0.21973427979414453,0.09578760303004252,-0.009576379480718515,0.18476362071444166,0.351418407394273,0.26369106285919924,0.14266314953451206,0.3662548800697807,0.3454645275324425,0.040647702828237264,0.2951079297505466,0.1188563189569705,0.17901496309795034,0.13722412336327974,0.21327430776577375,0.3729643687954604,0.028252689863219164,0.1205789288372735,0.4294599245044528,0.2768824711305782,0.3000099019587191,0.10865834234491574,0.2394235211010001,0.4025247319872847,0.09330787726933784,0.15669368512691856,0.3607798002304652,0.3446479210351463,0.3725789090712631,0.3203303839371479,0.41466241181131214,0.11816297195496273,0.13573585027845847,0.3233270052200153,0.17243122170526914,0.22243060264018247,0.28071426862612403,0.061058428696622064,0.4577785480636826,0.0410728943599061,0.250225486948,0.2714156392685471,https://www.facebook.com/search/str/Es%20ist%20Fashion%20Week%20und%20ich%20mache%20schon%20wieder%20kei%20ben%20jerry/keywords_search
Süß @andreborchers @langstonuibel 👑,2018-07-05 02:39:57,0.22017711441693344,0.3672242057039302,0.11094700343255214,0.09135020734169083,0.4903463913070478,0.7240953808247702,0.2541179631436771,-0.03692805731451981,-0.06969147062656972,0.15794246136261594,0.24895629711171016,0.2536563150486345,-0.025469666367770732,0.3750368685820002,0.04668127258554286,0.163306127423147,0.1871215881579779,-0.06957204024549092,0.07337771047956755,0.5926418480782499,0.17474156240585062,0.3641540628964644,0.05870759621645308,0.2548867309860683,0.23594194337122776,0.25196571984300353,0.21814940160230595,0.4092251246074144,0.29802000845090565,-0.024676416862227924,0.24193185978238915,0.30427237607563057,0.1360181113147493,0.553751852753594,0.3435497189694373,0.1270790665038002,0.1343666304294471,0.5151779553046771,0.2970562929020001,0.05279666906061615,0.0424101330539073,0.1519645508062647,0.041977565855619514,0.1244288350497367,0.1368862862435924,0.3582644579639531,0.20778623591693296,0.11971612246689665,0.028720635553339344,0.4620094909902149,0.02587924442808312,0.33564429186848543,0.06575723981974985,0.02983391709692607,0.08406624892576073,0.1987972384527837,0.4763395846215751,0.016710739655535,0.0031567777453118963,0.11456360988555987,0.09055934331636124,0.439102363888983,0.007727593040309178,0.21813006058836004,0.4035968224522313,0.06522636020323448,-0.009372578421541091,0.26802860740631984,0.20795431178750845,0.2517293631964286,0.1662916837471404,0.2914211744987301,0.0611942271997108,0.015210143341823159,0.027387956115187045,0.257566687317384,0.24115297176448824,0.32895333224356915,-0.033684831152978954,0.2454092119394917,-0.06584009722555155,0.15957694018663132,0.1328622969995383,https://www.facebook.com/search/str/S%20andreborchers%20langstonuibel%20%20ben%20jerry/keywords_search
"Fashion Week muss warten, ich mach jetzt erstmal Backstage-Reports bei X-Factor für @deluxe_music 🎬🎤 Die Jury ist übrigens überragend: @thomasanders_official (der Mann ist zu herrlich), @shawnstein, @yaenniverfromtheblock und @lionsheadmusic!!!  Und die Kandidaten — wow. Da ist aber stillschwiegen angesagt 🤫 *anzeige, du weißt @ Cologne, Germany",2018-07-03 22:52:32,0.2259483933352981,0.2516156067064532,0.08424832890845332,0.17745468812534312,0.05523351405321023,0.3003416075360874,0.0980657878120249,0.010150405454416976,-0.010092913130339654,0.03959019882526847,0.06220630428098273,0.10293367920405158,0.026118701541710053,0.2956536663469214,0.1411042862546736,0.16215187385811008,0.15073285008182066,0.12374651883118885,0.032880862846376896,0.17175763005882685,0.03419883076279829,0.2842399126596525,0.07896226832788734,0.16099338145847594,0.11523260627552605,0.07423787831577827,0.2411528126418936,0.2078244446223652,0.24111303963749936,0.09183263349397416,0.06750488714153025,0.08258061122605134,0.35027839777654524,0.2794243116660813,0.20406097274335774,0.17242097017189872,0.15195726519525868,0.27911887396283513,0.14313731773280267,0.12848412029297912,0.062384394662215875,0.3607829467163135,0.2531610764566339,0.08172217548678291,-0.024744273171951967,0.1879006486728268,0.16536370759379754,0.2366694172516635,0.4308580497521237,0.3291206749760777,-0.011702970156796066,0.2690441776779489,0.004968666323526389,0.13117877750392395,0.03943511818169583,0.07296230713648072,0.3248138597059899,-0.137732400816648,0.05421669363858808,0.4612721634122678,0.4064866700705776,0.301778922133623,0.0802053610916864,0.1893801740351182,0.32739607184703423,0.01021124963040325,-0.06038269550965345,0.2430268550739684,0.06838012120894753,0.27731284393633243,0.0036176370478914538,0.3444417318354979,0.13310349730393214,0.12645433973008854,0.07313912940168217,0.0648438357646668,0.3017405398048115,0.29421246358393865,0.028446007091428895,0.3605548675419582,-0.0048592238486438325,0.028908703767952806,0.12345140201874658,https://www.facebook.com/search/str/Fashion%20Week%20muss%20warten%20ich%20mach%20jetzt%20erstmal%20B%20ben%20jerry/keywords_search
