,created_time,message,success
606,2017-04-02 02:03:27,"Teilt das mal bitte! Dieser Mann hat mich gerade absolut grundlos so dermaßen rassistisch angegriffen, dass ich tatsächlich angefangen habe zu heulen. Ich bin einfach am Flughafen an ihm vorbeigegangen und er meinte ""Wie sieht die denn aus, wie son Wischmopp. Kann ja mal den Boden feudeln"" Ich bin zu ihm zurück und meinte, dass das nicht nett war. Er nur so was wie ""ja guck dich mal an"" ich darauf: ""Dass ein Mann, der so aussieht wie Sie, andere Menschen wegen ihres Aussehens... beleidigt, ist schon erstaunlich."" Statt einer Entschuldigung gings weiter mit Dingen wie ""dass ich mich sowas als Halbschwarze überhaupt traue zu sagen..."" etc.  Die anderen drumherum haben mir gut zugeredet und ihm gesagt, dass es sehr rassistisch ist und nicht in Ordnung. Ich hab ihn fotografiert und erklärt, dass ich allen Leuten sagen will, wie er drauf ist. Er hat mir das ok gegeben. Ich weiß nicht genau, warum ich das mit euch teilen will, aber es erschüttert mich so sehr und macht mich so traurig, weil ich seit langer Zeit so etwas nicht erlebt habe. Ich frage mich, was seine Arbeitskollegen, Kinder, Frau oder sonst wer dazu sagt. Deshalb bitte ich darum, diesen Mann hier zu teilen. Ich habe und werde den nicht beleidigen, obwohl alles dazu einlädt.  Und ich kann dafür kein Ärger geben, weil ich ihn die Sache explizit erklärt habe. ALSO TEILEN!!! See more",410.0
493,2017-06-19 00:32:26,"Happy me - ich habe in den letzten zwei Wochen Justin Bieber und Joy Denalane live gesehen, war mit einer meinen besten Freundinnen auf nem Roadtrip in Dänemark, mit meiner liebsten Oma auf Sylt, war in Berlin, Köln und Hamburg, habe Vivienne Westwood eine gelungene Rede halten hören, bin erfolgreich einen 10km Hindernislauf gelaufen, war in einigen Museen, hatte tolle und wichtige Gespräche, habe super Menschen kennen gelernt, die heftigsten Sache gegessen und freue mich unfassbar auf alles, was noch kommt. Eines Tages werde ich daran denken, wie es in meinen Zwanzigern war und ich werde sehr sehr zufrieden und stolz sein. Das weiß ich 😊",206.0
82,2018-04-15 22:52:34,💯😳 Tadaaaa!!! Nachricht des Tages: Ich hab meine eigene Lippenstift Limited Edition mit @maybelline!!!! Die guten gibt’s bei Rossmann & DM und ich kann es selbst kaum fassen!!! #AminataBellixMaybelline like what is going onnnn🔥🙏🏽🙌🏽🔥 fire fire freut ihr euch auch?!? Bitte Danke! Love u💥😃💥,197.0
26,2018-06-08 01:22:24,"Ich bin übrigens im Wohnwagen und aufm Jahrmarkt aufgewachsen. Und es gibt auch ein #Schaustellergebet. Hier ein Auszug:  „Lass mich bedenken, mein Vorrecht, als Schausteller Freude und Vergnügen  zu bringen allen Menschen,... besonders aber der Jugend, den Einsamen und denen, die vom Glück benachteiligt sind. Und wenn meine letzte irdische Tat vollendet ist und der letzte Vorhang fällt, dann nimm mich zu dir, und lass mich ewig glücklich sein bei dir.“ Nice nä. Foto: @danielfeistenauer for @neon_magazin 🎠🎡🎢 See more",146.0
128,2018-03-16 14:12:45,Falls mich jemand sucht: ich häng bei Görtz rum 🤙🏽,135.0
746,2017-01-07 14:43:49,Afro out ✊🏾 Braids können warten.  📷 @patrickschwalb for @teaser_magazine,127.0
565,2017-04-27 10:56:00,"Very very happy and blessed 🙏🏾 Was ist das eigentlich für 1 Life und ich mein es ernst. Wochenende auf Ibiza, Joy Denalane Konzert, Soho House, Essen vom Feinsten, dies das. Ich feier es so sehr, so so sehr und ich bin so so dankbar, weil alles so so toll ist 🙏🏾♥️",113.0
300,2017-11-17 01:52:59,"Oma hat heute 80. und freut sich sehr über jeden Geburtstagsgruß! Und sie liest immer jeden Kommentar, den ich bei Instagram bekomme! Also wer 1+1 zusammen zählt, macht ihr jetzt ne Freude 😉💐",111.0
690,2017-02-19 17:54:27,Life is good ✌🏽#blessedblessedblessed,88.0
625,2017-03-22 22:03:59,"""Ich habe erfolgreich die Uni abgeschlossen!"" - Harald (54), Hausmeister",85.0
