,created_time,message,success
140,2017-07-04 11:30:00,Minimalismus war noch nie unser Ding. Merkt ihr selber! Zum Beispiel wenn ihr unser neues Topped probiert.,16998.0
148,2017-06-29 11:30:00,"Ohne Witz, das ist da wirklich alles drin. Glaubst du nicht? Dann probiere jetzt das neue Topped.",7848.0
151,2017-06-27 11:30:00,Wir verwenden ausschließlich Topped Zutaten. Und davon sehr viele. Jetzt neu!,6294.0
90,2018-02-07 13:40:05,Bei uns kriegt ihr ab jetzt immer ein Stück vom Kuchen ab. http://bit.ly/birthday_cake_icecream,5296.0
124,2017-08-04 23:30:00,Ist das Kunst oder kann das rein?,5000.0
131,2017-07-17 13:30:32,"Yes, vegan! Es stimmt, wir bringen Non-Dairy in eure Kühltruhen.",4854.0
91,2018-02-06 13:40:04,Was geht richtig Cup? Unser neues Peanut Butter Cup 'Wich! benjerrys.co/2sd1yhp,4572.0
189,2017-04-26 23:30:00,Harte Schale weicher Kern.,4528.0
172,2017-06-01 22:30:00,Dough it yourself!,4450.0
210,2017-03-03 21:32:45,Traumjob zu vergeben: Eistester/in in Vollzeit gesucht!  Keine Lust auf Kaffee kochen und kopieren? Dann werde doch einfach Praktikant/in bei uns und teste neue Eissorten. benjerrys.co/praktikumsplatzanderquelle,4148.0
