,created_time,message,success
128,2018-04-28 12:00:00,"😡 Ein Zulieferer von Nestlé, Unilever und anderen zerstört in Indonesien Regenwald für Palmöl. Wir erinnern die Konzerne an ihr Versprechen: Kein Palmöl von Urwald-Zerstörern!",156374.0
688,2017-05-23 19:47:51,"Wir haben getestet, wie lange diese acht Lebensmittel wirklich halten. Das Ergebnis: Drei Produkte waren sogar  16 Wochen nach Ablauf der Mindesthaltbarkeit noch genießbar!",34500.0
31,2018-06-24 11:30:00,"Plastik? Igitt! Wenn euch die Plastik-Plage auch so auf die Nerven geht, teilt das Video! ;)",28648.0
49,2018-06-16 11:45:00,Gruselig: In wenigen Jahrzehnten könnte es mehr Plastik als Fische in den Meeren geben. Lassen wir es nicht soweit kommen! 💚🌊🐟,21628.0
315,2018-01-21 13:30:27,Schutzgebiete funktionieren - wie diese drei Beispiele beweisen! Deswegen wollen wir das größte Meeresschutzgebiet der Welt in der Antarktis: Unterstützt unsere Petition >> http://act.gp/2DkxSQP,14652.0
387,2017-11-28 22:45:44,"Du kannst Glyphosat stoppen 💚✊ Verbreite das Video, werde aktiv und unterstütze unsere Forderung für ein nationales Verbot von Glyphosat: https://www.greenpeace.de/glyphosat-verbot…",14408.0
182,2018-03-31 12:57:00,Wie Palmöl unseren Planeten zerstört 🔥,13583.0
604,2017-07-06 02:30:57,Planet Earth First - Hoch über den Dächern von Hamburg schwebt im Sonnenuntergang unser Ballon. Auch der Klimaschutz muss beim G20-Gipfel thematisch ganz oben hängen. Wir haben für Merkel & Co. bereits Vorschläge und vor allem Forderungen: https://www.greenpeace.de/klimaschutz-jetzt,13086.0
693,2017-05-20 11:57:00,"Teflon, Nylon & Silikon - Hersteller mischen schädliche Kunststoffe in Kosmetik! Umweltschädliche Stoffe haben weder auf der Haut noch im Meer etwas verloren - eigentlich klar, oder? Trotzdem werden Gesichtscremes oder Shampoos weiterhin massiv synthetische Kunststoffe beigemischt - obwohl diese teils giftig für Meeresorganismen sind oder potentiell gesundheitsschädigend für den Menschen. Mögliche Umweltfolgen werden von NIVEA, Schwarzkopf,  Penaten & Co. einfach ignoriert. Das zeigt unser neuer Report: https://www.greenpeace.de/th…/meere/gefaehrliches-halbwissen Was du tun kannst? Informiere deine Freunde und fordere von Umweltministerin Hendricks ein Verbot von Plastik in Kosmetik. Jetzt eine Protestmail senden: http://greenpeace.de/plastik-in-kosmetik",13068.0
436,2017-10-25 19:57:34,Die Entscheidung über eine Neuzulassung von Glyphosat wurde vertagt. Warum die Bundesregierung mit NEIN stimmen sollte.,11968.0
