,created_time,message,success
64,2017-01-20 22:43:57,Khaleesi Mode ON :D,1904.0
41,2017-04-06 23:58:01,Guck mal mein Video :O https://youtu.be/iCz7rvLzIxQ,1216.0
62,2017-01-25 20:52:22,Hab so ein Crazy Licht in meiner Wohnung grade. Voll schön oder? :),1164.0
50,2017-02-22 14:55:29,Meine letzten Tage in Chile waren so wunderschön! Aber jetzt stellt sich natürlich wieder die Frage: wo soll es als nächstes hingehen??,1066.0
58,2017-02-06 01:04:27,Seit 14 Stunden unterwegs und noch 16 more to go!! 😱,1034.0
54,2017-02-10 23:36:34,Liebe Grüße aus La Serena! Wir kämpfen uns mit Bussen hoch in den Norden Chiles!! Wie gehts euch so? :),1024.0
49,2017-02-24 22:28:40,GO GO POWER KELLY! Bald kommt ein neuer Power Rangers Film raus und ihr könnt dabei sein! Meldet euch einfach unter http://bit.ly/PowerRangersFanpremiere an und postet ein Foto von euch in einer Power Rangers Pose mit dem Hashtag #gogopowerrangers  bis zum 01.03.! Gewinnen könnt ihr Tickets zur exklusiven Filmpreview (ab 16) von Power Rangers - Der Film mit Aftershow Party (ab 18) am 17.03.17 in Berlin! Ich werde auch dabei sein! #sponsored,817.0
46,2017-03-21 21:07:31,"Huhu vom Guten Morgen, Internet Dreh! :)",745.0
57,2017-02-08 07:08:45,Santiago de Chile ist schön :),685.0
30,2017-06-13 06:29:44,Hallooo!! Wer kommt von neuen Video und wer ist schon ne Ewigkeit hier? 🤓,674.0
