,created_time,message,success
66,2017-09-24 22:31:50,"Mit der AfD wird eine rechtspopulistische Partei in den Bundestag einziehen und das in Deutschland.  In einem Land, welches sich mit Rechtsextremismus eigentlich sehr gut auskennen sollte. Über 10% der Menschen, die an die Wahlurne getreten sind, haben sich gegen Menschlichkeit, Gleichberechtigung und soziale Gerechtigkeit entschieden und in vielen Fällen geschah dies ausschließlich aus Protest. Doch wer sind letztlich die Leidtragenden dieses Protestes? Die Wähler selbst!  I...ch möchte nicht in einem Land leben, in dem Homosexualität verfassungsfeindlich ist. In dem wir Menschen nach Herkunft oder Religion kategorisieren. In dem soziale Projekte explizit nicht gefördert werden sollen und die Atomenergie wieder ausgebaut werden soll. Über die vielen sexistischen Äußerungen dieser Partei mag ich gar nicht reden. Ich bin schockiert und irritiert über dieses Ergebnis und ich hoffe, dass vor allem die AfD-Wähler selbst unter der Repression dieser rechten Partei zu leiden haben. Leider werden es aber vor allem jene sein, die die AfD nicht gewählt haben oder gar nicht abstimmen konnten.  Ein sehr trauriger Tag für dieses Land. Ich werde mir jetzt einen Beruhigungstee machen und ein Lavendelbad nehmen und über meine Auswanderung nach *beliebiges Land* (weil mir Menschen deswegen grad zu sehr auf den Sender gehen. Es war auch nur eine Floskel!) nachdenken. See more",9402.0
114,2017-04-09 21:35:40,"Dieses Bild ist wahnsinnig süß, aber gleichzeitig extrem traurig. Das Kälbchen wurde (wie alle anderen Kälbchen in den Boxen) der Kuh nach Geburt weggenommen und in eine solche Box gesteckt. Ein Kalb hatte sogar noch die Nabelschnur am Bauch, es war erst 3 Tage alt und wurde direkt nach Geburt von der Mutter getrennt (so wie alle Kälbchen). Die Mutter ist eine Milchmaschine und steht mit anderen Milchkühen getrennt von den Kälbchen, damit die Kälber nicht ihre eigene Muttermi...lch trinken können. Diese wird jeden Tag abgemolken um sie an den Menschen zu verkaufen, der sich dann die Muttermilch einer anderen Spezies in den Kaffee macht. Das Kälbchen bekommt Milch aus einem Eimer das mit Sauger und wird seine Mutter nie sehen. Kühe haben eine ebenso starke Bindung zu ihren Jungen wie Menschen. Und die Kälber schreien nach ihren Muttertieren. Stellt euch vor wir würden Müttern die Neugeborenen wegnehmen, um diese dann in Kisten zu sperren, künstlich ernähren und den Müttern die Milch abpumpen. Die Kälber werden dann meist weiterverkauft und landen beim Schlachter. Was ein trauriges Leben. Und genau aus diesem Grund verzichte ich auf tierische Produkte. Denn nur so können wir aktiv gegen dieses kranke System vorgehen. See more",6800.0
80,2017-07-21 00:36:24,"Chester Bennington ist tot. Laut Berichten hat er sich selbst das Leben genommen. Wir lesen in den Gazetten nun von seinen Drogen- und Alkoholproblemen. Wie immer, wenn sich Prominente suizidieren. Ausführlich wird ausgeschlachtet welche Tabletten und Substanzen wann in welchen Mengen eingenommen wurden und alle Welt denkt sich ""das hätte ich niemals von ihm/ihr gedacht"". Meist sind aber auch die Drogenprobleme ein Symptom dessen, was sich außerhalb des Rampenlichts abspielt.... Menschen in der Öffentlichkeit leiden verstärkt unter dem Erfolgsdruck, dem Bestreben stets perfekt zu sein und keine Makel zu haben. Und natürlich haben auch diese Personen ein Leben neben der großen Bühne, ein Leben, in dem sie Menschen sind wie wir alle. Mit Problemen, Ängsten und Sorgen. Auf Anhieb fallen mir hierzu unzählige Beispiele ein. Wir werden aber nur wieder über Drogeneskapaden unterrichtet und andere Dinge, die unterhalten und möglichst schockierend sind.  Wieso werden diese Fälle nicht ein einziges Mal dafür genutzt über psychische Erkrankungen und Suizidprävention zu sprechen. In Deutschland nehmen sich jährlich etwas mehr als 10.000 Menschen das Leben, pro Jahr unternehmen 100.000-150.000 einen Selbstmordversuch.  Auch in diesem Fall sollten wir genauer hinsehen, um zu verstehen, was wirklich die Gründe für eine solche Handlung sind. Um Menschen künftig vielleicht vorher helfen zu können. Informationen rund um dieses Thema findet ihr bei der Stiftung Deutsche Depressionshilfe und bei Freunde fürs Leben e.V. In akuten Fällen ist die Telefonseelsorge rund um die Uhr erreichbar unter den kostenlosen Hotlines 0800-1110111 und 0800-1110222. In lebensbedrohlichen Situationen ist es ratsam umgehend einen Notarzt zu verständigen oder das nächste Krankenhaus aufzusuchen. See more",6568.0
158,2017-01-19 20:26:13,Hello from St. Petersburg🐽,5938.0
150,2017-01-31 23:39:48,⚡️www.randyknife.com⚡️,5614.0
155,2017-01-22 20:54:40,Sun in Berlin💝,5142.0
139,2017-02-16 02:27:03,"Ich hab mir Mühe gegeben, seid nett🥀",5074.0
156,2017-01-22 02:45:32,You go girls in Washington and elsewhere. Women's rights are human rights! #womensmarch,4516.0
116,2017-04-02 22:16:05,"Wer hat Bock am Dienstag den 04.04. mit mir zur Premiere von Fast & Furious zu gehen? Ihr könnt nämlich Karten gewinnen und das Geilste, ihr seid im Hauptsaal mit Vin Diesel und Charlize Theron und geht vorher natürlich auch über den Red Carpet😎Die Aktion findet direkt am roten Teppich statt, also kommt am Dienstag um 15:30 Uhr zum Sony Center in Berlin und wir suchen fünf Kandidatinnen raus die mit mir gemeinsam ein Shooting machen und wer am meisten rockt, geht abends zur Premiere. Ich freue mich auf euch💕 #fastandfurious #fastandfurious8",4368.0
93,2017-06-02 21:12:18,"Tut mir Leid, dass es im Moment etwas ruhiger ist hier. Bei mir passiert grad einiges und ich genieße einfach das schöne Wetter mit meinen Liebsten💖Ich hoffe ihr macht am Wochenende das Gleiche🌴",4018.0
