,created_time,message,success
682,2017-03-18 00:50:38,Der Blick!,40800.0
385,2017-09-09 20:18:34,"""Wir sollten der Sonne erklären, dass sie nicht so viel scheinen soll... Wir sollten die Sonne verklagen!"" - Kennt ihr die anerkannte AfD-Klimaschutzexpertin, Beatrix von Storch? Nein? Der menschengemachte Klimawandel muss aus ihrer Sicht nämlich erst noch bewiesen werden... 😄 Ausschnitt aus Jung & Naiv, Folge 325 mit Beatrix von Storch (AfD) - Komplett hier: https://youtu.be/HnfpQ1JkYv4 (117 min)... Bitte unterstützt unsere Arbeit finanziell: Tilo Jung IBAN: DE36700222000072410386 BIC: FDDODEMMXXX Verwendungszweck: Jung & Naiv PayPal ► http://www.paypal.me/JungNaiv (Wer mindestens €20 gibt, wird im darauffolgenden Monat als Dank in jeder Folge als Produzent gelistet. NEU: Wer €100 gibt, wird sogar für den Rest des Jahres als Produzent im Abspann geführt.) Fanshop ► http://fanshop-jungundnaiv.de/ See more",26500.0
366,2017-09-22 19:01:51,"Für uns repräsentieren diese 5 Minuten die politische Auseinandersetzung der letzten vier Jahre: Ein ""besorgter Bürger"" will nicht für andere verantwortlich sein, beschwert sich über Flüchtlinge und macht sich Luft. Gregor Gysi kontert: ""Mir schrieb jemand, der arm war: Wenn es weniger Flüchtlinge gäbe, dann hätte er mehr. Dann hab ich gesagt: Dann kennen Sie den Bundestag ganz anders als ich. Als wir weniger Flüchtlinge hatten, ging es Ihnen da besser? Nein. Nur weil wenige ...Arme da sind, wird das Geld nicht auf die übrig gebliebenen Armen verteilt. Dann: 'Ja, aber wenn wir die nicht hätten, würden wir mehr Geld für Bäder und Schulen haben.'  Da sag ich: Wirklich? Hatten wir, als wir weniger Flüchtlinge hatten, mehr Geld für Bäder und Schulen? Nein. Wissen Sie was die Illusion ist? Wir schauen zur Seite - das ist der falsche Blick"" Sharing is caring! Ausschnitt aus der Bürger-PK mit Gregor Gysi vom 30. August 2015 - Komplett hier: https://youtu.be/GIisNBB7r-o Bitte unterstützt unsere Arbeit finanziell: Tilo Jung IBAN: DE36700222000072410386 BIC: FDDODEMMXXX Verwendungszweck: Jung & Naiv PayPal ► http://www.paypal.me/JungNaiv (Wer mindestens €20 gibt, wird im darauffolgenden Monat als Dank in jeder Folge als Produzent gelistet. NEU: Wer €100 gibt, wird sogar für den Rest des Jahres als Produzent im Abspann geführt.) Fanshop ► http://fanshop-jungundnaiv.de/ See more",19932.0
229,2018-01-22 22:15:43,"Sehenswert: Die Bundesregierung hat versprochen, dass man keine Waffen mehr an Länder liefern will, die am Krieg im Jemen beteiligt sind. Nur stellt sich die Frage: Wer sind diese ""Beteiligten"" neben den Saudis? Die USA setzen im Jemen Navy-Seal-Teams ein und führen Drohnenangriffe durch - wird also nun nicht mehr an die USA Rüstung geliefert? Es wird geschwiegen. Auch wer die ""Beteiligten"", also die Kriegsteilnehmer, überhaupt sind, wird nicht beantwortet.. Ausschnitt aus de...r BPK vom 22. Januar 2018 - Komplett hier: https://youtu.be/sb_5I2yyd1g Bitte unterstützt unsere Arbeit finanziell: Tilo Jung IBAN: DE36700222000072410386 BIC: FDDODEMMXXX Verwendungszweck: BPK PayPal ► http://www.paypal.me/JungNaiv See more",17968.0
481,2017-07-04 14:30:56,So macht man CDU-Wahlkampf 🙃 © Generalsekretär Peter Tauber http://bit.ly/2uFbZab (via @Sankari666 http://bit.ly/2tl5qdj),15600.0
533,2017-06-02 18:00:08,"US-Botschaft in Berlin heute 😄 Herrlich, Greenpeace Deutschland!",15382.0
330,2017-10-13 20:40:32,"Unfassbar, diese Flüchtlinge! ☺️",10408.0
747,2017-02-10 16:53:34,6 tote NSU-Zeugen & ihre Todesursachen http://www.migazin.de/…/leichnam-weitere-nsu-zeugin-anhoer…/,9864.0
817,2017-01-04 19:47:10,"Der Verfassungsschutz kannte den Berliner Terroristen Amri nicht nur, er half ihm mit einem V-Mann sogar fleißig im Vorfeld der Tat - zB beim Umzug von Dortmund nach Berlin: Die Kanzlerin möchte sich dazu nicht äußern, sondern erstmal die Untersuchungen abwarten. Das Bundesinnenministerium spielte heute dagegen das ""Mein Name ist Hase""-Spiel: ""Also so etwas ist mir nicht bekannt."" Ausschnitt aus der BPK vom 4. Januar 2017 - Komplett hier: https://youtu.be/qfjLQCL4Wxg Mehr daz...u im Bericht der tagesschau: https://www.tagesschau.de/inl…/anschlag-berlin-amri-101.html Videoquelle: ARD Brennpunkt vom 23. Dezember 2016 Bitte unterstützt unsere Arbeit finanziell: Tilo Jung IBAN: DE36700222000072410386  BIC: FDDODEMMXXX Verwendungszweck: BPK PayPal: www.paypal.me/JungNaiv (Wer mindestens €20 gibt, wird im darauffolgenden Monat in jeder Folge als Produzent gelistet) See more",9836.0
291,2017-11-14 03:20:09,"Yeah, Schweden! Yeah, yeah, yeah.",9344.0
