,created_time,message,success
856,2017-01-31T18:13:34.000Z,"Neues Videoooo auf meinem Kanal!!! Ich bin gerade so super busy, dass (jenes, welches, doppel 's' #wtf) ich nicht mal an der Trump Demo teilnehmen kann, was mich SEHR ärgert. Checkt also meinen YouTube Kanal aus und zollt meiner Arbeit Tribut 😜✊🏽👀 #bittedanke #linkinbio | www.youtube.com/aminatabelli",16056
103,2018-04-15T17:18:58.000Z,💥💯😳 Tadaaaa!!! Nachricht des Tages: Ich hab meine eigene Lippenstift Limited Edition mit @maybelline!!!! Die guten gibt’s bei Rossmann & DM UND BUDNI UND ÜBERALL und ich kann es selbst kaum glauben!!! #AminataBellixMaybelline like what is going onnnn🔥🙏🏽🙌🏽🔥 fire fire freut ihr euch auch?!? Bitte Danke! Love u💥😃💥 @glossytalkmaybelline,9797
578,2017-07-20T10:19:09.000Z,"Bitch stole my look 👀✨ Wer den auch will, muss im Alsterhaus vorbeischauen! Da gibt's ab sofort nämlich auch eine EDITED Ecke 🏦👏🏽 #sponsored #editedgirls @editedofficial",9451
674,2017-05-23T19:54:49.000Z,"Ich checke erst jetzt, warum es OVERSIZE heißt! Wie in der Evian Werbung soll man sich wie ein Baby fühlen. Uhhh ahaa deshalb ist hier alles zu groß, wie auch dieser Sweater. Den gibt's ab morgen bei @rad 🚀 🇫🇷 #evianoversize @evianwater",9191
710,2017-05-05T14:38:39.000Z,Mein Kleid ist von @ginatricot und ab Herbst erhältlich und ich habe zum ersten Mal Schaumfestiger benutzt und das Ergebnis ist riiiiichtig gut geworden! Ich mach ein Video dazu 🙌🏽 und hi @blondeboyinblack 🌟,9013
40,2018-05-24T18:09:27.000Z,#twofaced #lol,8220
574,2017-07-21T19:01:08.000Z,A few weeks ago I met @linkinpark and I truly feel so so sorry for what happened #ChesterBennington 😔♥️,6290
12,2018-06-10T16:57:09.000Z,Im Gespräch mit dem Landesvorsitzenden der AfD Brandenburg 🇩🇪 Link zum Beitrag in meiner Story und in meiner Instagram Beschreibung. #sadbutrue,5717
227,2018-02-09T15:47:11.000Z,"We’ve been filming at #MBFW in Berlin and talked to a loooot of amazing people about celebrating yourself. So celebrate yourself, too! Click the link in my instagram story to see the full video 🌟 @nylongermany @cirocvodka #nylonxciroc #onarrival #lovemyjob",5547
433,2017-10-18T20:42:09.000Z,At today's video shoot: me being a proud @bumble_germany ambassador!!! 🐝,5530
