,created_time,message,success
68,2017-10-30T16:29:51.000Z,"Zum #worldveganday teilen wir diesen Mittwoch 1.111 mal unsere neuen veganen 🌱 Sorten mit euch! Ab 17h Uhr - solange der Vorrat reicht - verschenkt @marienasemann unser veganes #chunkymonkey und #peanutbuttercookies Wo: Backyard Berlin, Gitschiner Str. 22",26402
105,2017-05-02T11:00:35.000Z,Liebe ist ein Bauchgefühl. #benandjerrys #love #schokiherz #meinherzausschokoeis #willstdumitmirlöffeln?,20383
80,2017-08-16T15:30:23.000Z,Fidget Spinning done right.🍦#fidgetspinner #spinning #youspinmyheadrightround #durchgedreht #lovespinning #lovespinningandicecream ☮️❤️🍦,17071
114,2017-03-03T16:58:33.000Z,Traumjob zu vergeben: Eistester/in in Vollzeit gesucht! Keine Lust auf Kaffee kochen und kopieren? Dann werde doch einfach Praktikant/in bei uns! #traumjob Check den Link in unserer Bio ⬆️,15642
76,2017-10-02T15:57:24.000Z,Bitte nicht gleich ins Handy beißen ☝🏼 #benandjerrystopped #benandjerrys #topped #peaceloveandicecream #happymonday,15256
79,2017-08-25T09:27:13.000Z,Endlich Freitag! Heute kugeln wir ins Wochenende.#mhhh #kugelrund #fridayisiceday 🍦⚪,14722
66,2017-11-01T08:54:44.000Z,"Free Ice Cream in Berlin!
Zum #worldveganday gibts heute 1111 x VEGANES Ben & Jerry’s von uns geschenkt!
Ab 17 Uhr - solange der Vorrat reicht - verschenkt @marienasemann gemeinsam mit uns veganes #chunkymonkey und #peanutbuttercookies
Wo: Backyard Berlin, Gitschiner Str. 22, 10969 Berlin wir freuen uns auf euch! ✌🏻🌱🍦#veganicecream #yesvegan #govegan #backyardberlin #veganberlin",14659
77,2017-09-29T14:36:12.000Z,"Liebe kann so unterschiedlich sein. Yes, we dough! - auch in Australien 🇦🇺 🏳️",10060
58,2017-12-11T19:00:56.000Z,"Aufgabler oder Tunnelbauer?
Wie isst du dein Ben & Jerry's am liebsten? 🥄🥄🍦🍦 #benandjerrys #peaceloveandicecream #mondayfunday #peanutbuttercup #karamelsutra",8544
124,2017-01-04T18:45:54.000Z,Ihr seid die Besten!! Auf ein weiteres Jahr ✌🏼️❤️&🍦#benandjerrys #top10 #thankyou #lieblingssorten #peaceloveandicecream,7825
