,created_time,message,success
20,2018-05-15T19:34:38.000Z,"#Drinkinghelps – but how, exactly? .
.
Every bottle of #Lemonaid sold supports development projects in the regions where our ingredients are grown – in Asia, Africa and Latin America. In this way, we raised more than 3 million euros for charitable purposes.
.
.
Projects are chosen and mentored by the Lemonaid and ChariTea Foundation. The goal is to help those in disadvantaged regions help themselves. The list of symptoms is often long – chronic underpayment, child labour, environmental pollution and destruction of species diversity, human rights abuses and discrimination against minorities, corrupt elites – and many more.
.
.
We believe that these problems can only be solved by the autonomous actions of local people.The Lemonaid & ChariTea Foundation therefore concentrates on increasing their resources. Thus, the organisation mainly supports entrepreneurs and educational institutes which aim to provide sustainable sources of income.",9382
5,2018-06-21T19:09:30.000Z,The Lemonaid DRINKING HELPS idea in a nutshell.,7637
6,2018-06-19T11:38:28.000Z,"Voilá - a macramé plant hanger made of a Lemonaid bottle and some strings. Download your step-by-step-tutorial here: bit.ly/LemonaidUpcycling 📷: @ghostbastlers
#lemonaid #drinkinghelps
•
•
•
•
•
#upcycling #homedecor #finditstyleit #diyideas #upcycled #currentdesignsituation #diydecor #decor #diys #upcycle #jungalowstyle #homedesign #interior #apartmenttherapy #sodomino #interiors #decoration #jungalow #bohohome #instahome #homestyle #instadecor #homesweethome #interiordecor #interiorstyling #recycle #homedecoration #homestyling",7198
33,2018-04-06T10:25:32.000Z,"HOORAY! Today we would like to say „thank you“ – for €3.000.000, which you helped us raise for the Lemonaid & ChariTea Foundation so far #lemonaid #drinkinghelps ⬆️ Check link in bio for more information about the DRINKING HELPS idea.",5496
1,2018-07-03T15:14:00.000Z,Check out the new episode of our #upcycling tutorial we did together with the fabulous @ghostbastlers #ikeahack #ikeahacks #planterbox #lemonaid #drinkinghelps,4019
24,2018-05-01T11:12:20.000Z,"Drinking helps - now even more:
Thanks for supporting the “Drinking-Helps-Idea” (and your thirst) which allows us to fund 30 social projects in the growing regions!
•
•
•
•
•
#drinkinghelps #lemonaid #changemakers #change #charity #dogood #activism #nonprofit #causes #socialgood #goodcause #ngo #drinkinghelps #lemonaid #charitea #foundation",3397
7,2018-06-15T10:29:00.000Z,We make summer even more colorful. See how the wonderful @ghostbastlers turned a #lemonaid bottle into a vase. Get your step-by-step-tutorial here: bit.ly/UpcyclingVase 📷: @ghostbastlers #drinkinghelps #diy #doityourself #homedecor #upcycling #upcycled #upcycle #recycle,3120
30,2018-04-16T10:07:41.000Z,"It’s official: Lemonaid & ChariTea raised more than €3 million for social projects by date.
Thanks for your contribution - and your thirst!
•
•
•
•
•
#drinkinghelps #lemonaid #changemakers #change #charity #dogood #activism #nonprofit #causes #socialgood #goodcause #ngo #drinkinghelps #lemonaid #charitea #foundation",2581
27,2018-04-24T13:41:04.000Z,"Lots of bottles sold resulted in supporting a new total of 30 social projects in the growing regions.
Without your efforts for the “Drinking-Helps-Idea” – and your thirst – this wouldn’t have been possible!
•
•
•
•
•
#changemakers #change #charity #dogood #activism #nonprofit #causes #socialgood #goodcause #ngo #drinkinghelps #lemonaid #charitea #foundation",2054
2,2018-06-30T14:51:53.000Z,"Ian of @mightyoaksmusic on cat videos with a million views vs. pictures of starving children in Africa with none. #myutopia #lemonaid #drinkinghelps #mightyoaks #msdockville2017 #dockville
_____
The whole ""My Utopia"" interview we did with the boys at @dockville Festival: https://bit.ly/2JzzzjE",1235
