,created_time,message,success
35,2018-04-19T18:51:41.000Z,Markiere deinen talentiertesten Freund 💃🕺 #dancer #hiphopdance #hiphopculture #hiphop #danceclass #tanzschule,248324
33,2018-04-23T17:28:01.000Z,Markiere deine Freunde die „Gesangstalente“ sind 😂😂😂,242614
24,2018-05-16T18:07:43.000Z,"Wenn man sich nur mit Filter traut @arianagrande sein zu wollen, haha!
An welchen Song soll ich mich als nächstes ranwagen? 😆",142384
168,2017-06-26T11:18:27.000Z,Guckt mal bei meiner Insta Story vorbei! So viele tolle Künstler gesehen und Mega Spaß gehabt mit @malwanne und @mirellativegal 🤙,142351
1,2018-06-24T16:49:14.000Z,"Herzlichen Glückwunsch @dagibee und @eugenkazakov
Die Hochzeit war so wunderschön, musste sogar weinen lol 👰🤵💕",131983
161,2017-07-24T16:35:41.000Z,MEIN NEUES VIDEO IST ONLINE! Link im Profil 📽📽📽,127746
160,2017-07-25T13:08:23.000Z,NEUES VIDEO schon gesehen?? Link im Profil 📽📽📽,122502
159,2017-07-25T14:59:32.000Z,Oh Oh 😮,117466
174,2017-06-14T14:28:10.000Z,"NEUES VIDEO: ich koche 😬😬 Einhornkuchen, Pizzatorte und Regenbogeneis! Link im Profil 📹📹📹",106894
131,2017-10-08T14:01:22.000Z,"Klick mein Video an! 🤗
Wie findet ihr den Song? Video dazu jetzt auf meinem Kanal!!",106487
