,created_time,message,success
75,2018-01-29T13:25:51.000Z,YPG-Demonstranten „stürmten“ heute die #BPK,2548
86,2017-12-24T18:07:36.000Z,"Tradition bei der besten Oma: Es werden nur 🎁 angenommen, wenn ein Weihnachtsgedicht aufgesagt wird",2159
58,2018-03-29T12:21:27.000Z,Vier raus. Vier rein.,2090
126,2017-10-31T19:58:33.000Z,What is this shit? 😆,1954
44,2018-04-24T20:25:28.000Z,This is too much fun,1841
266,2017-03-19T10:57:59.000Z,I'm sooo great at this,1771
100,2017-11-27T11:51:14.000Z,,1664
267,2017-03-17T20:34:44.000Z,That look 😆,1627
84,2017-12-25T17:46:11.000Z,,1624
150,2017-09-17T16:52:16.000Z,"Ab sofort online: Jung & Naiv mit Außenminister Sigmar Gabriel (SPD) über den Niedergang der SPD, US-Drohnenkrieg via Ramstein, Atombomben, Deals mit Diktaturen uvm. www.naiv.tv #btw17",1619
