,created_time,message,success
606,2017-04-02 02:03:27,"Teilt das mal bitte! Dieser Mann hat mich gerade absolut grundlos so dermaßen rassistisch angegriffen, dass ich tatsächlich angefangen habe zu heulen. Ich bin einfach am Flughafen an ihm vorbeigegangen und er meinte ""Wie sieht die denn aus, wie son Wischmopp. Kann ja mal den Boden feudeln"" Ich bin zu ihm zurück und meinte, dass das nicht nett war. Er nur so was wie ""ja guck dich mal an"" ich darauf: ""Dass ein Mann, der so aussieht wie Sie, andere Menschen wegen ihres Aussehens... beleidigt, ist schon erstaunlich."" Statt einer Entschuldigung gings weiter mit Dingen wie ""dass ich mich sowas als Halbschwarze überhaupt traue zu sagen..."" etc.  Die anderen drumherum haben mir gut zugeredet und ihm gesagt, dass es sehr rassistisch ist und nicht in Ordnung. Ich hab ihn fotografiert und erklärt, dass ich allen Leuten sagen will, wie er drauf ist. Er hat mir das ok gegeben. Ich weiß nicht genau, warum ich das mit euch teilen will, aber es erschüttert mich so sehr und macht mich so traurig, weil ich seit langer Zeit so etwas nicht erlebt habe. Ich frage mich, was seine Arbeitskollegen, Kinder, Frau oder sonst wer dazu sagt. Deshalb bitte ich darum, diesen Mann hier zu teilen. Ich habe und werde den nicht beleidigen, obwohl alles dazu einlädt.  Und ich kann dafür kein Ärger geben, weil ich ihn die Sache explizit erklärt habe. ALSO TEILEN!!! See more",410.0
493,2017-06-19 00:32:26,"Happy me - ich habe in den letzten zwei Wochen Justin Bieber und Joy Denalane live gesehen, war mit einer meinen besten Freundinnen auf nem Roadtrip in Dänemark, mit meiner liebsten Oma auf Sylt, war in Berlin, Köln und Hamburg, habe Vivienne Westwood eine gelungene Rede halten hören, bin erfolgreich einen 10km Hindernislauf gelaufen, war in einigen Museen, hatte tolle und wichtige Gespräche, habe super Menschen kennen gelernt, die heftigsten Sache gegessen und freue mich unfassbar auf alles, was noch kommt. Eines Tages werde ich daran denken, wie es in meinen Zwanzigern war und ich werde sehr sehr zufrieden und stolz sein. Das weiß ich 😊",206.0
26,2018-06-08 01:22:24,"Ich bin übrigens im Wohnwagen und aufm Jahrmarkt aufgewachsen. Und es gibt auch ein #Schaustellergebet. Hier ein Auszug:  „Lass mich bedenken, mein Vorrecht, als Schausteller Freude und Vergnügen  zu bringen allen Menschen,... besonders aber der Jugend, den Einsamen und denen, die vom Glück benachteiligt sind. Und wenn meine letzte irdische Tat vollendet ist und der letzte Vorhang fällt, dann nimm mich zu dir, und lass mich ewig glücklich sein bei dir.“ Nice nä. Foto: @danielfeistenauer for @neon_magazin 🎠🎡🎢 See more",146.0
527,2017-05-23 16:58:01,"Mama freut sich über das tolle Feedback von allen! (Wahnsinn wie viele mir zu meiner Mutter schreiben, haha!) - Sie will es allerdings nicht so ernst nehmen, weil sie meint, dass das ja nur das Internet sei und die Leute sie ja eig gar nicht kennen. ""Das ist das Internet, nicht das echte Leben."" sagt sie sowieso immmmmer 😂👋🏽♥️ der Crêpes war übrigens spitzenmässig und BILLIG!! Am Eiffelturm mit Käse für 4€ wow!",75.0
707,2017-02-07 23:07:16,"Zunehmen ist nicht schlimm, denn Brüste bestehen zu 80% aus Fett 🖖🏽",65.0
480,2017-06-27 19:29:04,"Ungeschminkt und ungestylt - in der Schule dachte ich immer, wenns auf die Modeschule geht, dann wird alles anders. Nie mehr unfertig und mit Jogger los, Augenbrauen stets gezupft und Finger manikürt. Hat sich natürlich nicht geändert. Nach dem Studium dann der erste richtig feste Job. Bei nem Modemagazin. Wow! Ab jetzt wieso nur noch aus dem Ei gepellt. Und dann? Ja, selbst gemerkt. Selbständig und mit 25, immer nur dann aufhübschen, wenns wohin geht, wo mich keiner kennt 😂 mein Shirt könnt ihr übrigens gewinnen. Wie, seht ihr in meiner Story! 😍🚀",59.0
20,2018-06-09 16:41:06,"Wenn man den Google Vorschlag “Aminata Belli Herkunft” klickt, kommt als erstes ein Beitrag von spiegel.de mit dem Ergebnis meines DNA-Tests. Wie verrückt. Noch verrückter: das Ergebnis! “36 Prozent senegalesischer Herkunft, 21 Prozent osteuropäischer, zwölf Prozent nordeuropäischer, je sechs Prozent Nigeria und Westeuropa, je vier Prozent italienisch-griechisch und irisch, zwei Prozent Mittlerer Osten” — OK",56.0
5,2018-07-05 23:49:27,Immer das Gleiche tragen. Ist nachhaltig.,52.0
335,2017-10-16 16:04:38,"Ich hasse Zähneputzen. Eine langweilige Aufgabe, die man alltäglich erledigenden muss. Ist doch genauso furchtbar, wie es sich anhört. 😬",47.0
749,2017-01-05 01:27:35,"Ich finde es nicht in Ordnung, dass ich braune Babies immer süßer finde als weiße. Aber ich kann es einfach nicht ändern. #saintwest Foto: @elirusselllinnetz",45.0
