,created_time,message,success
177,2017-05-23 23:30:00,So machst Du Deutschland vom Sofa aus gerechter: In wenigen Schritten für eine faire Gesellschaft.,2190.0
150,2017-06-27 19:29:35,"Fast geschafft! Die EHE FÜR ALLE ist zum Greifen nah – jetzt noch einmal alles geben und die Abgeordneten auffordern, JA zu sagen.",1826.0
145,2017-06-30 16:54:27,"Wir heben überglücklich unsere Löffel! Denn heute hat der Deutsche Bundestag endlich JA zur Ehe für alle gesagt. Vielen Dank, dass ihr über 50.000 Emails an eure Abgeordneten verschickt habt – ihr seid die allerbesten Fans der Welt!",1696.0
86,2018-02-14 12:30:04,Mit wem möchtest du heute gemeinsam löffeln?,1353.0
222,2017-01-31 02:13:38,Es ist an der Zeit für die Werte unserer Gesellschaft auf- und zusammenzustehen.,954.0
144,2017-06-30 22:09:11,"Heute haben wir mal Torte statt Eis mitgebracht und feiern das Ergebnis des Deutschen Bundestag zur Ehe für alle. Danke für eure Unterstützung und schönes Wochenende! Peace, Love & Ehe für Alle!",839.0
178,2017-05-17 21:10:00,"Heute wird mal wieder über die Ehe für alle im Bundestag debattiert. Wir sagen: nicht länger reden, einfach machen! Lasst uns jetzt gemeinsam JA sagen und heute die 20.000 knacken.",592.0
158,2017-06-14 23:30:00,Löffelt was ihr wollt. Heiratet wen ihr wollt.  benjerry.de/aktuelle-initiativen/ehe-fuer-alle/messenger,574.0
156,2017-06-20 16:30:00,Jeder hat ein Recht auf ein Leben in Sicherheit. Darum machen wir uns für Menschen auf der Flucht stark und ihr könnt uns dabei unterstützen: http://www.benjerry.de/aktuelle-initi…/together-for-refugees #WorldRefugeeDay,567.0
149,2017-06-28 21:30:00,Eis ab! Film läuft. Nächste Woche startet unsere YEStival Tour in 4 deutschen Städten. Lasst uns in diesem Jahr gemeinsam ein Zeichen für mehr Gerechtigkeit und Liebe setzen. Sagt JA zur Ehe für alle! benjerry.de/yestival,499.0
