,created_time,message,success
148,2017-06-29 11:30:00,"Ohne Witz, das ist da wirklich alles drin. Glaubst du nicht? Dann probiere jetzt das neue Topped.",7848.0
124,2017-08-04 23:30:00,Ist das Kunst oder kann das rein?,5000.0
131,2017-07-17 13:30:32,"Yes, vegan! Es stimmt, wir bringen Non-Dairy in eure Kühltruhen.",4854.0
177,2017-05-23 23:30:00,So machst Du Deutschland vom Sofa aus gerechter: In wenigen Schritten für eine faire Gesellschaft.,2190.0
167,2017-06-07 23:30:00,"Dieses Jahr sagen wir ""JA"" zur Ehe für alle und möchten mit euch auf unseren YEStivals gemeinsam leckeres Eis essen, für die Ehe für alle demonstrieren und einen Film for free schauen.",1886.0
98,2018-01-04 00:30:37,Wir stehen auf Bananen.,1864.0
150,2017-06-27 19:29:35,"Fast geschafft! Die EHE FÜR ALLE ist zum Greifen nah – jetzt noch einmal alles geben und die Abgeordneten auffordern, JA zu sagen.",1826.0
86,2018-02-14 12:30:04,Mit wem möchtest du heute gemeinsam löffeln?,1353.0
184,2017-05-10 23:50:43,Innerhalb kürzester Zeit haben wir bereits über 3.000 Stimmen für Ehe für alle gesammelt. Da geht noch mehr! Hast du schon JA gesagt?,1043.0
82,2018-02-21 21:53:07,Könnte man teilen. So rein theoretisch.,976.0
