,created_time,message,success
9,2018-07-01 14:00:02,"Ölfirmen wollen neue Pipelines in Nordamerika bauen. Dadurch werden Menschenrechte der indigenen Völker verletzt. Die Credit Suisse und andere Banken finanzieren solche Geschäfte. Fordere von den Banken, keine Pipelines mehr zu finanzieren. Unterschreibe die Petition: https://act.gp/2IDhyMH #StopPipelines #PeopleOverPipelines",1825.0
329,2017-05-25 18:56:30,😱 In 24h wird die Klimaklage eingereicht! Beteilige dich und unterstütze jetzt die Seniorinnen auf: www.klimaklage.ch,1387.0
359,2017-04-28 18:57:49,"Die Generalversammlung der Credit Suisse neigt sich dem Ende zu, unsere Forderungen bleiben bestehen: Greenpeace-AktivistInnen haben dafür gesorgt, dass im Hallenstadion nicht nur über Boni diskutiert wurde – sondern auch über dreckige Pipeline-Deals, Indigenen-Rechte und sauberes Trinkwasser. #NoDAPL #DeFundDAPL Infos und Hintergründe zur Aktion: http://act.gp/2pterRC",1167.0
292,2017-07-11 15:46:51,"Was für ein Erfolg! Über zwei Jahre lang haben wir gemeinsam gekämpft, protestiert und verhandelt. Heute sind wir für unsere Beharrlichkeit belohnt worden! Thai Union, das grösste Thunfisch-Unternehmen der Welt, nimmt endlich seine Verantwortung wahr und ändert seine Fischereipraktiken. Danke an alle, die Seite an Seite mit uns kämpfen. Lasst uns auch den Rest der Meeresfischerei-Industrie zum Besseren ändern! http://act.gp/thaiunion",1163.0
330,2017-05-24 15:40:50,Beteilige dich jetzt an der ersten Klimaklage der Schweiz. Die mutigen Seniorinnen zählen auf dich! www.klimaklage.ch,967.0
7,2018-07-03 20:32:47,"Seit Jahren sind wir im Gespräch mit der Credit Suisse. Wir fordern von der Bank, keine Pipeline-Unternehmen mehr zu finanzieren. Mit eurer Unterstützung haben wir bereits 9’000 Unterschriften gesammelt. Hast du schon unterschrieben? https://act.gp/2tNNMjY #StopPipelines #PeopleOverPipelines",688.0
361,2017-04-28 14:59:47,Der Protest an der Credit Suisse - GV geht in die nächste Runde: Während der Eröffnungsrede von CS-CEO Tidjane Thiam seilen sich AktivistInnen vom Dach ab und entrollen ein grosses Banner. Die Botschaft ist klar: Die Grossbank muss endlich die Rechte der indigenen Bevölkerung respektieren und die Finanzströme ins Umfeld der Dakota Access Öl-Pipeline stoppen. #NoDAPL # DeFundDAPL #CreditSuisse,595.0
51,2018-04-26 19:45:46,"Klimaseniorinnen und eine Delegation indigener Frauen aus den USA und Kanada fordern von Credit Suisse und UBS, die Finanzierung von Unternehmen zu stoppen, die mit ihren Pipeline-Projekten das Klima schädigen sowie gegen internationale Abkommen über indigene Rechte verstossen. Mehr dazu im Blog: https://act.gp/2r1lG2s #Stoppipelines #break_free_2018",591.0
89,2018-02-07 15:53:58,"Wie sorgt man dafür, dass das Uralt-AKW Beznau trotz Erdbebengefährdung am Netz bleiben darf? Man ändert einfach die Gesetzgebung und weicht so die Sicherheit auf – so plant es der Bundesrat. Findest du das auch skandalös? Dann wehr dich jetzt über die Seite unserer Partner-Organisation SES: http://act.gp/wortbruch",550.0
176,2017-10-25 23:22:18,"In dieser Woche besuchten Kanahus Manuel und Cedar George-Parker, zwei Wasserschützer aus Kanada, die Credit Suisse. Sie sprachen über die Credit Suisse Kundin, Kinder Morgan. Diese Firma ist verantwortlich für den Bau der Trans-Mountain-Pipeline und das ohne die Zustimmung der indigenen Völker, die seit tausenden von Jahren dort leben. Mehr Infos zu diesem Thema findest Du unter: http://act.gp/2zCy4Zr",524.0
