,created_time,message,success
9,2018-07-01 14:00:02,"Ölfirmen wollen neue Pipelines in Nordamerika bauen. Dadurch werden Menschenrechte der indigenen Völker verletzt. Die Credit Suisse und andere Banken finanzieren solche Geschäfte. Fordere von den Banken, keine Pipelines mehr zu finanzieren. Unterschreibe die Petition: https://act.gp/2IDhyMH #StopPipelines #PeopleOverPipelines",1825.0
359,2017-04-28 18:57:49,"Die Generalversammlung der Credit Suisse neigt sich dem Ende zu, unsere Forderungen bleiben bestehen: Greenpeace-AktivistInnen haben dafür gesorgt, dass im Hallenstadion nicht nur über Boni diskutiert wurde – sondern auch über dreckige Pipeline-Deals, Indigenen-Rechte und sauberes Trinkwasser. #NoDAPL #DeFundDAPL Infos und Hintergründe zur Aktion: http://act.gp/2pterRC",1167.0
292,2017-07-11 15:46:51,"Was für ein Erfolg! Über zwei Jahre lang haben wir gemeinsam gekämpft, protestiert und verhandelt. Heute sind wir für unsere Beharrlichkeit belohnt worden! Thai Union, das grösste Thunfisch-Unternehmen der Welt, nimmt endlich seine Verantwortung wahr und ändert seine Fischereipraktiken. Danke an alle, die Seite an Seite mit uns kämpfen. Lasst uns auch den Rest der Meeresfischerei-Industrie zum Besseren ändern! http://act.gp/thaiunion",1163.0
330,2017-05-24 15:40:50,Beteilige dich jetzt an der ersten Klimaklage der Schweiz. Die mutigen Seniorinnen zählen auf dich! www.klimaklage.ch,967.0
1,2018-07-08 13:30:01,"Neue Öl-Pipelines in den USA bedrohen Menschen und Tiere, z.B. gefährdete Orcas im Pazifik 🐳! Fordere die Credit Suisse und andere Banken auf, keine Pipeline-Unternehmen mehr zu finanzieren: https://act.gp/2KPxwoS #StopPipelines",921.0
218,2017-10-04 00:39:03,Es ist Herbst. Die Nase läuft. Das Tempo-Papiernastüechli ist allgegenwärtig. Einmal hinein schneuzen und weg damit. Doch woher stammt eigentlich der Zellstoff in dem Nastuch? Wir haben bei der Marke Tempo genauer hingeschaut und erschreckendes festgestellt: http://act.gp/2xQSBcO #greatnorthernforest,896.0
33,2018-06-05 20:58:26,Wir stehen im Gespräch mit den Detailhändlern bezüglich ihrer Haltung zu Plastik. Migros und Coop haben beide wiederverwendbare Gemüse-Säckli eingeführt. Welche gefallen dir besser? Schreib's uns als Kommentar 🍑🍏😉,855.0
112,2018-01-16 16:26:43,Eine gerechtere Welt ist in Reichweite. Bist du dabei? #Justice,766.0
22,2018-06-13 19:25:02,"Die Massentierhaltung treibt die Klimaerwärmung voran, verschärft Welthunger und Wasserknappheit, verursacht Antibiotikaresistenzen und verletzt den Verfassungsgrundsatz des Tierschutzes. Die Massentierhaltungsinitiative soll dem ein Ende setzen. Wir unterschützen sie. Jetzt unterschreiben!  https://wecollect.ch/de/campaign/massentierhaltung/",733.0
405,2017-03-09 16:10:49,"Vor zehn Jahren kam das erste Smartphone auf den Markt, in der Zwischenzeit sind sie fester Bestandteil unseres Alltags. Deswegen setzt sich Greenpeace für eine nachhaltigen Herstellung von Smartphones ein. Hilf mit! http://act.gp/2moxYRr",706.0
