,created_time,message,success
315,2018-01-21 13:30:27,Schutzgebiete funktionieren - wie diese drei Beispiele beweisen! Deswegen wollen wir das größte Meeresschutzgebiet der Welt in der Antarktis: Unterstützt unsere Petition >> http://act.gp/2DkxSQP,14652.0
821,2017-03-16 23:30:00,"Was passiert, wenn wir uns ausschließlich biologisch ernähren? Diese Familie in Japan hat den Test gemacht - und überraschende Unterschiede festgestellt! Unser Kursbuch Agrarwende  2050 über eine mögliche ökologisierte Zukunft in der Landwirtschaft >> http://gpurl.de/agrarwende1",11086.0
669,2017-06-02 09:30:04,"Trump will aus dem Pariser Klimaschutzabkommen raus! Wir sagen dazu: #TotalLoser, So sad! Unsere erste Reaktion am heutigen Tag an der US-Botschaft in Berlin, die zweite folgt mit euch gemeinsam um 17 Uhr!  Seid dabei: http://fal.cn/uakF",6902.0
248,2018-02-25 22:30:00,"Schreib mit uns Geschichte! 💚🐧 Setz dich mit uns für das größte Meersschutzgebiet der Welt ein. Gemeinsam können wir erreichen, dass die Heimat von Pinguinen und Walen endlich unter Schutz gestellt wird! >> http://act.gp/2GDi4tu",6218.0
798,2017-03-28 23:12:07,"Tolle Nachrichten für die Bienen! 🐝🐝🐝 Die EU-Kommission möchte gefährliche Neonikotinoide jetzt streng begrenzen! Das wäre ein großer Schritt zur Rettung von Bienen und Hummeln. Ob es wirklich dazu kommt liegt an den Mitgliedsstaaten, die noch über das Verbot abstimmen - Landwirtschaftsminister Schmidt muss handeln und die Gifte in Deutschland sofort vom Markt nehmen!",5780.0
608,2017-07-04 17:51:56,"Oh Deutschland, du grünes Wunderland ☀️🌳🌬️! Moment, was macht die ganze Kohle 💩 💩 💩   hier? In 3 Tagen begrüßt Deutschland die G20-Staaten in Hamburg - um über Klimaschutz zu sprechen! Aber reden wird nicht helfen. Wenn wir andere überzeugen wollen, müssen wir bei uns selbst anfangen. Und da hat Deutschland als Braunkohle-Weltmeister genug zu tun. Fordere mit uns von Angela Merkel den Ausstieg aus der Kohle ↗️ https://www.greenpeace.de/klimaschutz-jetzt",5354.0
382,2017-12-01 16:25:38,Danke für eure Unterstützung 💙 Heute entsteht formal das weltgrößte Meeresschutzgebiet in der Antarktis.,4172.0
384,2017-11-30 19:01:01,Fordere ein nationales Verbot von Glyphosat in Deutschland. Mach mit 💚,4124.0
786,2017-04-03 20:49:37,"Wie die Wurst zum Brot, so gehören Antibiotika, Dünger und Pestizide zur Landwirtschaft. Das Gerücht: Nur so können rund 82 Millionen Menschen in Deutschland ernährt werden. Die Studie „Kursbuch Agrarwende  2050 – ökologisierte Landwirtschaft in Deutschland“ rechnet vor, dass wir uns von der zerstörenden intensiven Landwirtschaft verabschieden können – ohne jeden Tag Kohlsuppe essen zu müssen. http://fal.cn/urzR",3471.0
649,2017-06-16 04:08:04,"#PlanetEarthFirst Unser leuchtender Protest an der Elbphilharmonie Hamburg  der Schutz unseres Planeten muss an erster Stelle stehen – weit vor den nationalen wirtschaftlichen Interessen einzelner Länder. Wenn ihr diese Botschaft mit verbreiten möchtet, könnt ihr hier kostenlose Aufkleber und Tattoos ordern: https://www.greenpeace.de/ratgeber In die Elbphilharmonie wird Angela Merkel am 7. Juli die Staats- und Regierungschefs der G20-Länder einladen. Bei dem Treffen in Hamburg wird es auch darum gehen, welche Rolle der Klimaschutz in Zukunft spielen wird.",3422.0
