,created_time,message,success
128,2018-04-28 12:00:00,"😡 Ein Zulieferer von Nestlé, Unilever und anderen zerstört in Indonesien Regenwald für Palmöl. Wir erinnern die Konzerne an ihr Versprechen: Kein Palmöl von Urwald-Zerstörern!",156374.0
688,2017-05-23 19:47:51,"Wir haben getestet, wie lange diese acht Lebensmittel wirklich halten. Das Ergebnis: Drei Produkte waren sogar  16 Wochen nach Ablauf der Mindesthaltbarkeit noch genießbar!",34500.0
49,2018-06-16 11:45:00,Gruselig: In wenigen Jahrzehnten könnte es mehr Plastik als Fische in den Meeren geben. Lassen wir es nicht soweit kommen! 💚🌊🐟,21628.0
315,2018-01-21 13:30:27,Schutzgebiete funktionieren - wie diese drei Beispiele beweisen! Deswegen wollen wir das größte Meeresschutzgebiet der Welt in der Antarktis: Unterstützt unsere Petition >> http://act.gp/2DkxSQP,14652.0
387,2017-11-28 22:45:44,"Du kannst Glyphosat stoppen 💚✊ Verbreite das Video, werde aktiv und unterstütze unsere Forderung für ein nationales Verbot von Glyphosat: https://www.greenpeace.de/glyphosat-verbot…",14408.0
182,2018-03-31 12:57:00,Wie Palmöl unseren Planeten zerstört 🔥,13583.0
693,2017-05-20 11:57:00,"Teflon, Nylon & Silikon - Hersteller mischen schädliche Kunststoffe in Kosmetik! Umweltschädliche Stoffe haben weder auf der Haut noch im Meer etwas verloren - eigentlich klar, oder? Trotzdem werden Gesichtscremes oder Shampoos weiterhin massiv synthetische Kunststoffe beigemischt - obwohl diese teils giftig für Meeresorganismen sind oder potentiell gesundheitsschädigend für den Menschen. Mögliche Umweltfolgen werden von NIVEA, Schwarzkopf,  Penaten & Co. einfach ignoriert. Das zeigt unser neuer Report: https://www.greenpeace.de/th…/meere/gefaehrliches-halbwissen Was du tun kannst? Informiere deine Freunde und fordere von Umweltministerin Hendricks ein Verbot von Plastik in Kosmetik. Jetzt eine Protestmail senden: http://greenpeace.de/plastik-in-kosmetik",13068.0
600,2017-07-07 22:02:23,"Der mächtigste Mann der Welt als kleiner (großer) Windelscheißer? Greenpeace-Aktivisten schickten Baby Trump heute auf der Elbe in Richtung Elbphilharmonie, wo die #G20 heute abend zum Dinner plus Konzert geladen sind. Die Botschaft: Donald, werd erwachsen, ohne Klimaschutz gibt's keinen Nachtisch! Entworfen hat die Plastik der Künstler Jacques Tilly. Hier mitmachen und Klimaschutz-Beschluss von G20 fordern! > http://www.greenpeace.de/klimaschutz-jetzt#machmit",11270.0
821,2017-03-16 23:30:00,"Was passiert, wenn wir uns ausschließlich biologisch ernähren? Diese Familie in Japan hat den Test gemacht - und überraschende Unterschiede festgestellt! Unser Kursbuch Agrarwende  2050 über eine mögliche ökologisierte Zukunft in der Landwirtschaft >> http://gpurl.de/agrarwende1",11086.0
283,2018-02-05 03:01:38,"Protest lohnt sich!  Lidl will endlich sein Fleisch-Sortiment umstellen. Warum? Weil ihr Druck gemacht und dem Discounter die Meinung gesagt habt! Erstmals gesteht eine Supermarkt-Kette so ein: billig, billig, billig auf Kosten der Tiere ist einfach mies und kein Modell für die Zukunft. Das neue Konzept von Lidl setzt ein Signal in die ganze Branche: Landwirtschaft, Politik und Handel müssen nun nachziehen.... Das hat Lidl versprochen: Ab April wird auf allen Fleisch-Packungen (Schwein, Rind, Geflügel) in ganz Deutschland ein Hinweis stehen, aus welcher Haltungsform das Fleisch kommt. Es gibt vier Stufen:  1 Rot = ""Stallhaltung"" unter schlechten Bedingungen  2 Blau = ""Stallhaltung Plus"" mit ein bisschen mehr Platz für die Tiere 3 Orange = ""Auslauf"" in Hallen mit frischer Luft und Tageslicht 4 Grün = ""Bio"" nach dem Standard der gesetzlichen Verordnung Stufe 1 und 2 solltet ihr auf keinen Fall kaufen. Wenn ihr nicht auf Fleisch verzichten möchtet, dann sind 4 oder 3 Optionen. Entscheidend: Lidl hat versprochen, Fleisch aus Stufe 1 komplett aus dem Sortiment zu nehmen. Dafür brauchen sie Zeit: ab 2019 darf nur noch die Hälfte des Fleischs aus Stufe 1 kommen. Wir werden genau beobachten, ob in den nächsten Jahren tatsächlich nur noch Fleisch aus guter Haltung angeboten wird.  Klar ist auch: Für Fleisch müssen Tiere sterben. Konsequente Tierfreunde sollten sich pflanzlich ernähren. #issgutjetzt See more",10618.0
