,created_time,message,success
66,2017-09-24 22:31:50,"Mit der AfD wird eine rechtspopulistische Partei in den Bundestag einziehen und das in Deutschland.  In einem Land, welches sich mit Rechtsextremismus eigentlich sehr gut auskennen sollte. Über 10% der Menschen, die an die Wahlurne getreten sind, haben sich gegen Menschlichkeit, Gleichberechtigung und soziale Gerechtigkeit entschieden und in vielen Fällen geschah dies ausschließlich aus Protest. Doch wer sind letztlich die Leidtragenden dieses Protestes? Die Wähler selbst!  I...ch möchte nicht in einem Land leben, in dem Homosexualität verfassungsfeindlich ist. In dem wir Menschen nach Herkunft oder Religion kategorisieren. In dem soziale Projekte explizit nicht gefördert werden sollen und die Atomenergie wieder ausgebaut werden soll. Über die vielen sexistischen Äußerungen dieser Partei mag ich gar nicht reden. Ich bin schockiert und irritiert über dieses Ergebnis und ich hoffe, dass vor allem die AfD-Wähler selbst unter der Repression dieser rechten Partei zu leiden haben. Leider werden es aber vor allem jene sein, die die AfD nicht gewählt haben oder gar nicht abstimmen konnten.  Ein sehr trauriger Tag für dieses Land. Ich werde mir jetzt einen Beruhigungstee machen und ein Lavendelbad nehmen und über meine Auswanderung nach *beliebiges Land* (weil mir Menschen deswegen grad zu sehr auf den Sender gehen. Es war auch nur eine Floskel!) nachdenken. See more",9402.0
114,2017-04-09 21:35:40,"Dieses Bild ist wahnsinnig süß, aber gleichzeitig extrem traurig. Das Kälbchen wurde (wie alle anderen Kälbchen in den Boxen) der Kuh nach Geburt weggenommen und in eine solche Box gesteckt. Ein Kalb hatte sogar noch die Nabelschnur am Bauch, es war erst 3 Tage alt und wurde direkt nach Geburt von der Mutter getrennt (so wie alle Kälbchen). Die Mutter ist eine Milchmaschine und steht mit anderen Milchkühen getrennt von den Kälbchen, damit die Kälber nicht ihre eigene Muttermi...lch trinken können. Diese wird jeden Tag abgemolken um sie an den Menschen zu verkaufen, der sich dann die Muttermilch einer anderen Spezies in den Kaffee macht. Das Kälbchen bekommt Milch aus einem Eimer das mit Sauger und wird seine Mutter nie sehen. Kühe haben eine ebenso starke Bindung zu ihren Jungen wie Menschen. Und die Kälber schreien nach ihren Muttertieren. Stellt euch vor wir würden Müttern die Neugeborenen wegnehmen, um diese dann in Kisten zu sperren, künstlich ernähren und den Müttern die Milch abpumpen. Die Kälber werden dann meist weiterverkauft und landen beim Schlachter. Was ein trauriges Leben. Und genau aus diesem Grund verzichte ich auf tierische Produkte. Denn nur so können wir aktiv gegen dieses kranke System vorgehen. See more",6800.0
80,2017-07-21 00:36:24,"Chester Bennington ist tot. Laut Berichten hat er sich selbst das Leben genommen. Wir lesen in den Gazetten nun von seinen Drogen- und Alkoholproblemen. Wie immer, wenn sich Prominente suizidieren. Ausführlich wird ausgeschlachtet welche Tabletten und Substanzen wann in welchen Mengen eingenommen wurden und alle Welt denkt sich ""das hätte ich niemals von ihm/ihr gedacht"". Meist sind aber auch die Drogenprobleme ein Symptom dessen, was sich außerhalb des Rampenlichts abspielt.... Menschen in der Öffentlichkeit leiden verstärkt unter dem Erfolgsdruck, dem Bestreben stets perfekt zu sein und keine Makel zu haben. Und natürlich haben auch diese Personen ein Leben neben der großen Bühne, ein Leben, in dem sie Menschen sind wie wir alle. Mit Problemen, Ängsten und Sorgen. Auf Anhieb fallen mir hierzu unzählige Beispiele ein. Wir werden aber nur wieder über Drogeneskapaden unterrichtet und andere Dinge, die unterhalten und möglichst schockierend sind.  Wieso werden diese Fälle nicht ein einziges Mal dafür genutzt über psychische Erkrankungen und Suizidprävention zu sprechen. In Deutschland nehmen sich jährlich etwas mehr als 10.000 Menschen das Leben, pro Jahr unternehmen 100.000-150.000 einen Selbstmordversuch.  Auch in diesem Fall sollten wir genauer hinsehen, um zu verstehen, was wirklich die Gründe für eine solche Handlung sind. Um Menschen künftig vielleicht vorher helfen zu können. Informationen rund um dieses Thema findet ihr bei der Stiftung Deutsche Depressionshilfe und bei Freunde fürs Leben e.V. In akuten Fällen ist die Telefonseelsorge rund um die Uhr erreichbar unter den kostenlosen Hotlines 0800-1110111 und 0800-1110222. In lebensbedrohlichen Situationen ist es ratsam umgehend einen Notarzt zu verständigen oder das nächste Krankenhaus aufzusuchen. See more",6568.0
99,2017-05-14 00:49:24,"Kann ich bitte das Land einpacken und mitnehmen!? Ich liebe es, alles hier. Das Nationalgericht ist vegan, das Land ist grün, die Menschen warmherzig und es ist warm. Hier leben so viele Tiere und wachsen so viele Pflanzen, das ist alles total unwirklich. Übrigens; Costa Rica verfügt bewusst über keine Armee. Was das Land noch sympathischer macht. Und mein Hotel beherbergt gerettete Straßenhunde und hat eine Vogelauffangstation. Hier laufen überall Hühner, Gänse und andere Vögel rum. Die Kolibris bedienen sich am Nektar der vielen Blumen und ich könnte einfach stundenlang hier auf der Terrasse sitzen, den Tieren lauschen und das Geschehen beobachten. #costarica #puravida",3812.0
146,2017-02-08 23:29:32,"Wer Sport macht verändert sich, logisch. Es wäre widersinnig die optische Veränderung zu verteufeln. Ich selbst habe Fett verloren, habe Muskelmasse aufgebaut, das Bindegewebe hat sich verändert und das sieht mensch logischerweise. Gewicht habe ich keins verloren und das war auch nie mein Ziel. Aktuell nehme ich sogar zu, ich esse viel und bewege mich. Transformationsbilder in diese Richtung sind für viele ein No-Go und auch ich habe mir zu dem Thema nochmals Gedanken gemacht.... Ich habe viel gelesen und habe mir die Meinungen vieler Menschen aus dem Bodypositivity-Umfeld angesehen. Mir fiel die Einseitigkeit dieser Beiträge auf, so sprechen sich viele gegen Sportbilder und Transformationen in diese Richtung aus, posten aber selbst ihre körperlichen Veränderungen in eine andere. Für mich gehört zum Thema #Bodypositivity einfach dazu, dass mensch alle Arten von Körper haben und lieben darf und soll. Ich möchte mich nicht verstecken müssen, nur weil sich mein Körper in diese Form entwickelt. Ich werte das gar nicht; für mich ist so eine Transformation kein Barometer welches ein schlechtes und ein besseres Ich abbildet. Es zeigt ein verändertes Ich, welches genauso ein Recht hat sich zu zeigen wie das vorherige. Diese Veränderungen kam nicht durch eine Essstörung oder Sportsucht, sie kam in meinem Fall durch Spaß und einem neuen Hobby. Ein Hobby, das mich physisch und psychisch gesund gemacht hat und das ist was wirklich zählt. Fühlt euch gut, tut euch Gutes, liebt euch selbst und das kann aussehen wie es will. See more",3358.0
94,2017-05-24 22:59:33,"Leute, es wird warm draußen. Deswegen plädiere ich, dass jede*r das anziehen soll, worin sie/er sich wohl fühlt. Egal ob uns die Cosmopolitan und co. sagen wollen, dass wir mit einer kleinen Brust besser keine Bandeau-Tops oder mit breiteren Hüften keine Shorts tragen sollten. Fuuuuuck it! #wohlfühlen3000",3274.0
140,2017-02-15 02:00:12,"Letzte Nacht im Gym🏋️‍♀️Ich bin ja jetzt sportsüchtig und Fitnessmodel, weil die Gesellschaft das so will. Danke Merkel!",3046.0
152,2017-01-27 21:25:49,"I 💘 Me.  Neustes Shirt meiner Schnuubsis von Fuchsteufelswild 💖 'Nur wer sich selbst liebt, kann auch andere lieben', da ist schon was dran aber Selbstliebe sollte mensch vor allem für sich selbst erlernen und für sonst nichts und niemanden. Das Ganze ist ein Weg, ein Prozess und vielleicht nicht immer leicht. Aber es lohnt sich, denn sich selbst zu akzeptieren wie man ist, macht das Leben unbeschwerter. Ich werde kommende Woche dazu einen längeren Text auf meinem Blog verfassen, da ich häufig zu diesem Thema befragt werde💕",2920.0
65,2017-09-25 23:29:43,"Wow, das eskalierte schnell. Wer auf mein Profil kommt, der sollte schon damit leben, dass ich die Inhalte selbst bestimme. Aber ich lasse euch allen eure Meinung, bezeichnend ist die Art und Weise vieler vorgetragener Kommentare. Vor allem weiße, privilegierte Cis-Männer wollen dem 'intimgepiercten' 'Mädchen' 'das nur Tattoos zeigen kann' den Mund verbieten. Mann wünscht mir sogar, dass ich vergewaltigt werde. Wow. Da sagt das Mädchen: JETZT ERST RECHT✊️",2750.0
110,2017-04-14 21:55:54,"Ich feiere kein Ostern. Nicht nur, weil ich Atheist bin, sondern weil mir die Doppelmoral an diesen Feiertagen wahnsinnig gegen den Strich geht. Der Osterhase beglückt die Kinder und bringt ihnen Eier, Süßen und andere Konsumgüter und am Abend gibt es dann wahlweise Osterhase gebraten oder Lamm zur Feier des Tages. Die vermeintlichen friedvollen Feiertage sind nichts weiter als eine Massenabschlachtung, zur Freude der Fleischindustrie. Ich empfinde es ganz grundsätzlich als p...erfide, Tierbabys und -kinder zu essen , vor allem zur Feier der Auferstehung. Und ich weiß nicht wie mensch sich Dekohäschen aufstellen kann und sich über den Osterhase erfreut, um ihn dann abends in leichenform zu servieren. Wäre ungefähr so, als würden wir an Weihnachten den Weihnachtsmann essen. Dieses kleine Häschen wird natürlich nicht gegessen und darf in Ruhe Grünzeug knabbern und über Wiesen hoppeln. Es gibt Traditionen, die sollten einfach nochmal überdacht werden🐣🐰💕 #ostern #crueltyfree #veganfortheanimals #animalliberation #humanliberation #fucktradition See more",2568.0
