,created_time,message,success
638,2017-06-18T19:02:23.000Z,"Happy me - ich habe in den letzten zwei Wochen Justin Bieber und Joy Denalane live gesehen, war mit einer meiner besten Freundinnen auf nem Roadtrip in Dänemark, mit meiner liebsten Oma auf Sylt, war in Berlin, Köln und Hamburg, habe Vivienne Westwood eine gelungene Rede halten hören, bin erfolgreich einen 10km Hindernislauf gelaufen, war in einigen Museen, hatte tolle und wichtige Gespräche, habe super Menschen kennen gelernt und alte Freunde wieder gesehen, die heftigsten Sache gegessen und freue mich unfassbar auf alles, was noch kommt. Eines Tages werde ich daran denken, wie es in meinen Zwanzigern war und ich werde sehr sehr zufrieden und stolz sein. Das weiß ich 😊",3547
34,2018-05-27T20:29:48.000Z,"OMAS GEGEN RECHTS - eine Initiative aus Hamburg, die man unterstützen sollte! Sucht die bei Facebook und gebt ein Like. Ich feier die Omas hart! #omasgegenrechts #fckafd #berlin 👵🏼♥️",3140
295,2018-01-01T21:37:35.000Z,"Ahne dieses Leben, hombre, beste Zeit /
Hier und jetzt hoffen wir, dass es so bleibt /
Kreuz' die Finger, keiner weiß, ob es so bleibt 🤞🏽",2894
451,2017-10-04T18:09:48.000Z,"Hättet ihr lieber unendlich Geld, unendlich Jugend oder unendlich Wissen? Auf meinem YouTube Kanal gibt's nen neuen Sonntagsschnack. Der behandelt ein anderes Thema, aber ich find die Frage so interessant. 📸 @lucas_himmel for @zalando",2251
513,2017-08-31T19:53:54.000Z,"Morgen startet die Bread&Butter in Berlin unter dem Motto ""Bold"" - Aber was heißt es eigentlich, bold zu sein? Meine Erklärung habe ich für Zalando aufgeschrieben. Klickt den Link in meiner Instagram-Bio, um meinen Text zu lesen und sagt mir, was es für euch bedeutet!!! 💥 #keinewerbung #nurwerbungfürmich #ichweissmeinebeineaberdasistBOLD",2202
14,2018-06-09T11:10:52.000Z,"Wenn man den Google Vorschlag “Aminata Belli Herkunft” klickt, kommt als erstes ein Beitrag von spiegel.de mit dem Ergebnis meines DNA-Tests. Wie verrückt. Noch verrückter: das Ergebnis! “36 Prozent senegalesischer Herkunft, 21 Prozent osteuropäischer, zwölf Prozent nordeuropäischer, je sechs Prozent Nigeria und Westeuropa, je vier Prozent italienisch-griechisch und irisch, zwei Prozent Mittlerer Osten” — OK",2164
19,2018-06-07T19:52:11.000Z,"Ich bin übrigens im Wohnwagen und aufm Jahrmarkt aufgewachsen. Und es gibt auch ein #Schaustellergebet. Hier ein Auszug: „Lass mich bedenken, mein Vorrecht,
als Schausteller Freude und Vergnügen
zu bringen allen Menschen,
besonders aber der Jugend,
den Einsamen und denen,
die vom Glück benachteiligt sind.

Und wenn meine letzte irdische Tat vollendet ist
und der letzte Vorhang fällt,
dann nimm mich zu dir,
und lass mich ewig glücklich sein bei dir.“
Nice nä. Foto: @danielfeistenauer for @neon_magazin 🎠🎡🎢",2119
420,2017-10-23T16:47:56.000Z,Ich glaube @wanyewest040 liebt mich 💖,2019
758,2017-04-04T17:32:47.000Z,"Aminata hat die neusten Schuhe, noch bevor die jemand anderes hat. Und ich sag euch auch wieso: Aminata hat Kontakte 😜 außerdem hat Aminata auch viel zu viele unbeantwortete WhatsApp-, Facebook- und Instagram- Nachrichten. Das tut ihr leid. Außerdem hasst sie es, wenn Menschen in der dritten Person von sich selbst sprechen. Aber egal. Hauptsache: Danke an @blondeboyinblack und @ava_carstens aka @kollektiv49 für die geilen Treter!!! 👀🚀🙀😍🤙🏽",1757
799,2017-03-05T20:39:35.000Z,"Eine Herausforderung jagt gerade die nächste und ich hoffe, dass das so weitergeht. Man wächst schließlich mit seinen Aufgaben. #adrenalin #zufrieden & #überarbeitet 📸 @patrese_kakao",1742
