,created_time,message,success
68,2017-10-30T16:29:51.000Z,"Zum #worldveganday teilen wir diesen Mittwoch 1.111 mal unsere neuen veganen 🌱 Sorten mit euch! Ab 17h Uhr - solange der Vorrat reicht - verschenkt @marienasemann unser veganes #chunkymonkey und #peanutbuttercookies Wo: Backyard Berlin, Gitschiner Str. 22",26402
71,2017-10-26T16:53:23.000Z,Ist das Kunst oder kann das rein? ✌🏻❤️🍦#benandjerrystopped #benandjerrys #toppedsaltedcaramelbrownie #topped #deliciousness,6722
72,2017-10-23T09:07:57.000Z,Vegane Sorten? Haben wir eiskalt gemacht. Unsere veganen Eissorten auf Mandelbasis sind da! #vegan #veganeseis #benandjerrysvegan #nondairy,5476
37,2018-02-20T19:34:14.000Z,So macht teilen Spaß. #gleichberechtigung,4150
29,2018-03-12T17:10:55.000Z,Für fairen Schokoholismus! #fairtrade #benandjerrys #toppedchocolatecaramelcookiedough,3824
46,2018-01-08T19:33:14.000Z,Minimalismus war noch nie unser Ding. Merkt ihr selber! Zum Beispiel wenn ihr unser Topped probiert. #benandjerrystopped #toppedchocolatecaramelcookiedough #benandjerrys #foodporn #yummy,3792
50,2018-01-02T16:10:03.000Z,"Unser Top #3 Post aus 2017:
Vegane Sorten? Haben wir eiskalt gemacht. Unsere veganen Eissorten auf Mandelbasis sind da! #vegan #veganeseis #benandjerrysvegan #nondairy",3255
7,2018-06-08T14:08:51.000Z,"Schoko oben, Schoko unten und dazwischen auch. Alles andere ist uns nicht fair genug.
#chocolatefudgebrownie #schokoschoko #yummie #benandjerrys",3173
82,2017-07-17T08:02:07.000Z,"Yes, vegan! Es stimmt, wir bringen Non-Dairy in eure Kühltruhen. Stay tuned - bald haben wir mehr Infos für euch 🔝Link in Bio #vegan #nondairy #newflavoralert #news",3142
78,2017-09-22T12:23:04.000Z,"Erst Kreuz machen, dann Löffeln. Sonntag ist Wahltag! #mitmir90prozent #machdeinkreuz #niemehrvanilleeispur #wählenfürgerechtigkeit #icecreamactivism #wahl #wahl2017 #demokratie",2856
